,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
Mary,0.7689229,0.7563437,0.762797,0.8316114,0.75770175,0.79166627,0.75904024,0.76964724,0.63722134,0.74190056
Elizabeth,0.7637231,0.74548095,0.7472686,0.8218571,0.74759734,0.7826131,0.7540923,0.76663935,0.62828183,0.7332221
Patricia,0.77979696,0.76572835,0.76548845,0.8398708,0.7650822,0.8044144,0.76922655,0.78393495,0.6411337,0.7504523
Jennifer,0.7828363,0.76841974,0.77060395,0.84205025,0.7680482,0.80726004,0.7720656,0.7789826,0.6393445,0.7537359
Linda,0.7802075,0.7613729,0.7690535,0.8382672,0.7586424,0.8097085,0.7694491,0.77060586,0.6332598,0.7444276
Barbara,0.7737795,0.7621436,0.7606901,0.83842534,0.75641286,0.8009908,0.764006,0.78101116,0.6264621,0.7416797
Margaret,0.7682947,0.7546133,0.76110834,0.83462155,0.75826406,0.7958894,0.7570746,0.77853394,0.6304958,0.74559176
Susan,0.7711858,0.75721526,0.75846666,0.83250904,0.754617,0.8000672,0.7612935,0.7684283,0.63615537,0.74064875
Dorothy,0.7704396,0.75472385,0.75778794,0.8341921,0.7493489,0.7984881,0.75972414,0.7683432,0.6214235,0.7353403
Sarah,0.787274,0.77817255,0.7679025,0.84386766,0.7653034,0.8067192,0.77703536,0.7909783,0.65278816,0.7518997
Jessica,0.7816302,0.7614511,0.76761216,0.83740324,0.7607141,0.8003917,0.7739006,0.7725849,0.6281453,0.745829
Helen,0.7840017,0.7774081,0.76786745,0.84108704,0.7692104,0.80732185,0.77485156,0.7993299,0.6576214,0.7540743
Nancy,0.7753665,0.7633324,0.76266956,0.8395151,0.7552849,0.8054105,0.7657681,0.7770382,0.6355465,0.741804
Betty,0.7628564,0.7525194,0.7568351,0.8330126,0.7450231,0.7954799,0.7544801,0.77488077,0.6313265,0.7287699
Karen,0.7882927,0.7729812,0.7768369,0.8468032,0.7718359,0.81528044,0.77678585,0.78925014,0.6546424,0.75822204
Lisa,0.7767672,0.76042116,0.75609213,0.83420986,0.75731534,0.8005403,0.76723856,0.7764826,0.6402199,0.7443116
Anna,0.7775808,0.7622257,0.7556225,0.8338943,0.76396155,0.8002386,0.7667905,0.77488285,0.64101744,0.7494129
Sandra,0.7833956,0.7658837,0.76903665,0.8449873,0.7658297,0.8063428,0.77206844,0.78554606,0.6374219,0.75066614
Emily,0.7696186,0.7544309,0.7510178,0.82970446,0.75421286,0.7908883,0.7629042,0.77600765,0.6370857,0.7393526
Ashley,0.7886089,0.76863337,0.7716914,0.8476436,0.7634644,0.8115074,0.7785789,0.78139716,0.645526,0.7483277
