,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Paul,0.86017776,0.8238596,0.89577645,0.8370378,0.8683871,0.76324224,0.86653423,0.7922249,0.8413037,0.88211864
Vincent,0.86949,0.83002627,0.91076696,0.84028935,0.8840515,0.775363,0.87532705,0.8009244,0.8488905,0.8911675
Victor,0.8609409,0.82475054,0.9099245,0.8410077,0.88401675,0.7667792,0.87153286,0.79846984,0.8443531,0.8896337
Adrian,0.8631996,0.82286274,0.90972054,0.84795505,0.87982965,0.76424456,0.8715616,0.80044454,0.8449406,0.88662416
Marcus,0.85781574,0.8243726,0.9043398,0.8395542,0.8689455,0.7637634,0.8632983,0.7965112,0.835684,0.8811027
Leo,0.86924857,0.82188773,0.91232795,0.83949006,0.8797857,0.7672666,0.8750114,0.7976919,0.84927714,0.88766
Miles,0.85503125,0.81659615,0.8978094,0.83342516,0.86584634,0.76294297,0.86438566,0.7974012,0.84178257,0.87767226
Roman,0.8484914,0.81700206,0.8923877,0.8463563,0.85925055,0.76993465,0.85808647,0.7964144,0.83395565,0.8726913
Sergio,0.86797374,0.82444227,0.9125719,0.8379337,0.8781657,0.76458275,0.8747511,0.80089396,0.85097945,0.8885871
Felix,0.8654882,0.8269528,0.91327566,0.83846927,0.88328743,0.7682795,0.870007,0.79802895,0.8473134,0.88732624
Patricia,0.86877835,0.828936,0.9115746,0.8396854,0.88385344,0.76638114,0.8752664,0.7965678,0.8525961,0.8804111
Laura,0.8681512,0.8243166,0.91099435,0.84377843,0.8833694,0.77249706,0.8814559,0.8032793,0.8610779,0.88607293
Amanda,0.868158,0.8284106,0.91147935,0.846395,0.87728834,0.7648722,0.87152886,0.80240107,0.85077584,0.8870943
Victoria,0.84007597,0.807269,0.8811885,0.8396611,0.85636795,0.76131237,0.8513083,0.7827617,0.8283267,0.86026454
Julia,0.8516428,0.8152573,0.88775367,0.8331623,0.86093736,0.7578414,0.85432565,0.7863982,0.83573216,0.8680885
Gloria,0.8725289,0.8312284,0.9125195,0.846562,0.8790972,0.77377397,0.8807036,0.80046797,0.85921955,0.88514966
Diana,0.86985064,0.8225783,0.8925131,0.8296187,0.87518466,0.7687533,0.8723165,0.78702205,0.8542414,0.8784651
Clara,0.8614801,0.81074405,0.8981769,0.83309376,0.8681793,0.7620683,0.8681461,0.7819311,0.84287226,0.87185955
Paula,0.86920327,0.8201909,0.9057168,0.8373161,0.8735025,0.7596737,0.87208086,0.7889098,0.8485764,0.88530695
Norma,0.87637556,0.82518977,0.9173614,0.845346,0.8800578,0.7584668,0.8806099,0.79134107,0.8567421,0.89141345
