,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
James,0.77739596,0.7613629,0.7572409,0.8343559,0.76122534,0.79575735,0.7676392,0.7784842,0.64086753,0.7471571
John,0.77609444,0.7604048,0.7583903,0.8324994,0.7524416,0.79557157,0.7658783,0.777792,0.6369535,0.7389325
Robert,0.777193,0.7625567,0.75643206,0.8327149,0.7554095,0.80283964,0.7673961,0.7743997,0.6416736,0.7400911
Michael,0.7870332,0.77221835,0.77302915,0.84073645,0.7678183,0.81060183,0.7751144,0.7830789,0.64697266,0.7549412
William,0.7695285,0.75431216,0.7556904,0.83091,0.7541398,0.79529005,0.7600305,0.7753302,0.6411736,0.7403188
David,0.6031181,0.5901329,0.5814774,0.6291989,0.5945475,0.6098379,0.5963574,0.6010397,0.5206145,0.5811649
Joseph,0.7705494,0.757762,0.7601987,0.82889056,0.75181687,0.79365206,0.76065636,0.776675,0.6346913,0.7377436
Richard,0.77355057,0.76550597,0.7580629,0.8290954,0.7501111,0.80157787,0.7620478,0.77611554,0.63548386,0.73889494
Charles,0.76321197,0.75323385,0.73882276,0.8217738,0.74074626,0.78148663,0.7542273,0.76496,0.63422513,0.72805005
Thomas,0.61466813,0.6038392,0.5953573,0.6400185,0.60619533,0.6210989,0.6079493,0.6137216,0.532408,0.5929923
Christopher,0.79017866,0.76772,0.77324307,0.84848046,0.77057934,0.81042176,0.78035223,0.7849949,0.65111345,0.754049
Daniel,0.7717891,0.76042974,0.7564414,0.829229,0.75429976,0.79421616,0.760865,0.77078474,0.6292139,0.7387936
Matthew,0.78197145,0.7650002,0.7678689,0.840989,0.7604374,0.80626035,0.7730162,0.779543,0.6404301,0.7473345
George,0.77341866,0.7586592,0.75623477,0.8298825,0.74915075,0.7977817,0.7642237,0.76900256,0.6432121,0.73574734
Anthony,0.7732432,0.75806326,0.75641096,0.8354845,0.75369436,0.79847634,0.7629591,0.7743306,0.6321382,0.7406879
Donald,0.77604663,0.76209784,0.7644758,0.8365258,0.7592259,0.8008604,0.765236,0.78118503,0.6353727,0.74698156
Paul,0.7736113,0.7602477,0.75762606,0.83127916,0.7551631,0.7991255,0.76325583,0.77727115,0.6380309,0.7411035
Mark,0.78657925,0.7734135,0.76251113,0.83889157,0.76309997,0.80796236,0.77545667,0.78275543,0.6544125,0.74767834
Andrew,0.77738667,0.76469743,0.7709184,0.8448992,0.76506925,0.81230056,0.7674875,0.7828139,0.64098585,0.75062966
Edward,0.7702398,0.754467,0.7542578,0.83374125,0.7541422,0.7978576,0.76020366,0.7693064,0.63341856,0.7394889
