"Name","Gender","Career","CosineSimilarity","STEM"
"James","M","Software.Developer",0.77739596,"Yes"
"James","M","Nurse.Practitioner",0.7613629,"Yes"
"James","M","Health.Services.Manager",0.7572409,"Yes"
"James","M","Physicians.Assistant",0.8343559,"Yes"
"James","M","Security.Analyst",0.76122534,"Yes"
"James","M","IT.Manager",0.79575735,"Yes"
"James","M","Web.Developer",0.7676392,"Yes"
"James","M","Dentist",0.7784842,"Yes"
"James","M","Orthodontist",0.64086753,"Yes"
"James","M","Computer.Systems.Analyst",0.7471571,"Yes"
"John","M","Software.Developer",0.77609444,"Yes"
"John","M","Nurse.Practitioner",0.7604048,"Yes"
"John","M","Health.Services.Manager",0.7583903,"Yes"
"John","M","Physicians.Assistant",0.8324994,"Yes"
"John","M","Security.Analyst",0.7524416,"Yes"
"John","M","IT.Manager",0.79557157,"Yes"
"John","M","Web.Developer",0.7658783,"Yes"
"John","M","Dentist",0.777792,"Yes"
"John","M","Orthodontist",0.6369535,"Yes"
"John","M","Computer.Systems.Analyst",0.7389325,"Yes"
"Robert","M","Software.Developer",0.777193,"Yes"
"Robert","M","Nurse.Practitioner",0.7625567,"Yes"
"Robert","M","Health.Services.Manager",0.75643206,"Yes"
"Robert","M","Physicians.Assistant",0.8327149,"Yes"
"Robert","M","Security.Analyst",0.7554095,"Yes"
"Robert","M","IT.Manager",0.80283964,"Yes"
"Robert","M","Web.Developer",0.7673961,"Yes"
"Robert","M","Dentist",0.7743997,"Yes"
"Robert","M","Orthodontist",0.6416736,"Yes"
"Robert","M","Computer.Systems.Analyst",0.7400911,"Yes"
"Michael","M","Software.Developer",0.7870332,"Yes"
"Michael","M","Nurse.Practitioner",0.77221835,"Yes"
"Michael","M","Health.Services.Manager",0.77302915,"Yes"
"Michael","M","Physicians.Assistant",0.84073645,"Yes"
"Michael","M","Security.Analyst",0.7678183,"Yes"
"Michael","M","IT.Manager",0.81060183,"Yes"
"Michael","M","Web.Developer",0.7751144,"Yes"
"Michael","M","Dentist",0.7830789,"Yes"
"Michael","M","Orthodontist",0.64697266,"Yes"
"Michael","M","Computer.Systems.Analyst",0.7549412,"Yes"
"William","M","Software.Developer",0.7695285,"Yes"
"William","M","Nurse.Practitioner",0.75431216,"Yes"
"William","M","Health.Services.Manager",0.7556904,"Yes"
"William","M","Physicians.Assistant",0.83091,"Yes"
"William","M","Security.Analyst",0.7541398,"Yes"
"William","M","IT.Manager",0.79529005,"Yes"
"William","M","Web.Developer",0.7600305,"Yes"
"William","M","Dentist",0.7753302,"Yes"
"William","M","Orthodontist",0.6411736,"Yes"
"William","M","Computer.Systems.Analyst",0.7403188,"Yes"
"David","M","Software.Developer",0.6031181,"Yes"
"David","M","Nurse.Practitioner",0.5901329,"Yes"
"David","M","Health.Services.Manager",0.5814774,"Yes"
"David","M","Physicians.Assistant",0.6291989,"Yes"
"David","M","Security.Analyst",0.5945475,"Yes"
"David","M","IT.Manager",0.6098379,"Yes"
"David","M","Web.Developer",0.5963574,"Yes"
"David","M","Dentist",0.6010397,"Yes"
"David","M","Orthodontist",0.5206145,"Yes"
"David","M","Computer.Systems.Analyst",0.5811649,"Yes"
"Joseph","M","Software.Developer",0.7705494,"Yes"
"Joseph","M","Nurse.Practitioner",0.757762,"Yes"
"Joseph","M","Health.Services.Manager",0.7601987,"Yes"
"Joseph","M","Physicians.Assistant",0.82889056,"Yes"
"Joseph","M","Security.Analyst",0.75181687,"Yes"
"Joseph","M","IT.Manager",0.79365206,"Yes"
