"","term","contrast","estimate","null.value","conf.low","conf.high","adj.p.value","TestName","Model"
"1","Gender","F-M",0.0268760813023237,0,0.00561451299361702,0.0481376496110303,0.0133619569277955,"NC","distilbert_base_cased"
"2","Gender","F-M",0.0393112815611852,0,0.0136958692312633,0.064926693891107,0.0027161710347906,"SC","distilbert_base_cased"
"3","Gender","F-M",0.0382361327870044,0,0.0166186568909299,0.059853608683079,0.000562386804858095,"PG","distilbert_base_cased"
"4","Gender","F-M",0.0413339348558566,0,0.0230999231534157,0.0595679465582975,1.08440829539314e-05,"UG","distilbert_base_cased"
"5","Race","Chinese-White",0.0426512240993236,0,0.0156494244919173,0.0696530237067299,0.000305552832785771,"PR","distilbert_base_cased"
"6","Race","Latinx-White",0.0326074372928217,0,0.00560563768541537,0.059609236900228,0.0104680545903676,"PR","distilbert_base_cased"
"7","Race","Black-White",0.0135365783662478,0,-0.0134652212411585,0.0405383779736541,0.569162564874917,"PR","distilbert_base_cased"
"8","Race","Latinx-Chinese",-0.010043786806502,0,-0.0370455864139083,0.0169580128009043,0.773533227283886,"PR","distilbert_base_cased"
"9","Race","Black-Chinese",-0.0291146457330759,0,-0.0561164453404822,-0.00211284612566957,0.0287494243105529,"PR","distilbert_base_cased"
"10","Race","Black-Latinx",-0.0190708589265739,0,-0.0460726585339802,0.0079309406808324,0.265397113413451,"PR","distilbert_base_cased"
"11","Race","Chinese-White",0.0469577100616136,0,0.0240429326660672,0.06987248745716,1.01212723346844e-06,"UR","distilbert_base_cased"
"12","Race","Latinx-White",0.0313484295188802,0,0.00843365212333377,0.0542632069144266,0.00254879693877585,"UR","distilbert_base_cased"
"13","Race","Black-White",0.0101327265065572,0,-0.0127820508889892,0.0330475039021036,0.665830408251999,"UR","distilbert_base_cased"
"14","Race","Latinx-Chinese",-0.0156092805427335,0,-0.0385240579382799,0.00730549685281293,0.296722731535183,"UR","distilbert_base_cased"
"15","Race","Black-Chinese",-0.0368249835550565,0,-0.0597397609506029,-0.0139102061595101,0.000227167802384853,"UR","distilbert_base_cased"
"16","Race","Black-Latinx",-0.021215703012323,0,-0.0441304804078694,0.0016990743832234,0.0810553076614682,"UR","distilbert_base_cased"
