,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Reginald,0.56671256,0.5264193,0.58734155,0.5832259,0.5759846,0.4740795,0.58356154,0.4965378,0.53956896,0.63242686
Kameron,0.45951417,0.4989658,0.62114036,0.5736231,0.5639968,0.46789306,0.5856295,0.47118568,0.4864539,0.54819417
Kendrick,0.59081924,0.57462853,0.6246504,0.5979985,0.5738404,0.51379836,0.59448594,0.5544586,0.59012413,0.6962224
Javon,0.47546923,0.44816107,0.6064587,0.51501065,0.5474698,0.4154082,0.498518,0.43966302,0.46115243,0.5659927
Tyrell,0.4416789,0.48862708,0.60819674,0.4833422,0.5861608,0.45250905,0.5574117,0.4521895,0.46835423,0.5555725
Jamar,0.47414452,0.4555775,0.5662856,0.50906754,0.5568615,0.35988835,0.5028977,0.46814728,0.46439475,0.5223428
Camron,0.4783656,0.49474669,0.64705956,0.5937804,0.5994729,0.4687334,0.54854906,0.46810985,0.49883172,0.61645406
Tyree,0.47319937,0.4934625,0.6093192,0.47431627,0.5923034,0.42947477,0.5462303,0.46927863,0.48978943,0.570695
Jamari,0.4657658,0.4116517,0.5818017,0.49881274,0.57708204,0.3363924,0.49057767,0.43237272,0.45389754,0.5175619
Reggie,0.6169531,0.51068646,0.56508,0.52406985,0.577505,0.48974624,0.58369863,0.49517438,0.55779076,0.66353106
Jada,0.55340374,0.5041543,0.64569116,0.5525073,0.56445754,0.5054303,0.55916536,0.49791878,0.5449377,0.611209
Latoya,0.55443084,0.52164125,0.6783773,0.5607458,0.5218451,0.48978394,0.56476367,0.50181305,0.5673977,0.607358
Jayla,0.5496442,0.489601,0.596837,0.49047053,0.5370033,0.468708,0.54937375,0.48501068,0.5557314,0.5984969
Tamika,0.46840367,0.45871633,0.65127325,0.49004364,0.5371587,0.40936205,0.5387296,0.44670105,0.49242562,0.5550889
Latoyna,0.44497213,0.43894333,0.6062553,0.53352106,0.46988618,0.4284323,0.4952479,0.40930498,0.47213268,0.540142
Journey,0.64065653,0.53659034,0.5829413,0.5046526,0.61533546,0.5221851,0.56161004,0.5827234,0.65191305,0.6638796
Tameka,0.43409497,0.45634282,0.63116014,0.48281118,0.525334,0.36684847,0.5162511,0.4505651,0.48002234,0.5386021
Journee,0.47794122,0.47819832,0.5466144,0.53069305,0.48385757,0.46542817,0.53318465,0.46218103,0.44940078,0.52573985
Lawanda,0.49906325,0.48226023,0.57862514,0.5469383,0.524352,0.45844537,0.5634295,0.4699885,0.5056064,0.55933297
Janiya,0.49926883,0.46645975,0.5777459,0.53404105,0.5288404,0.39644998,0.4883709,0.44015282,0.4716063,0.54911435
