,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Reginald,0.6025651,0.5634016,0.48258722,0.5765482,0.6911286,0.5239084,0.6791676,0.6455156,0.57179713,0.5704468
Kameron,0.58066255,0.55807793,0.4613373,0.58748025,0.56794226,0.52093303,0.5513699,0.58564204,0.5307069,0.5952859
Kendrick,0.58517385,0.5849421,0.50934947,0.5853386,0.6893922,0.5270574,0.70121646,0.68418,0.58668894,0.5942311
Javon,0.58570915,0.5488409,0.44946998,0.65194,0.5459771,0.49733922,0.5413951,0.5551548,0.5702503,0.51282316
Tyrell,0.5792593,0.539307,0.45077053,0.5706902,0.5206732,0.48628685,0.533749,0.58298993,0.5298961,0.58593357
Jamar,0.59904724,0.48806703,0.46937037,0.60873663,0.6064118,0.5164468,0.5302466,0.5465826,0.69182384,0.52368546
Camron,0.6158906,0.6013791,0.4414515,0.6450511,0.5775446,0.49185878,0.59472287,0.6007087,0.5521705,0.62112474
Tyree,0.6029428,0.59686846,0.47103113,0.57654583,0.5097756,0.50021625,0.54765403,0.6046048,0.52327365,0.5470344
Jamari,0.6070341,0.48030257,0.4652648,0.6297276,0.5751008,0.49874085,0.5152093,0.5261224,0.61735505,0.540773
Reggie,0.5800694,0.55454636,0.46411997,0.57281494,0.6334706,0.5239364,0.6666211,0.66167223,0.5459498,0.56882316
Jada,0.6236371,0.6241971,0.49214214,0.6561798,0.6501771,0.57691777,0.5888394,0.6274353,0.7017338,0.55443466
Latoya,0.6890929,0.6678488,0.5097256,0.7208898,0.6359029,0.5640688,0.6029616,0.6294163,0.6216794,0.59107137
Jayla,0.589767,0.58439326,0.4785866,0.6396478,0.6050677,0.5164704,0.55558157,0.57579756,0.6004746,0.5231971
Tamika,0.64877844,0.5435916,0.44296977,0.6152139,0.5796797,0.52591276,0.5361457,0.56777596,0.57635534,0.5306695
Latoyna,0.6419805,0.6830975,0.41917986,0.6546302,0.55550313,0.4793328,0.5181118,0.570686,0.51470256,0.51256275
Journey,0.5394319,0.53234994,0.5106158,0.5249915,0.63750273,0.4768181,0.656361,0.629529,0.54675615,0.5640458
Tameka,0.6445823,0.5323309,0.4429407,0.5907951,0.5538022,0.5486281,0.50992227,0.5678152,0.554036,0.4921849
Journee,0.5248785,0.5293521,0.47453803,0.4817687,0.4857612,0.44454533,0.6014155,0.5902586,0.4727671,0.47965658
Lawanda,0.5904906,0.5494647,0.47244087,0.62177116,0.5679867,0.51718163,0.5438181,0.55287147,0.611151,0.5645814
Janiya,0.5904242,0.59593326,0.45612532,0.61927783,0.5966096,0.47069407,0.5261178,0.55955803,0.61222225,0.58025604
