,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Lian,0.5411272,0.5043106,0.37552235,0.58271945,0.50199383,0.48914707,0.4792071,0.52362394,0.55368924,0.5428251
Shan,0.57963365,0.5443847,0.46621215,0.610626,0.61254454,0.50780517,0.5984371,0.6118343,0.6133779,0.5304328
Lew,0.63129395,0.7035289,0.4445333,0.62189615,0.6833267,0.505635,0.6378047,0.64293337,0.559557,0.57572985
Long,0.5895011,0.5473306,0.52509904,0.6261515,0.624683,0.5747793,0.65638965,0.7117138,0.6145092,0.5679315
Quan,0.60913146,0.5747079,0.44160393,0.6401914,0.6591013,0.56147146,0.6722013,0.64242446,0.6362081,0.58600247
Jun,0.59359735,0.5617978,0.41633832,0.63818264,0.67790854,0.5443325,0.6758329,0.67598104,0.58177423,0.5495621
Tou,0.6014193,0.5128937,0.45002466,0.5948582,0.5424094,0.60697293,0.52619624,0.57326245,0.57612455,0.5172732
Jin,0.5541576,0.51290214,0.42723915,0.55261755,0.6020665,0.4858644,0.60320336,0.61367726,0.54351693,0.5431115
Cai,0.6380485,0.5840957,0.4668026,0.68504643,0.68950236,0.5539886,0.66963315,0.68509746,0.60699475,0.58933616
Chan,0.56255317,0.52861714,0.40500572,0.6146575,0.61123455,0.5225774,0.6238959,0.61472535,0.621048,0.5409975
Lue,0.6489512,0.5685895,0.41513348,0.652012,0.52959484,0.60784113,0.53345823,0.5620545,0.5762961,0.5419104
China,0.4662379,0.48992857,0.44506758,0.49706298,0.5631218,0.43945554,0.6099848,0.5897032,0.48333758,0.49733114
Lu,0.6371298,0.61523217,0.41484693,0.68512136,0.6022732,0.56469643,0.60115397,0.5937075,0.62222105,0.56373405
Maylee,0.54186565,0.52414536,0.49732822,0.5871202,0.54854786,0.506726,0.56596935,0.6450747,0.54422975,0.52651453
Tennie,0.6680842,0.63946533,0.4762439,0.60782075,0.55633605,0.56246585,0.5770298,0.64263964,0.5799136,0.5667812
Maylin,0.5879109,0.51830626,0.46829718,0.64020205,0.5634967,0.5056076,0.5571315,0.64179075,0.5577153,0.5750823
Chynna,0.6088134,0.59805524,0.40347248,0.6872948,0.5492139,0.5085593,0.50651467,0.5694259,0.588977,0.5538341
Jia,0.5632731,0.5218959,0.42450246,0.5722024,0.54319894,0.5328189,0.5083706,0.5290916,0.5882795,0.50141203
Mei,0.62914014,0.5691315,0.4168853,0.59909546,0.6644623,0.611552,0.6341937,0.6665413,0.59653217,0.54848516
Tylee,0.6333114,0.5980736,0.44928992,0.6571076,0.5551394,0.5375517,0.58048415,0.651229,0.56341314,0.5526185
