,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Paul,0.53395903,0.4748758,0.6463199,0.578168,0.5201043,0.49319285,0.58769006,0.4879244,0.50981754,0.6516079
Vincent,0.46981382,0.42613098,0.59091985,0.56650114,0.5141935,0.46687797,0.5862924,0.42350194,0.48281872,0.5809955
Victor,0.48230067,0.42987236,0.5631378,0.5629921,0.49695987,0.45174706,0.5426349,0.44333768,0.50024897,0.58473706
Adrian,0.54609954,0.47369355,0.59738195,0.58833444,0.5572922,0.49481106,0.5415357,0.5135515,0.5276332,0.67113364
Marcus,0.4841345,0.50225306,0.63062847,0.5336197,0.5223021,0.48158008,0.5925784,0.4801786,0.47654438,0.6056323
Leo,0.5531038,0.46651947,0.6379885,0.54317015,0.57014126,0.4673436,0.592927,0.45752752,0.5725479,0.66490126
Miles,0.54562795,0.50259864,0.58533967,0.5509114,0.54827535,0.51790655,0.57895744,0.49627548,0.5373436,0.6288395
Roman,0.49882975,0.45192632,0.62118244,0.56690764,0.5349439,0.47559103,0.51962787,0.4591858,0.5397363,0.6061235
Sergio,0.509969,0.442918,0.6187173,0.5400998,0.5278841,0.44028765,0.53522795,0.42281517,0.48911884,0.5838361
Felix,0.54050684,0.51068777,0.61196786,0.5791092,0.56162965,0.5039518,0.5821068,0.4764913,0.53133744,0.654607
Patricia,0.53739727,0.49540743,0.63121283,0.54916906,0.5530753,0.46813256,0.58672976,0.5198954,0.5567552,0.60497516
Laura,0.66402227,0.44232163,0.6106381,0.50531083,0.5726683,0.502181,0.5870626,0.4515279,0.62981784,0.65468216
Amanda,0.60106844,0.46173418,0.58585334,0.51654094,0.48692673,0.46386665,0.5841993,0.4688989,0.5803498,0.6306674
Victoria,0.49434704,0.44896188,0.5401206,0.55734783,0.48715776,0.50364184,0.5482037,0.4358881,0.518026,0.54979837
Julia,0.59316224,0.4848169,0.63256395,0.5735416,0.5552046,0.5405148,0.60461986,0.49072197,0.6058267,0.67755324
Gloria,0.6099273,0.49458712,0.55015916,0.5249282,0.4840538,0.6244153,0.57867134,0.50111574,0.64169395,0.5913761
Diana,0.58960307,0.49143326,0.58988,0.5343574,0.54610384,0.5074507,0.60369134,0.5090263,0.6186722,0.64771646
Clara,0.573095,0.4939056,0.5905646,0.54417133,0.5127729,0.47556454,0.57786924,0.4699195,0.5739529,0.5993041
Paula,0.5831549,0.42080855,0.6079402,0.57644933,0.5142425,0.52628356,0.53531635,0.44029844,0.58560467,0.6739999
Norma,0.5289284,0.47868702,0.6152736,0.58523446,0.50992566,0.5243797,0.6240078,0.47075748,0.55788064,0.6489765
