,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
James,0.57201284,0.54688007,0.4966838,0.58035374,0.61264586,0.6467992,0.6012591,0.5720738,0.5254296,0.584702
John,0.5497403,0.5356212,0.50286204,0.5522674,0.63061357,0.6536546,0.6417243,0.5490121,0.49480054,0.56184226
Robert,0.56154513,0.53297484,0.46179312,0.5789398,0.64914477,0.6386135,0.6099342,0.5745179,0.51312137,0.5923822
Michael,0.57451487,0.5812219,0.46559045,0.55071044,0.6318313,0.62928605,0.6366607,0.5944269,0.52498573,0.56611806
William,0.5610008,0.5035335,0.46336317,0.5575417,0.60913134,0.64042294,0.61242825,0.54147196,0.49298933,0.5752053
David,0.5819664,0.55795753,0.52408385,0.5711373,0.64112014,0.61999774,0.5955292,0.5952561,0.536042,0.5525694
Joseph,0.580804,0.50554866,0.47430402,0.5240092,0.6223581,0.6395799,0.6059953,0.5506804,0.48974007,0.55942357
Richard,0.55593026,0.53624815,0.45792043,0.52939177,0.5993192,0.6035985,0.59864676,0.5505009,0.4940452,0.5506306
Charles,0.57376087,0.45732158,0.42839217,0.51350343,0.6150744,0.6159761,0.59438705,0.49340248,0.46656156,0.51648146
Thomas,0.5775693,0.54809904,0.5022137,0.5822582,0.6363399,0.6402627,0.637321,0.5530235,0.53158975,0.5903692
Christopher,0.60206366,0.55260295,0.48784614,0.596087,0.6696592,0.6699872,0.66494286,0.57268107,0.5354153,0.62997407
Daniel,0.5399556,0.5365269,0.49316207,0.54442465,0.6179607,0.63660026,0.58021873,0.58138096,0.4793154,0.558992
Matthew,0.55467135,0.5328057,0.5170686,0.5705523,0.6088257,0.6109263,0.63646257,0.5593487,0.4995296,0.5871743
George,0.56793004,0.55821127,0.49084663,0.6165539,0.6434943,0.6654488,0.6343894,0.57533115,0.56469953,0.59803843
Anthony,0.5976782,0.60115325,0.5174551,0.602884,0.64644474,0.67816484,0.6504674,0.60727847,0.56810725,0.6065229
Donald,0.48273382,0.50937957,0.44283354,0.51188767,0.5516757,0.57344925,0.5689589,0.5251205,0.47392243,0.50629246
Paul,0.5829263,0.5361295,0.49657416,0.5340314,0.63492936,0.6346365,0.62124836,0.5503394,0.5175615,0.54829204
Mark,0.6007799,0.5891046,0.54463196,0.54727393,0.62906754,0.6311985,0.64478165,0.5921454,0.59700024,0.5919293
Andrew,0.5670777,0.51219356,0.5183793,0.56478953,0.644101,0.6368952,0.6284115,0.5388867,0.5168015,0.58016765
Edward,0.5715365,0.5128796,0.47345537,0.5495186,0.6126991,0.6497567,0.60532975,0.5450079,0.5323498,0.5455055
