,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.5434164,0.5097762,0.5815799,0.55113983,0.56980866,0.4821502,0.59308445,0.5126734,0.5249479,0.6474512
John,0.5218278,0.5068849,0.6036897,0.5603501,0.5456914,0.5113867,0.6256,0.5020703,0.5319569,0.61664796
Robert,0.54806423,0.56308734,0.6198168,0.5615288,0.5537528,0.48515368,0.5974319,0.5297191,0.5194236,0.6427313
Michael,0.5194686,0.46524426,0.6065601,0.53921247,0.5503763,0.47452176,0.5652319,0.4857374,0.53035307,0.6389664
William,0.5255999,0.5427656,0.589079,0.5384917,0.5932313,0.46083647,0.60280126,0.51345694,0.5473,0.6039998
David,0.5197353,0.5010742,0.6263628,0.5471685,0.5747713,0.4728832,0.6021955,0.48465425,0.5110423,0.6485654
Joseph,0.5182946,0.5062028,0.5882941,0.55105007,0.569889,0.49491397,0.5424344,0.486225,0.5260294,0.63580287
Richard,0.5457018,0.5002542,0.6043103,0.5472909,0.59473526,0.48498583,0.5691229,0.50763595,0.5534779,0.6227608
Charles,0.5000042,0.49245927,0.57559526,0.5430238,0.5367019,0.48520535,0.6376565,0.48757493,0.52121466,0.59047073
Thomas,0.50633633,0.51982903,0.62493867,0.56834143,0.5886352,0.49008146,0.6318661,0.52579266,0.5367818,0.60758483
Christopher,0.5549892,0.51417404,0.59800386,0.567783,0.5522532,0.513371,0.62095046,0.5322193,0.5616385,0.6462115
Daniel,0.50710344,0.4598526,0.59216297,0.5559443,0.5573199,0.44808453,0.5702651,0.46637928,0.5065463,0.61325306
Matthew,0.55385655,0.5100717,0.5936029,0.54303527,0.55449295,0.4968286,0.58234644,0.49166608,0.53282964,0.63134086
George,0.5210273,0.49859318,0.5892271,0.572956,0.55475205,0.4998148,0.5915202,0.47568035,0.53595304,0.6157481
Anthony,0.52169585,0.5265851,0.5995951,0.5694761,0.55536795,0.5211992,0.5675996,0.5288473,0.5282656,0.6515221
Donald,0.50800383,0.4698126,0.5763574,0.48880062,0.55035007,0.41842797,0.58602357,0.4750504,0.48885593,0.61911887
Paul,0.53395903,0.4748758,0.6463199,0.578168,0.5201043,0.49319285,0.58769006,0.4879244,0.50981754,0.6516079
Mark,0.5458858,0.5359153,0.61913884,0.54509366,0.5301035,0.5123675,0.5789434,0.532173,0.55174494,0.6442753
Andrew,0.5307834,0.50275946,0.59205127,0.5625631,0.58374685,0.5085516,0.5979308,0.5077646,0.52348804,0.63775265
Edward,0.53045404,0.50385326,0.5809298,0.56981647,0.5624708,0.4933755,0.6284412,0.5000227,0.5393005,0.61813176
