"Name","Gender","Career","CosineSimilarity","STEM"
"James","M","Software.Developer",0.43808782,"Yes"
"James","M","Nurse.Practitioner",0.46802783,"Yes"
"James","M","Health.Services.Manager",0.48081386,"Yes"
"James","M","Physicians.Assistant",0.49028176,"Yes"
"James","M","Security.Analyst",0.44690612,"Yes"
"James","M","IT.Manager",0.5444171,"Yes"
"James","M","Web.Developer",0.478533,"Yes"
"James","M","Dentist",0.5631467,"Yes"
"James","M","Orthodontist",0.48703837,"Yes"
"James","M","Computer.Systems.Analyst",0.44587022,"Yes"
"John","M","Software.Developer",0.43136004,"Yes"
"John","M","Nurse.Practitioner",0.5194186,"Yes"
"John","M","Health.Services.Manager",0.47516185,"Yes"
"John","M","Physicians.Assistant",0.49342445,"Yes"
"John","M","Security.Analyst",0.4536281,"Yes"
"John","M","IT.Manager",0.5452986,"Yes"
"John","M","Web.Developer",0.45488602,"Yes"
"John","M","Dentist",0.56563866,"Yes"
"John","M","Orthodontist",0.548344,"Yes"
"John","M","Computer.Systems.Analyst",0.4646739,"Yes"
"Robert","M","Software.Developer",0.42537415,"Yes"
"Robert","M","Nurse.Practitioner",0.5153849,"Yes"
"Robert","M","Health.Services.Manager",0.47618514,"Yes"
"Robert","M","Physicians.Assistant",0.48814029,"Yes"
"Robert","M","Security.Analyst",0.46028015,"Yes"
"Robert","M","IT.Manager",0.53132874,"Yes"
"Robert","M","Web.Developer",0.4426484,"Yes"
"Robert","M","Dentist",0.5739426,"Yes"
"Robert","M","Orthodontist",0.58467966,"Yes"
"Robert","M","Computer.Systems.Analyst",0.4483629,"Yes"
"Michael","M","Software.Developer",0.4335122,"Yes"
"Michael","M","Nurse.Practitioner",0.55410504,"Yes"
"Michael","M","Health.Services.Manager",0.46789366,"Yes"
"Michael","M","Physicians.Assistant",0.48044857,"Yes"
"Michael","M","Security.Analyst",0.4793826,"Yes"
"Michael","M","IT.Manager",0.5511609,"Yes"
"Michael","M","Web.Developer",0.462878,"Yes"
"Michael","M","Dentist",0.5543796,"Yes"
"Michael","M","Orthodontist",0.54185843,"Yes"
"Michael","M","Computer.Systems.Analyst",0.5094198,"Yes"
"William","M","Software.Developer",0.42369944,"Yes"
"William","M","Nurse.Practitioner",0.5236256,"Yes"
"William","M","Health.Services.Manager",0.4557486,"Yes"
"William","M","Physicians.Assistant",0.47843647,"Yes"
"William","M","Security.Analyst",0.46399394,"Yes"
"William","M","IT.Manager",0.5061875,"Yes"
"William","M","Web.Developer",0.4624894,"Yes"
"William","M","Dentist",0.51315176,"Yes"
"William","M","Orthodontist",0.50776625,"Yes"
"William","M","Computer.Systems.Analyst",0.45983705,"Yes"
"David","M","Software.Developer",0.46542382,"Yes"
"David","M","Nurse.Practitioner",0.4743734,"Yes"
"David","M","Health.Services.Manager",0.4687245,"Yes"
"David","M","Physicians.Assistant",0.46977243,"Yes"
"David","M","Security.Analyst",0.46500468,"Yes"
"David","M","IT.Manager",0.53139913,"Yes"
"David","M","Web.Developer",0.48771793,"Yes"
"David","M","Dentist",0.5471311,"Yes"
"David","M","Orthodontist",0.5273582,"Yes"
"David","M","Computer.Systems.Analyst",0.4622288,"Yes"
"Joseph","M","Software.Developer",0.44843772,"Yes"
"Joseph","M","Nurse.Practitioner",0.5342123,"Yes"
"Joseph","M","Health.Services.Manager",0.46791995,"Yes"
"Joseph","M","Physicians.Assistant",0.45781857,"Yes"
"Joseph","M","Security.Analyst",0.42838132,"Yes"
"Joseph","M","IT.Manager",0.5247034,"Yes"
"Joseph","M","Web.Developer",0.46368605,"Yes"
"Joseph","M","Dentist",0.5178952,"Yes"
"Joseph","M","Orthodontist",0.5212409,"Yes"
"Joseph","M","Computer.Systems.Analyst",0.43313444,"Yes"
"Richard","M","Software.Developer",0.43418133,"Yes"
"Richard","M","Nurse.Practitioner",0.5435788,"Yes"
"Richard","M","Health.Services.Manager",0.4670369,"Yes"
"Richard","M","Physicians.Assistant",0.41515929,"Yes"
"Richard","M","Security.Analyst",0.44592857,"Yes"
"Richard","M","IT.Manager",0.5191263,"Yes"
"Richard","M","Web.Developer",0.45372802,"Yes"
"Richard","M","Dentist",0.53699845,"Yes"
"Richard","M","Orthodontist",0.5419545,"Yes"
"Richard","M","Computer.Systems.Analyst",0.47585833,"Yes"
"Charles","M","Software.Developer",0.43019938,"Yes"
"Charles","M","Nurse.Practitioner",0.530084,"Yes"
"Charles","M","Health.Services.Manager",0.4240687,"Yes"
"Charles","M","Physicians.Assistant",0.44387022,"Yes"
"Charles","M","Security.Analyst",0.45445156,"Yes"
"Charles","M","IT.Manager",0.47395277,"Yes"
"Charles","M","Web.Developer",0.42813116,"Yes"
"Charles","M","Dentist",0.5124024,"Yes"
"Charles","M","Orthodontist",0.52484804,"Yes"
"Charles","M","Computer.Systems.Analyst",0.4693036,"Yes"
"Thomas","M","Software.Developer",0.43328235,"Yes"
"Thomas","M","Nurse.Practitioner",0.52379453,"Yes"
"Thomas","M","Health.Services.Manager",0.46835476,"Yes"
"Thomas","M","Physicians.Assistant",0.47258022,"Yes"
"Thomas","M","Security.Analyst",0.47011948,"Yes"
"Thomas","M","IT.Manager",0.54630053,"Yes"
"Thomas","M","Web.Developer",0.46161002,"Yes"
"Thomas","M","Dentist",0.558939,"Yes"
"Thomas","M","Orthodontist",0.52878606,"Yes"
"Thomas","M","Computer.Systems.Analyst",0.47967884,"Yes"
"Christopher","M","Software.Developer",0.46073622,"Yes"
"Christopher","M","Nurse.Practitioner",0.5375017,"Yes"
"Christopher","M","Health.Services.Manager",0.48642308,"Yes"
"Christopher","M","Physicians.Assistant",0.4900149,"Yes"
"Christopher","M","Security.Analyst",0.48800015,"Yes"
"Christopher","M","IT.Manager",0.54974914,"Yes"
"Christopher","M","Web.Developer",0.47738183,"Yes"
"Christopher","M","Dentist",0.5908507,"Yes"
"Christopher","M","Orthodontist",0.55985165,"Yes"
"Christopher","M","Computer.Systems.Analyst",0.5062649,"Yes"
"Daniel","M","Software.Developer",0.4504953,"Yes"
"Daniel","M","Nurse.Practitioner",0.48014465,"Yes"
"Daniel","M","Health.Services.Manager",0.4711613,"Yes"
"Daniel","M","Physicians.Assistant",0.4594078,"Yes"
"Daniel","M","Security.Analyst",0.4741975,"Yes"
"Daniel","M","IT.Manager",0.53082216,"Yes"
"Daniel","M","Web.Developer",0.47943497,"Yes"
"Daniel","M","Dentist",0.5311959,"Yes"
"Daniel","M","Orthodontist",0.52448696,"Yes"
"Daniel","M","Computer.Systems.Analyst",0.48157406,"Yes"
"Matthew","M","Software.Developer",0.4604275,"Yes"
"Matthew","M","Nurse.Practitioner",0.5193353,"Yes"
"Matthew","M","Health.Services.Manager",0.47328004,"Yes"
"Matthew","M","Physicians.Assistant",0.46355247,"Yes"
