"Name","Gender","Word","CosineSimilarity","Good_or_Bad"
"James","M","happy",0.5434164,"Good"
"James","M","agreeable",0.5097762,"Good"
"James","M","polite",0.5815799,"Good"
"James","M","civil",0.55113983,"Good"
"James","M","charming",0.56980866,"Good"
"James","M","gracious",0.4821502,"Good"
"James","M","gentle",0.59308445,"Good"
"James","M","approachable",0.5126734,"Good"
"James","M","love",0.5249479,"Good"
"James","M","cool",0.6474512,"Good"
"John","M","happy",0.5218278,"Good"
"John","M","agreeable",0.5068849,"Good"
"John","M","polite",0.6036897,"Good"
"John","M","civil",0.5603501,"Good"
"John","M","charming",0.5456914,"Good"
"John","M","gracious",0.5113867,"Good"
"John","M","gentle",0.6256,"Good"
"John","M","approachable",0.5020703,"Good"
"John","M","love",0.5319569,"Good"
"John","M","cool",0.61664796,"Good"
"Robert","M","happy",0.54806423,"Good"
"Robert","M","agreeable",0.56308734,"Good"
"Robert","M","polite",0.6198168,"Good"
"Robert","M","civil",0.5615288,"Good"
"Robert","M","charming",0.5537528,"Good"
"Robert","M","gracious",0.48515368,"Good"
"Robert","M","gentle",0.5974319,"Good"
"Robert","M","approachable",0.5297191,"Good"
"Robert","M","love",0.5194236,"Good"
"Robert","M","cool",0.6427313,"Good"
"Michael","M","happy",0.5194686,"Good"
"Michael","M","agreeable",0.46524426,"Good"
"Michael","M","polite",0.6065601,"Good"
"Michael","M","civil",0.53921247,"Good"
"Michael","M","charming",0.5503763,"Good"
"Michael","M","gracious",0.47452176,"Good"
"Michael","M","gentle",0.5652319,"Good"
"Michael","M","approachable",0.4857374,"Good"
"Michael","M","love",0.53035307,"Good"
"Michael","M","cool",0.6389664,"Good"
"William","M","happy",0.5255999,"Good"
"William","M","agreeable",0.5427656,"Good"
"William","M","polite",0.589079,"Good"
"William","M","civil",0.5384917,"Good"
"William","M","charming",0.5932313,"Good"
"William","M","gracious",0.46083647,"Good"
"William","M","gentle",0.60280126,"Good"
"William","M","approachable",0.51345694,"Good"
"William","M","love",0.5473,"Good"
"William","M","cool",0.6039998,"Good"
"David","M","happy",0.5197353,"Good"
"David","M","agreeable",0.5010742,"Good"
"David","M","polite",0.6263628,"Good"
"David","M","civil",0.5471685,"Good"
"David","M","charming",0.5747713,"Good"
"David","M","gracious",0.4728832,"Good"
"David","M","gentle",0.6021955,"Good"
"David","M","approachable",0.48465425,"Good"
"David","M","love",0.5110423,"Good"
"David","M","cool",0.6485654,"Good"
"Joseph","M","happy",0.5182946,"Good"
"Joseph","M","agreeable",0.5062028,"Good"
"Joseph","M","polite",0.5882941,"Good"
"Joseph","M","civil",0.55105007,"Good"
"Joseph","M","charming",0.569889,"Good"
"Joseph","M","gracious",0.49491397,"Good"
"Joseph","M","gentle",0.5424344,"Good"
"Joseph","M","approachable",0.486225,"Good"
"Joseph","M","love",0.5260294,"Good"
"Joseph","M","cool",0.63580287,"Good"
"Richard","M","happy",0.5457018,"Good"
"Richard","M","agreeable",0.5002542,"Good"
"Richard","M","polite",0.6043103,"Good"
"Richard","M","civil",0.5472909,"Good"
"Richard","M","charming",0.59473526,"Good"
"Richard","M","gracious",0.48498583,"Good"
"Richard","M","gentle",0.5691229,"Good"
"Richard","M","approachable",0.50763595,"Good"
"Richard","M","love",0.5534779,"Good"
"Richard","M","cool",0.6227608,"Good"
"Charles","M","happy",0.5000042,"Good"
"Charles","M","agreeable",0.49245927,"Good"
"Charles","M","polite",0.57559526,"Good"
"Charles","M","civil",0.5430238,"Good"
"Charles","M","charming",0.5367019,"Good"
"Charles","M","gracious",0.48520535,"Good"
"Charles","M","gentle",0.6376565,"Good"
"Charles","M","approachable",0.48757493,"Good"
"Charles","M","love",0.52121466,"Good"
"Charles","M","cool",0.59047073,"Good"
"Thomas","M","happy",0.50633633,"Good"
"Thomas","M","agreeable",0.51982903,"Good"
"Thomas","M","polite",0.62493867,"Good"
"Thomas","M","civil",0.56834143,"Good"
"Thomas","M","charming",0.5886352,"Good"
"Thomas","M","gracious",0.49008146,"Good"
"Thomas","M","gentle",0.6318661,"Good"
"Thomas","M","approachable",0.52579266,"Good"
"Thomas","M","love",0.5367818,"Good"
"Thomas","M","cool",0.60758483,"Good"
"Christopher","M","happy",0.5549892,"Good"
"Christopher","M","agreeable",0.51417404,"Good"
"Christopher","M","polite",0.59800386,"Good"
"Christopher","M","civil",0.567783,"Good"
"Christopher","M","charming",0.5522532,"Good"
"Christopher","M","gracious",0.513371,"Good"
"Christopher","M","gentle",0.62095046,"Good"
"Christopher","M","approachable",0.5322193,"Good"
"Christopher","M","love",0.5616385,"Good"
"Christopher","M","cool",0.6462115,"Good"
"Daniel","M","happy",0.50710344,"Good"
"Daniel","M","agreeable",0.4598526,"Good"
"Daniel","M","polite",0.59216297,"Good"
"Daniel","M","civil",0.5559443,"Good"
"Daniel","M","charming",0.5573199,"Good"
"Daniel","M","gracious",0.44808453,"Good"
"Daniel","M","gentle",0.5702651,"Good"
"Daniel","M","approachable",0.46637928,"Good"
"Daniel","M","love",0.5065463,"Good"
"Daniel","M","cool",0.61325306,"Good"
"Matthew","M","happy",0.55385655,"Good"
"Matthew","M","agreeable",0.5100717,"Good"
"Matthew","M","polite",0.5936029,"Good"
"Matthew","M","civil",0.54303527,"Good"
"Matthew","M","charming",0.55449295,"Good"
"Matthew","M","gracious",0.4968286,"Good"
"Matthew","M","gentle",0.58234644,"Good"
"Matthew","M","approachable",0.49166608,"Good"
"Matthew","M","love",0.53282964,"Good"
"Matthew","M","cool",0.63134086,"Good"
"George","M","happy",0.5210273,"Good"
"George","M","agreeable",0.49859318,"Good"
"George","M","polite",0.5892271,"Good"
"George","M","civil",0.572956,"Good"
"George","M","charming",0.55475205,"Good"
"George","M","gracious",0.4998148,"Good"
"George","M","gentle",0.5915202,"Good"
"George","M","approachable",0.47568035,"Good"
"George","M","love",0.53595304,"Good"
"George","M","cool",0.6157481,"Good"
"Anthony","M","happy",0.52169585,"Good"
"Anthony","M","agreeable",0.5265851,"Good"
"Anthony","M","polite",0.5995951,"Good"
"Anthony","M","civil",0.5694761,"Good"
"Anthony","M","charming",0.55536795,"Good"
"Anthony","M","gracious",0.5211992,"Good"
"Anthony","M","gentle",0.5675996,"Good"
"Anthony","M","approachable",0.5288473,"Good"
"Anthony","M","love",0.5282656,"Good"
"Anthony","M","cool",0.6515221,"Good"
"Donald","M","happy",0.50800383,"Good"
"Donald","M","agreeable",0.4698126,"Good"
"Donald","M","polite",0.5763574,"Good"
"Donald","M","civil",0.48880062,"Good"
"Donald","M","charming",0.55035007,"Good"
