,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Reginald,0.2514515,0.33678123,0.2701856,0.45552844,0.25550324,0.3950909,0.2546461,0.3228845,0.36218715,0.3059399
Kameron,0.3455013,0.43202662,0.34671322,0.535653,0.38054842,0.46604872,0.31135306,0.53209865,0.4137082,0.43819815
Kendrick,0.28696337,0.30489784,0.26530927,0.42888606,0.28498268,0.3335573,0.3007143,0.43192375,0.27085808,0.3815849
Javon,0.58121943,0.72011375,0.56775,0.66588265,0.5699174,0.6783566,0.4211983,0.71509975,0.55032206,0.64321077
Tyrell,0.16768238,0.21583025,0.13278489,0.30626065,0.12517858,0.2758657,0.17576012,0.2713261,0.2384759,0.17109989
Jamar,0.33394492,0.4231376,0.36120513,0.5281632,0.38937402,0.44458777,0.35424006,0.53835785,0.37451687,0.38254818
Camron,0.18725522,0.25783473,0.19919077,0.372229,0.23513961,0.27139974,0.2517901,0.39039975,0.2871319,0.3261249
Tyree,0.16713226,0.23563612,0.17308432,0.35634208,0.13506587,0.27005312,0.21595597,0.29450873,0.2325795,0.20844816
Jamari,0.3619611,0.4533131,0.38897908,0.567708,0.3816405,0.49807763,0.3494235,0.55829644,0.4102159,0.40675783
Reggie,0.2629596,0.34400538,0.2831374,0.4445306,0.26600024,0.3941886,0.28260136,0.33643478,0.32597518,0.35627455
Jada,0.5580185,0.6953193,0.5622758,0.7041555,0.5893135,0.6695005,0.47522098,0.7023995,0.56104755,0.63622904
Latoya,0.22607292,0.31249744,0.27487612,0.47064176,0.3004844,0.34987473,0.357235,0.40990895,0.36399758,0.24587007
Jayla,0.27157062,0.35021484,0.26812053,0.42021027,0.2618476,0.33950087,0.29145128,0.43393612,0.32835206,0.28328192
Tamika,0.33613595,0.443454,0.36255813,0.5580425,0.3645735,0.46922848,0.38623053,0.53111833,0.3999744,0.40185374
Latoyna,0.20876393,0.30285358,0.28368998,0.465787,0.29093248,0.33423245,0.33283204,0.37924945,0.35581738,0.24023119
Journey,0.21531829,0.26249152,0.23115763,0.35841745,0.2512019,0.28018278,0.24740139,0.42828703,0.27901357,0.2689141
Tameka,0.45385763,0.5873742,0.49294662,0.7014622,0.49360317,0.6028281,0.48875356,0.6516154,0.5225945,0.5522827
Journee,0.42477518,0.50605506,0.40649983,0.631484,0.4309684,0.55921614,0.3797317,0.59778386,0.4597775,0.46152458
Lawanda,0.20318967,0.33587536,0.21939993,0.41670695,0.24221998,0.3501842,0.25291973,0.3944275,0.2889567,0.29065168
Janiya,0.3074598,0.36551565,0.35077885,0.49900064,0.34158158,0.3923651,0.3458059,0.43431133,0.3675893,0.33825642
