,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.15423982,0.13918203,0.19449735,0.19097292,0.53450805,0.08155027,0.14315224,0.09925954,0.20302081,0.10010566
John,0.254573,0.2086558,0.2982174,0.3139781,0.46741343,0.14853582,0.18025781,0.14543661,0.2846806,0.16492759
Robert,0.11412107,0.1059913,0.10278945,0.17473099,0.35882297,0.022596896,0.116097346,0.10123548,0.16901517,0.111700535
Michael,0.23725885,0.139858,0.26296735,0.25630122,0.39389902,0.110103905,0.120139934,0.2142383,0.30004203,0.17097133
William,0.24339707,0.094859585,0.22537762,0.27083647,0.46508053,0.16420129,0.2616695,0.17436522,0.32515258,0.22602168
David,0.19429955,0.13162401,0.19325632,0.3201626,0.53839344,0.13139808,0.14149234,0.23835275,0.28363967,0.19071403
Joseph,0.095039144,0.06616013,0.12752336,0.16830912,0.37958467,0.10969064,0.05564929,0.10472305,0.18201351,0.10796586
Richard,0.17097677,0.06865239,0.1281633,0.22786358,0.25872773,0.06251037,0.1173968,0.13718793,0.21866196,0.10801739
Charles,0.106306404,0.05064248,0.19322313,0.2133393,0.36805478,0.08912164,0.1172057,0.15427044,0.25108278,0.11253168
Thomas,0.2608481,0.10134894,0.2926547,0.24462403,0.43369946,0.12922496,0.11719784,0.1938239,0.27686602,0.18069094
Mary,0.15179422,0.13415672,0.22974701,0.34510264,0.5397055,0.2231707,0.15887883,0.21938121,0.3125402,0.22864944
Elizabeth,0.08107543,0.07251571,0.14202318,0.18117955,0.3901019,0.10435428,0.051065642,0.11068821,0.17840482,0.06369999
Patricia,0.2322013,0.26472583,0.22243051,0.22797489,0.33314627,0.2597198,0.08556625,0.24542053,0.27358586,0.22958195
Jennifer,0.26556563,0.31872737,0.30398113,0.30736572,0.3915052,0.25264838,0.1781025,0.28281933,0.3099979,0.27705127
Linda,0.180105,0.27932075,0.23776564,0.29684654,0.32738853,0.1450068,0.06856082,0.23838592,0.21659002,0.14357892
Barbara,0.22488977,0.17722678,0.22603859,0.29838067,0.34354773,0.16703604,0.1014994,0.17547497,0.26445034,0.20473799
Margaret,0.1993492,0.17978391,0.27107048,0.28602567,0.4821341,0.26374108,0.1033472,0.29346818,0.30071512,0.19769198
Susan,0.29600155,0.20916408,0.28501785,0.27893126,0.43442044,0.2203477,0.12466207,0.2925613,0.33109665,0.20276275
Sarah,0.21899733,0.11185614,0.2719197,0.2906026,0.5081605,0.18249226,0.12011954,0.22740322,0.33008057,0.20431611
Jessica,0.22262913,0.23598725,0.29621005,0.24987519,0.4215991,0.23846951,0.12778234,0.24991211,0.33523536,0.24479343
