,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
Mary,0.15179145,0.36616102,0.38311765,0.25308347,0.1379723,0.32185093,0.17428212,0.20058858,0.14785442,0.20954818
Elizabeth,0.05231137,0.31881088,0.2560221,0.2896331,0.15834945,0.1312721,0.048257396,0.22619683,0.2583986,0.16117075
Patricia,0.1467372,0.25384077,0.18387279,0.16353416,0.16783865,0.21925297,0.10597353,0.3019211,0.21097335,0.2411856
Jennifer,0.1954648,0.29129177,0.22604159,0.14089021,0.17296256,0.28076923,0.16200644,0.23096806,0.11284228,0.25654057
Linda,0.06485009,0.34845015,0.411815,0.32664466,0.14029917,0.24095888,0.00489844,0.25669324,0.18663457,0.17516474
Barbara,0.18059054,0.33434469,0.29851282,0.2632246,0.18158227,0.28102195,0.09689264,0.2732358,0.22516991,0.21552438
Margaret,0.11309178,0.43016267,0.3855094,0.35133335,0.19357918,0.29437977,0.10715363,0.3714109,0.29410172,0.23737642
Susan,0.20982176,0.33795443,0.20468032,0.26813757,0.19483083,0.24315725,0.2101613,0.36017802,0.36204442,0.17492971
Dorothy,0.077006295,0.13973126,0.051417623,0.07806276,0.10706905,0.17387713,0.04038377,0.16886266,0.121298105,0.103851974
Sarah,0.06839608,0.28804526,0.34718567,0.2449731,0.16361365,0.23685458,0.20240062,0.24123076,0.210085,0.09444989
Jessica,0.06694932,0.24172245,0.26512042,0.13733493,0.11296152,0.1220442,0.08929762,0.2791369,0.22730231,0.09137375
Helen,0.06881047,0.29024595,0.2153185,0.24028063,0.17229986,0.18393676,0.20085526,0.18561846,0.28107613,0.13786364
Nancy,0.018112125,0.4019343,0.22200856,0.2976037,0.25640786,0.17779425,0.13585237,0.10568344,0.115348384,0.17329875
Betty,0.053301916,0.15963525,0.29899114,0.21809357,0.107867986,0.20926163,0.15337384,0.11510826,0.10048157,0.1412629
Karen,0.22686721,0.42518806,0.33623874,0.35620186,0.2487535,0.3445305,0.23705168,0.32573298,0.25648004,0.27121115
Lisa,0.31048015,0.33896363,0.34976965,0.2404418,0.25419855,0.32973439,0.22182715,0.33259484,0.188362,0.28678942
Anna,0.09171787,0.29010338,0.32405114,0.21745382,0.22265086,0.21706544,0.06018902,0.27554452,0.23621999,0.16650233
Sandra,0.14523932,0.32298398,0.38419655,0.25099266,0.21110934,0.38474667,0.15931526,0.3247027,0.28935757,0.21954256
Emily,0.17139444,0.28087795,0.24017632,0.21690851,0.24971795,0.22198333,0.22788006,0.24184126,0.15520741,0.2631053
Ashley,0.032878906,0.17809676,0.12753093,0.079671815,0.20862913,0.10325511,0.035615936,0.16051,0.09225194,0.10751183
