,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Paul,0.20306039,0.27741006,0.28490713,0.3814339,0.2943709,0.3333336,0.27095473,0.3199385,0.29947677,0.3226576
Vincent,0.24587029,0.27756265,0.24746265,0.38061535,0.18704866,0.29930907,0.2873776,0.29779747,0.31732112,0.29634804
Victor,0.28691897,0.38457173,0.30749774,0.38768953,0.35251838,0.39743882,0.26537195,0.34217286,0.27248836,0.38690823
Adrian,0.3524797,0.43966863,0.42137873,0.5294336,0.41657585,0.43491483,0.3407715,0.53893167,0.330587,0.4444291
Marcus,0.21128732,0.2999887,0.31295013,0.36738855,0.22048397,0.36790264,0.1667711,0.3249815,0.30754492,0.26116043
Leo,0.4646542,0.47299004,0.32164133,0.5148756,0.42902476,0.49593008,0.28597212,0.47131833,0.45813513,0.47415492
Miles,0.3182506,0.37496242,0.23390979,0.3882783,0.30565518,0.39453858,0.1796242,0.38036984,0.40581,0.34669578
Roman,0.22192693,0.25654948,0.26548254,0.4087093,0.21275677,0.33393574,0.21870357,0.25158042,0.25079787,0.2941544
Sergio,0.22839043,0.26925814,0.23494896,0.30293754,0.18942904,0.25156257,0.18069854,0.23481938,0.18420817,0.30790722
Felix,0.28111157,0.34336144,0.34101725,0.3749253,0.41078568,0.34316862,0.24355169,0.31496796,0.29418188,0.30427212
Patricia,0.24977969,0.35422474,0.43157625,0.57555133,0.28642207,0.39063722,0.38500696,0.383524,0.26110655,0.36665606
Laura,0.19690324,0.30145788,0.36246198,0.36900812,0.27054307,0.29894343,0.31366143,0.38932776,0.30123994,0.30615306
Amanda,0.2658009,0.362943,0.34652233,0.51276505,0.29871577,0.41134697,0.28916863,0.35010618,0.30676937,0.37232006
Victoria,0.06248039,0.19509113,0.19033127,0.28977504,0.19358152,0.27575624,0.2255724,0.29214102,0.23073879,0.21743713
Julia,0.25797984,0.360039,0.4090643,0.49780208,0.35534182,0.44202426,0.35716474,0.41194513,0.3524546,0.30153954
Gloria,0.37588263,0.41074383,0.3595595,0.52108526,0.38358372,0.5068412,0.40910727,0.41009796,0.50862557,0.47182196
Diana,0.2791625,0.32898974,0.3110711,0.43738878,0.35572398,0.37703267,0.42828456,0.37281513,0.34626305,0.39876002
Clara,0.18281998,0.23591015,0.30608255,0.35448,0.29216313,0.2844081,0.3154697,0.2841934,0.22266522,0.28868437
Paula,0.35140336,0.36480525,0.34641153,0.42707247,0.30297595,0.3876074,0.3008312,0.41465098,0.41427186,0.40542686
Norma,0.3264737,0.48034373,0.4461205,0.65812206,0.37908563,0.4371347,0.4705422,0.5086946,0.33954847,0.49836344
