,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.26432312,0.2850212,0.23853268,0.4045049,0.24950668,0.3316705,0.2604733,0.32837224,0.34697825,0.26980272
John,0.2639168,0.3082859,0.21840453,0.43245417,0.21975994,0.3408131,0.24821685,0.32975274,0.34264314,0.3609684
Robert,0.15916398,0.21073428,0.21570513,0.27465034,0.1272277,0.27230167,0.22711629,0.28596747,0.25233507,0.20232472
Michael,0.33625138,0.33914006,0.3163634,0.52287275,0.3478049,0.48747677,0.28458756,0.4401947,0.32777095,0.3522959
William,0.18822092,0.22007972,0.11572665,0.36174583,0.20707516,0.29601163,0.1618242,0.2687218,0.29312193,0.23866513
David,0.23833655,0.33634537,0.30900776,0.45902675,0.24880782,0.342114,0.30751342,0.34633017,0.3511923,0.30911863
Joseph,0.23137826,0.28873366,0.22329372,0.32501912,0.18530455,0.33460975,0.1540342,0.30573934,0.25099245,0.21738413
Richard,0.10880166,0.170773,0.13242668,0.24783126,0.1033667,0.2479958,0.09759949,0.19752683,0.21275857,0.13344291
Charles,0.24169353,0.3079599,0.26763418,0.3918221,0.31061703,0.40368313,0.28764707,0.3962986,0.34859836,0.2649699
Thomas,0.19456469,0.28964508,0.2728754,0.43060777,0.17953148,0.34403092,0.19752121,0.37115502,0.2535602,0.26524004
Christopher,0.3349085,0.35750285,0.3264624,0.5306908,0.31086788,0.41378635,0.31858328,0.45612568,0.30702114,0.37073117
Daniel,0.23364857,0.31064132,0.257645,0.48131263,0.22863987,0.3469903,0.22206786,0.34561056,0.30721998,0.31240565
Matthew,0.22961804,0.3761587,0.30656755,0.43951342,0.22840755,0.36325526,0.31402636,0.36163855,0.36943784,0.32597643
George,0.32586592,0.38561988,0.28400567,0.4348516,0.3298815,0.48946294,0.2942105,0.33074543,0.48116565,0.42495793
Anthony,0.26757705,0.3527934,0.35376787,0.39338717,0.32259735,0.40467542,0.2991352,0.47403622,0.23759317,0.30840665
Donald,0.2687195,0.34828472,0.30079374,0.4445132,0.25205916,0.3724802,0.2601195,0.35830817,0.2952334,0.34500343
Paul,0.20306042,0.27741006,0.2849071,0.381434,0.2943709,0.33333367,0.2709548,0.31993854,0.29947674,0.3226576
Mark,0.29145712,0.40134668,0.34358674,0.49918777,0.29851192,0.43702072,0.27566725,0.45453477,0.35767615,0.36849058
Andrew,0.20692188,0.28212073,0.20640242,0.34026623,0.22516769,0.32235187,0.19972597,0.31408393,0.28166905,0.25192386
Edward,0.23938894,0.34721237,0.33269018,0.4417535,0.33203924,0.4158391,0.25374836,0.3753349,0.24712226,0.31886023
