,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.15423982,0.13918203,0.19449735,0.19097292,0.53450805,0.08155027,0.14315224,0.09925954,0.20302081,0.10010566
John,0.254573,0.2086558,0.2982174,0.3139781,0.46741343,0.14853582,0.18025781,0.14543661,0.2846806,0.16492759
Robert,0.11412107,0.1059913,0.10278945,0.17473099,0.35882297,0.022596896,0.116097346,0.10123548,0.16901517,0.111700535
Michael,0.23725885,0.139858,0.26296735,0.25630122,0.39389902,0.110103905,0.120139934,0.2142383,0.30004203,0.17097133
William,0.24339707,0.094859585,0.22537762,0.27083647,0.46508053,0.16420129,0.2616695,0.17436522,0.32515258,0.22602168
David,0.19429955,0.13162401,0.19325632,0.3201626,0.53839344,0.13139808,0.14149234,0.23835275,0.28363967,0.19071403
Joseph,0.095039144,0.06616013,0.12752336,0.16830912,0.37958467,0.10969064,0.05564929,0.10472305,0.18201351,0.10796586
Richard,0.17097677,0.06865239,0.1281633,0.22786358,0.25872773,0.06251037,0.1173968,0.13718793,0.21866196,0.10801739
Charles,0.106306404,0.05064248,0.19322313,0.2133393,0.36805478,0.08912164,0.1172057,0.15427044,0.25108278,0.11253168
Thomas,0.2608481,0.10134894,0.2926547,0.24462403,0.43369946,0.12922496,0.11719784,0.1938239,0.27686602,0.18069094
Christopher,0.2318032,0.14136156,0.22170526,0.25777483,0.40709072,0.013211226,0.116263956,0.08170116,0.25379834,0.10088305
Daniel,0.1457496,0.1255691,0.18990657,0.2035777,0.43173578,0.134327,0.038891755,0.20918268,0.21294713,0.12011817
Matthew,0.16175868,0.12923229,0.27011198,0.2930889,0.38953263,0.0955535,0.090478435,0.22718291,0.3225665,0.10794935
George,0.2371994,0.15843475,0.26855224,0.34023845,0.5302317,0.17564523,0.19270495,0.24423224,0.35267112,0.20144425
Anthony,0.2675542,0.13986802,0.24407226,0.22835568,0.38687247,0.07694451,0.15961957,0.18955192,0.3043803,0.17105877
Donald,0.1884363,0.11606524,0.22827649,0.28381717,0.3491295,0.1250313,0.13414845,0.196875,0.22197759,0.20307055
Paul,0.21395487,0.18629602,0.18473941,0.2277506,0.37621114,0.121248715,0.07114524,0.10857689,0.22964239,0.09454328
Mark,0.24561684,0.11858719,0.2612821,0.36864418,0.56314635,0.20760497,0.18558615,0.341183,0.45160133,0.28538322
Andrew,0.21232665,0.15893723,0.18006012,0.19332606,0.45421886,0.16027072,0.18026362,0.20235425,0.29806224,0.21231866
Edward,0.27523306,0.1318695,0.23659231,0.27041137,0.4752248,0.101710215,0.1815752,0.17979838,0.32126456,0.15852395
