"Name","Race","Word","CosineSimilarity","Good_or_Bad"
"Reginald","Black","happy",0.2514515,"Good"
"Reginald","Black","agreeable",0.33678123,"Good"
"Reginald","Black","polite",0.2701856,"Good"
"Reginald","Black","civil",0.45552844,"Good"
"Reginald","Black","charming",0.25550324,"Good"
"Reginald","Black","gracious",0.3950909,"Good"
"Reginald","Black","gentle",0.2546461,"Good"
"Reginald","Black","approachable",0.3228845,"Good"
"Reginald","Black","love",0.36218715,"Good"
"Reginald","Black","cool",0.3059399,"Good"
"Kameron","Black","happy",0.3455013,"Good"
"Kameron","Black","agreeable",0.43202662,"Good"
"Kameron","Black","polite",0.34671322,"Good"
"Kameron","Black","civil",0.535653,"Good"
"Kameron","Black","charming",0.38054842,"Good"
"Kameron","Black","gracious",0.46604872,"Good"
"Kameron","Black","gentle",0.31135306,"Good"
"Kameron","Black","approachable",0.53209865,"Good"
"Kameron","Black","love",0.4137082,"Good"
"Kameron","Black","cool",0.43819815,"Good"
"Kendrick","Black","happy",0.28696337,"Good"
"Kendrick","Black","agreeable",0.30489784,"Good"
"Kendrick","Black","polite",0.26530927,"Good"
"Kendrick","Black","civil",0.42888606,"Good"
"Kendrick","Black","charming",0.28498268,"Good"
"Kendrick","Black","gracious",0.3335573,"Good"
"Kendrick","Black","gentle",0.3007143,"Good"
"Kendrick","Black","approachable",0.43192375,"Good"
"Kendrick","Black","love",0.27085808,"Good"
"Kendrick","Black","cool",0.3815849,"Good"
"Javon","Black","happy",0.58121943,"Good"
"Javon","Black","agreeable",0.72011375,"Good"
"Javon","Black","polite",0.56775,"Good"
"Javon","Black","civil",0.66588265,"Good"
"Javon","Black","charming",0.5699174,"Good"
"Javon","Black","gracious",0.6783566,"Good"
"Javon","Black","gentle",0.4211983,"Good"
"Javon","Black","approachable",0.71509975,"Good"
"Javon","Black","love",0.55032206,"Good"
"Javon","Black","cool",0.64321077,"Good"
"Tyrell","Black","happy",0.16768238,"Good"
"Tyrell","Black","agreeable",0.21583025,"Good"
"Tyrell","Black","polite",0.13278489,"Good"
"Tyrell","Black","civil",0.30626065,"Good"
"Tyrell","Black","charming",0.12517858,"Good"
"Tyrell","Black","gracious",0.2758657,"Good"
"Tyrell","Black","gentle",0.17576012,"Good"
"Tyrell","Black","approachable",0.2713261,"Good"
"Tyrell","Black","love",0.2384759,"Good"
"Tyrell","Black","cool",0.17109989,"Good"
"Jamar","Black","happy",0.33394492,"Good"
"Jamar","Black","agreeable",0.4231376,"Good"
"Jamar","Black","polite",0.36120513,"Good"
"Jamar","Black","civil",0.5281632,"Good"
"Jamar","Black","charming",0.38937402,"Good"
"Jamar","Black","gracious",0.44458777,"Good"
"Jamar","Black","gentle",0.35424006,"Good"
"Jamar","Black","approachable",0.53835785,"Good"
"Jamar","Black","love",0.37451687,"Good"
"Jamar","Black","cool",0.38254818,"Good"
"Camron","Black","happy",0.18725522,"Good"
"Camron","Black","agreeable",0.25783473,"Good"
"Camron","Black","polite",0.19919077,"Good"
"Camron","Black","civil",0.372229,"Good"
"Camron","Black","charming",0.23513961,"Good"
"Camron","Black","gracious",0.27139974,"Good"
"Camron","Black","gentle",0.2517901,"Good"
"Camron","Black","approachable",0.39039975,"Good"
"Camron","Black","love",0.2871319,"Good"
"Camron","Black","cool",0.3261249,"Good"
"Tyree","Black","happy",0.16713226,"Good"
"Tyree","Black","agreeable",0.23563612,"Good"
"Tyree","Black","polite",0.17308432,"Good"
"Tyree","Black","civil",0.35634208,"Good"
"Tyree","Black","charming",0.13506587,"Good"
"Tyree","Black","gracious",0.27005312,"Good"
"Tyree","Black","gentle",0.21595597,"Good"
"Tyree","Black","approachable",0.29450873,"Good"
"Tyree","Black","love",0.2325795,"Good"
"Tyree","Black","cool",0.20844816,"Good"
"Jamari","Black","happy",0.3619611,"Good"
"Jamari","Black","agreeable",0.4533131,"Good"
"Jamari","Black","polite",0.38897908,"Good"
"Jamari","Black","civil",0.567708,"Good"
"Jamari","Black","charming",0.3816405,"Good"
"Jamari","Black","gracious",0.49807763,"Good"
"Jamari","Black","gentle",0.3494235,"Good"
"Jamari","Black","approachable",0.55829644,"Good"
"Jamari","Black","love",0.4102159,"Good"
"Jamari","Black","cool",0.40675783,"Good"
"Reggie","Black","happy",0.2629596,"Good"
"Reggie","Black","agreeable",0.34400538,"Good"
"Reggie","Black","polite",0.2831374,"Good"
"Reggie","Black","civil",0.4445306,"Good"
"Reggie","Black","charming",0.26600024,"Good"
"Reggie","Black","gracious",0.3941886,"Good"
