"","term","contrast","estimate","null.value","conf.low","conf.high","adj.p.value","TestName","Model"
"1","Gender","F-M",0.0123315793564893,0,-0.00798761357272997,0.0326507722857086,0.233534322326089,"NC","STSB"
"2","Gender","F-M",0.0406042978068792,0,0.0195863691677563,0.0616222264460022,0.000168646307357023,"SC","STSB"
"3","Gender","F-M",0.0342034333967772,0,0.0157988656165592,0.0526080011769953,0.000293251415272811,"PG","STSB"
"4","Gender","F-M",0.0213475825829378,0,-0.000992601273036901,0.0436877664389125,0.0610307768000967,"UG","STSB"
"5","Race","Chinese-White",0.109238096158381,0,0.0782735863187111,0.140202605998051,0,"PR","STSB"
"6","Race","Latinx-White",0.0279333573141395,0,-0.00303115252553043,0.0588978671538094,0.0938022506856533,"PR","STSB"
"7","Race","Black-White",0.0742227253807435,0,0.0432582155410736,0.105187235220413,0,"PR","STSB"
"8","Race","Latinx-Chinese",-0.0813047388442416,0,-0.112269248683911,-0.0503402290045716,0,"PR","STSB"
"9","Race","Black-Chinese",-0.0350153707776375,0,-0.0659798806173074,-0.00405086093796759,0.0193397477011357,"PR","STSB"
"10","Race","Black-Latinx",0.0462893680666041,0,0.0153248582269341,0.077253877906274,0.000739210037004168,"PR","STSB"
"11","Race","Chinese-White",0.0772779565020019,0,0.0411176238174421,0.113438289186562,2.95836344532674e-07,"UR","STSB"
"12","Race","Latinx-White",-0.0190280019757267,0,-0.0551883346602865,0.0171323307088331,0.528298062665204,"UR","STSB"
"13","Race","Black-White",0.0686637211051656,0,0.0325033884206058,0.104824053789725,7.30523954972639e-06,"UR","STSB"
"14","Race","Latinx-Chinese",-0.0963059584777285,0,-0.132466291162288,-0.0601456257931688,0,"UR","STSB"
"15","Race","Black-Chinese",-0.00861423539683626,0,-0.044774568081396,0.0275460972877235,0.927858015250288,"UR","STSB"
"16","Race","Black-Latinx",0.0876917230808923,0,0.0515313903963325,0.123852055765452,0,"UR","STSB"
