,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Reginald,0.7382822,0.64987767,0.7774012,0.5637821,0.8381979,0.53242064,0.7990367,0.6982801,0.6550112,0.748615
Kameron,0.604671,0.5630041,0.624187,0.48426586,0.66570264,0.5179583,0.65174985,0.6195248,0.5845648,0.60473114
Kendrick,0.62041616,0.559042,0.65821815,0.5574351,0.6891426,0.470296,0.6872315,0.6025049,0.5953628,0.6521893
Javon,0.5684548,0.54118973,0.5641879,0.40959337,0.6435385,0.5159933,0.5943742,0.542476,0.54156345,0.5875834
Tyrell,0.5905938,0.5262793,0.5986663,0.52608776,0.6260965,0.4940698,0.65695256,0.5384469,0.60713947,0.55964035
Jamar,0.71793854,0.62320423,0.6966282,0.5558902,0.7457168,0.51893264,0.73763466,0.7193078,0.62937343,0.70255065
Camron,0.65715855,0.5897074,0.6621142,0.54416806,0.68712085,0.48501623,0.6966517,0.6733539,0.6291846,0.6730088
Tyree,0.64263,0.610589,0.63655424,0.4759781,0.7099924,0.516491,0.6806006,0.6470177,0.6363901,0.6424961
Jamari,0.7002432,0.6031559,0.66751385,0.5420307,0.72177935,0.558601,0.7123111,0.67256296,0.6293946,0.67870724
Reggie,0.76700485,0.6293603,0.76389873,0.55653894,0.8169571,0.5060531,0.77002865,0.66027075,0.6470555,0.7604288
Jada,0.6084635,0.53716266,0.5751623,0.44653252,0.6068393,0.48528793,0.58965147,0.54554516,0.53577816,0.5941314
Latoya,0.44821957,0.5079392,0.42883968,0.36026004,0.45555896,0.50184,0.47357464,0.49935555,0.4719969,0.46075583
Jayla,0.63307136,0.5642656,0.5859703,0.45273548,0.6445533,0.5086394,0.62592256,0.5724051,0.6010412,0.63133454
Tamika,0.58460915,0.53967226,0.55947244,0.4896477,0.59574807,0.47343266,0.598839,0.54486763,0.5597499,0.55274814
Latoyna,0.43658412,0.5026657,0.4345284,0.36581546,0.44868737,0.5050723,0.46265352,0.48935062,0.46015957,0.45328116
Journey,0.713724,0.5928217,0.72261184,0.564191,0.753258,0.4671773,0.74768984,0.7462005,0.6611018,0.7105391
Tameka,0.5960436,0.57410425,0.5742971,0.4750914,0.6209573,0.46836898,0.63858783,0.60065305,0.60090697,0.587501
Journee,0.5196513,0.50952286,0.4751751,0.46815315,0.4621156,0.4599604,0.4880461,0.48689887,0.52642816,0.4493729
Lawanda,0.7065064,0.64663655,0.7198982,0.57275563,0.7611759,0.53941613,0.7589347,0.7570151,0.6384401,0.7320639
Janiya,0.68044126,0.5571004,0.64751,0.49195457,0.7010697,0.500821,0.6878692,0.65305495,0.5860349,0.6478964
