"Name","Race","Word","CosineSimilarity","Good_or_Bad"
"Reginald","Black","happy",0.7382822,"Good"
"Reginald","Black","agreeable",0.64987767,"Good"
"Reginald","Black","polite",0.7774012,"Good"
"Reginald","Black","civil",0.5637821,"Good"
"Reginald","Black","charming",0.8381979,"Good"
"Reginald","Black","gracious",0.53242064,"Good"
"Reginald","Black","gentle",0.7990367,"Good"
"Reginald","Black","approachable",0.6982801,"Good"
"Reginald","Black","love",0.6550112,"Good"
"Reginald","Black","cool",0.748615,"Good"
"Kameron","Black","happy",0.604671,"Good"
"Kameron","Black","agreeable",0.5630041,"Good"
"Kameron","Black","polite",0.624187,"Good"
"Kameron","Black","civil",0.48426586,"Good"
"Kameron","Black","charming",0.66570264,"Good"
"Kameron","Black","gracious",0.5179583,"Good"
"Kameron","Black","gentle",0.65174985,"Good"
"Kameron","Black","approachable",0.6195248,"Good"
"Kameron","Black","love",0.5845648,"Good"
"Kameron","Black","cool",0.60473114,"Good"
"Kendrick","Black","happy",0.62041616,"Good"
"Kendrick","Black","agreeable",0.559042,"Good"
"Kendrick","Black","polite",0.65821815,"Good"
"Kendrick","Black","civil",0.5574351,"Good"
"Kendrick","Black","charming",0.6891426,"Good"
"Kendrick","Black","gracious",0.470296,"Good"
"Kendrick","Black","gentle",0.6872315,"Good"
"Kendrick","Black","approachable",0.6025049,"Good"
"Kendrick","Black","love",0.5953628,"Good"
"Kendrick","Black","cool",0.6521893,"Good"
"Javon","Black","happy",0.5684548,"Good"
"Javon","Black","agreeable",0.54118973,"Good"
"Javon","Black","polite",0.5641879,"Good"
"Javon","Black","civil",0.40959337,"Good"
"Javon","Black","charming",0.6435385,"Good"
"Javon","Black","gracious",0.5159933,"Good"
"Javon","Black","gentle",0.5943742,"Good"
"Javon","Black","approachable",0.542476,"Good"
"Javon","Black","love",0.54156345,"Good"
"Javon","Black","cool",0.5875834,"Good"
"Tyrell","Black","happy",0.5905938,"Good"
"Tyrell","Black","agreeable",0.5262793,"Good"
"Tyrell","Black","polite",0.5986663,"Good"
"Tyrell","Black","civil",0.52608776,"Good"
"Tyrell","Black","charming",0.6260965,"Good"
"Tyrell","Black","gracious",0.4940698,"Good"
"Tyrell","Black","gentle",0.65695256,"Good"
"Tyrell","Black","approachable",0.5384469,"Good"
"Tyrell","Black","love",0.60713947,"Good"
"Tyrell","Black","cool",0.55964035,"Good"
"Jamar","Black","happy",0.71793854,"Good"
"Jamar","Black","agreeable",0.62320423,"Good"
"Jamar","Black","polite",0.6966282,"Good"
"Jamar","Black","civil",0.5558902,"Good"
"Jamar","Black","charming",0.7457168,"Good"
"Jamar","Black","gracious",0.51893264,"Good"
"Jamar","Black","gentle",0.73763466,"Good"
"Jamar","Black","approachable",0.7193078,"Good"
"Jamar","Black","love",0.62937343,"Good"
"Jamar","Black","cool",0.70255065,"Good"
"Camron","Black","happy",0.65715855,"Good"
"Camron","Black","agreeable",0.5897074,"Good"
"Camron","Black","polite",0.6621142,"Good"
"Camron","Black","civil",0.54416806,"Good"
"Camron","Black","charming",0.68712085,"Good"
"Camron","Black","gracious",0.48501623,"Good"
"Camron","Black","gentle",0.6966517,"Good"
"Camron","Black","approachable",0.6733539,"Good"
"Camron","Black","love",0.6291846,"Good"
"Camron","Black","cool",0.6730088,"Good"
"Tyree","Black","happy",0.64263,"Good"
"Tyree","Black","agreeable",0.610589,"Good"
"Tyree","Black","polite",0.63655424,"Good"
"Tyree","Black","civil",0.4759781,"Good"
"Tyree","Black","charming",0.7099924,"Good"
"Tyree","Black","gracious",0.516491,"Good"
"Tyree","Black","gentle",0.6806006,"Good"
"Tyree","Black","approachable",0.6470177,"Good"
"Tyree","Black","love",0.6363901,"Good"
"Tyree","Black","cool",0.6424961,"Good"
"Jamari","Black","happy",0.7002432,"Good"
"Jamari","Black","agreeable",0.6031559,"Good"
"Jamari","Black","polite",0.66751385,"Good"
"Jamari","Black","civil",0.5420307,"Good"
"Jamari","Black","charming",0.72177935,"Good"
"Jamari","Black","gracious",0.558601,"Good"
"Jamari","Black","gentle",0.7123111,"Good"
"Jamari","Black","approachable",0.67256296,"Good"
"Jamari","Black","love",0.6293946,"Good"
"Jamari","Black","cool",0.67870724,"Good"
"Reggie","Black","happy",0.76700485,"Good"
"Reggie","Black","agreeable",0.6293603,"Good"
"Reggie","Black","polite",0.76389873,"Good"
"Reggie","Black","civil",0.55653894,"Good"
"Reggie","Black","charming",0.8169571,"Good"
"Reggie","Black","gracious",0.5060531,"Good"
"Reggie","Black","gentle",0.77002865,"Good"
"Reggie","Black","approachable",0.66027075,"Good"
"Reggie","Black","love",0.6470555,"Good"
"Reggie","Black","cool",0.7604288,"Good"
"Jada","Black","happy",0.6084635,"Good"
"Jada","Black","agreeable",0.53716266,"Good"
"Jada","Black","polite",0.5751623,"Good"
"Jada","Black","civil",0.44653252,"Good"
"Jada","Black","charming",0.6068393,"Good"
"Jada","Black","gracious",0.48528793,"Good"
"Jada","Black","gentle",0.58965147,"Good"
"Jada","Black","approachable",0.54554516,"Good"
"Jada","Black","love",0.53577816,"Good"
"Jada","Black","cool",0.5941314,"Good"
"Latoya","Black","happy",0.44821957,"Good"
"Latoya","Black","agreeable",0.5079392,"Good"
"Latoya","Black","polite",0.42883968,"Good"
"Latoya","Black","civil",0.36026004,"Good"
"Latoya","Black","charming",0.45555896,"Good"
"Latoya","Black","gracious",0.50184,"Good"
"Latoya","Black","gentle",0.47357464,"Good"
"Latoya","Black","approachable",0.49935555,"Good"
"Latoya","Black","love",0.4719969,"Good"
"Latoya","Black","cool",0.46075583,"Good"
"Jayla","Black","happy",0.63307136,"Good"
"Jayla","Black","agreeable",0.5642656,"Good"
"Jayla","Black","polite",0.5859703,"Good"
"Jayla","Black","civil",0.45273548,"Good"
"Jayla","Black","charming",0.6445533,"Good"
"Jayla","Black","gracious",0.5086394,"Good"
"Jayla","Black","gentle",0.62592256,"Good"
"Jayla","Black","approachable",0.5724051,"Good"
"Jayla","Black","love",0.6010412,"Good"
"Jayla","Black","cool",0.63133454,"Good"
"Tamika","Black","happy",0.58460915,"Good"
"Tamika","Black","agreeable",0.53967226,"Good"
"Tamika","Black","polite",0.55947244,"Good"
"Tamika","Black","civil",0.4896477,"Good"
"Tamika","Black","charming",0.59574807,"Good"
"Tamika","Black","gracious",0.47343266,"Good"
"Tamika","Black","gentle",0.598839,"Good"
"Tamika","Black","approachable",0.54486763,"Good"
