,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Lian,0.6447376,0.64339507,0.6073932,0.546401,0.7004633,0.6484635,0.66682446,0.67826015,0.67276776,0.61809236
Shan,0.762813,0.84583503,0.57279766,0.5410143,0.7921401,0.78827214,0.83738494,0.8068184,0.8530139,0.6797607
Lew,0.7336521,0.85656565,0.55546737,0.4944417,0.7214519,0.750054,0.82639724,0.7943325,0.82825357,0.63376
Long,0.7191951,0.77101827,0.5789938,0.5418482,0.74140537,0.7229649,0.78627837,0.74280924,0.79747236,0.6518105
Quan,0.68996155,0.7736743,0.55952823,0.48483816,0.7084158,0.6892678,0.7744336,0.7559378,0.7505103,0.6210189
Jun,0.6103226,0.6903073,0.46416366,0.45768088,0.6176506,0.6214483,0.69959056,0.6856077,0.641635,0.5848564
Tou,0.6801292,0.7087839,0.59636873,0.57303494,0.704971,0.6683303,0.6980938,0.6752236,0.6843542,0.64071876
Jin,0.71794695,0.75387037,0.57767665,0.5147612,0.74145156,0.71138835,0.7750783,0.7493656,0.75065404,0.65987206
Cai,0.69314235,0.74637693,0.56486404,0.49795106,0.7145957,0.70687604,0.74415016,0.7783416,0.7286372,0.63327754
Chan,0.7636968,0.826824,0.5703862,0.5487003,0.77574295,0.7685494,0.8269514,0.80841815,0.83493316,0.67182535
Lue,0.59870356,0.61946243,0.5904078,0.5533939,0.6787032,0.6111083,0.6182528,0.65308183,0.62802505,0.5848069
China,0.65251076,0.6679347,0.5378181,0.5229051,0.69362104,0.67752326,0.6756473,0.74153066,0.6770928,0.6638788
Lu,0.7221971,0.83777004,0.5601869,0.53726435,0.75434875,0.77007645,0.7999989,0.7536181,0.8137315,0.6498922
Maylee,0.66763103,0.63290894,0.5688038,0.55445755,0.71772254,0.66054845,0.64255923,0.6816964,0.69041497,0.6282787
Tennie,0.5713904,0.540486,0.5544218,0.5423807,0.62518716,0.56176585,0.5433187,0.5910765,0.58238626,0.5302683
Maylin,0.7357951,0.73087114,0.60150576,0.58906204,0.755697,0.7346791,0.76631963,0.7847917,0.7713775,0.6899471
Chynna,0.53285563,0.5294551,0.51795006,0.50217444,0.5467772,0.5458499,0.5204857,0.52312326,0.5428847,0.52349913
Jia,0.73443973,0.8258503,0.564659,0.52673733,0.76146084,0.76446223,0.79533464,0.7839931,0.8068473,0.6638477
Mei,0.7461222,0.8466511,0.5424007,0.5180214,0.7367142,0.78503644,0.80511993,0.72459066,0.7861887,0.6766315
Tylee,0.7437387,0.75639075,0.59088445,0.57487667,0.7455688,0.72810596,0.75986075,0.7223697,0.7970964,0.6666803
