,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
Mary,0.5687545,0.5632055,0.52775586,0.6265738,0.53962207,0.6534062,0.5601404,0.64687455,0.28949055,0.53822505
Elizabeth,0.57791555,0.59463716,0.533104,0.62865615,0.5662627,0.6196705,0.56264865,0.6365059,0.34505782,0.56208813
Patricia,0.6236324,0.6292228,0.5645008,0.65105754,0.6052109,0.6695459,0.62090415,0.67201424,0.3678279,0.5927892
Jennifer,0.59570813,0.5489348,0.5532805,0.627526,0.55495274,0.65914124,0.57598215,0.6237045,0.30826998,0.54896224
Linda,0.6237197,0.6292223,0.55326986,0.66386163,0.6195612,0.6770389,0.6079593,0.6864462,0.35599405,0.61173266
Barbara,0.60983115,0.62620485,0.55868703,0.6441395,0.6106317,0.65964115,0.6042689,0.6579057,0.37318802,0.6010674
Margaret,0.57210314,0.61707664,0.52237844,0.6100675,0.5701963,0.60817146,0.55790514,0.615806,0.36522424,0.5836197
Susan,0.59804785,0.56414604,0.53123987,0.63207096,0.5613898,0.659122,0.58480656,0.6319497,0.3435758,0.5584347
Dorothy,0.59292895,0.61054546,0.55529165,0.6427802,0.5840143,0.6519763,0.5840901,0.6647349,0.35210216,0.5777582
Sarah,0.58702755,0.5612519,0.52529424,0.6281133,0.54750335,0.6641891,0.5823834,0.64133954,0.3358037,0.53790355
Jessica,0.56609106,0.51873994,0.53572035,0.62117255,0.52297187,0.6330795,0.5504129,0.59923404,0.3053322,0.522969
Helen,0.57745135,0.5632181,0.51395094,0.6250739,0.55447274,0.6610248,0.57089096,0.62665,0.31948075,0.5488939
Nancy,0.621572,0.6054164,0.57368827,0.66600454,0.60400355,0.68990207,0.6135939,0.673482,0.31769976,0.5938547
Betty,0.61114264,0.6029308,0.5485511,0.6559137,0.5848745,0.6814014,0.6107831,0.67143375,0.30522555,0.5811881
Karen,0.57627434,0.552658,0.53216416,0.6139374,0.5369376,0.6307049,0.556533,0.6124566,0.3291043,0.5425892
Lisa,0.6097239,0.5660311,0.5390974,0.63799995,0.5665297,0.669279,0.5923592,0.6501141,0.30619705,0.56217873
Anna,0.5551441,0.527809,0.5098134,0.59426695,0.5296442,0.6279202,0.5322118,0.58439654,0.34716862,0.5445926
Sandra,0.52716136,0.52570266,0.539094,0.6014346,0.5037967,0.5994528,0.51984584,0.601914,0.3427711,0.5065063
Emily,0.51740384,0.45963186,0.46672338,0.5210488,0.46182284,0.5386665,0.50602067,0.47408256,0.357813,0.4802563
Ashley,0.56289697,0.53180504,0.52530015,0.6146517,0.52773654,0.627149,0.55391806,0.5889289,0.29883468,0.5150774
