,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Paul,0.78024983,0.8060285,0.6809492,0.6273507,0.78130496,0.77401775,0.82904077,0.8200127,0.8201463,0.72089654
Vincent,0.77270234,0.81033087,0.6892388,0.6520258,0.79146683,0.7836875,0.824998,0.82074296,0.81411016,0.72266996
Victor,0.7878883,0.78945214,0.710232,0.666143,0.80689716,0.79473937,0.8277074,0.82158035,0.83443314,0.7493615
Adrian,0.7933403,0.77793837,0.69863147,0.6484469,0.8002292,0.77751154,0.7820715,0.7992673,0.8106291,0.74082756
Marcus,0.76779634,0.7872295,0.6799867,0.63932806,0.7680098,0.7726609,0.76348054,0.75009006,0.7946483,0.7314508
Leo,0.7964422,0.8430862,0.6883714,0.63294977,0.7645857,0.80834,0.851344,0.799145,0.8340322,0.72625476
Miles,0.7349583,0.7577094,0.671162,0.6447849,0.7990428,0.77142704,0.7699587,0.7781265,0.8208877,0.710525
Roman,0.72361755,0.7253386,0.64387596,0.63173753,0.7172785,0.7124309,0.73970455,0.77026975,0.7459981,0.6921561
Sergio,0.78447485,0.788572,0.6939002,0.66826427,0.7559766,0.766952,0.787602,0.7704133,0.7859179,0.73666024
Felix,0.8027909,0.8212358,0.700911,0.66360307,0.81877667,0.80512166,0.81027406,0.8147037,0.83715,0.7507268
Patricia,0.7861744,0.7849232,0.7109454,0.6411538,0.7817193,0.76265764,0.8111335,0.8177942,0.8066359,0.73276174
Laura,0.789688,0.8192935,0.6866157,0.6430031,0.82675344,0.80084,0.8135563,0.81803,0.84478915,0.7358433
Amanda,0.7977613,0.7806654,0.70721626,0.6514664,0.81894386,0.7884772,0.79090524,0.80578506,0.82152945,0.75553674
Victoria,0.77378094,0.8278501,0.6795355,0.63567054,0.8121797,0.8052405,0.8345958,0.8532926,0.86774373,0.71775556
Julia,0.79551864,0.7986229,0.68336457,0.6470486,0.81297874,0.80199385,0.8048564,0.80992526,0.8292247,0.7535157
Gloria,0.77718794,0.8000281,0.6789863,0.6569419,0.82460093,0.7870028,0.8029829,0.8165201,0.8201572,0.7344842
Diana,0.76134235,0.7881056,0.6872233,0.63208985,0.7903025,0.7598305,0.80183077,0.820456,0.81171906,0.7219597
Clara,0.75354415,0.759115,0.66042876,0.63616276,0.80518353,0.7452353,0.7527805,0.7921707,0.7918482,0.7180762
Paula,0.76175153,0.7551074,0.69419265,0.62900794,0.7800838,0.74816257,0.7728993,0.7741658,0.7745774,0.7265447
Norma,0.7629766,0.78796446,0.68261933,0.6567557,0.7863505,0.76581013,0.7794163,0.8173117,0.81526935,0.70788515
