,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.7458012,0.66099846,0.7445649,0.61566067,0.80576974,0.59671533,0.7959501,0.73821807,0.71117514,0.7506868
John,0.7013825,0.66022855,0.71524036,0.656073,0.75462484,0.5786078,0.75631416,0.725424,0.67282075,0.7206057
Robert,0.736228,0.6616839,0.73306084,0.62393486,0.7922348,0.5771167,0.7937008,0.76594174,0.6899502,0.7411617
Michael,0.7780458,0.6651221,0.757903,0.6219343,0.8303863,0.5914757,0.816797,0.7539433,0.72646487,0.7821064
William,0.7158682,0.6706772,0.7363744,0.61885905,0.7888043,0.5843815,0.79076415,0.74883413,0.6670238,0.7483485
David,0.7484342,0.6409106,0.721791,0.59656405,0.7889304,0.57649755,0.78284764,0.7275063,0.69865245,0.7405313
Joseph,0.73958105,0.67184746,0.7193622,0.59293586,0.7863188,0.58224475,0.78697574,0.7497709,0.6961036,0.73008126
Richard,0.73050237,0.6643365,0.7256199,0.6302408,0.77977824,0.58798873,0.7740593,0.7413185,0.68346703,0.72389936
Charles,0.7178494,0.69163215,0.7295072,0.64872134,0.7757965,0.58186436,0.7817856,0.73351324,0.691434,0.73021036
Thomas,0.7419317,0.6638537,0.7413605,0.62555194,0.8044013,0.57636905,0.7992962,0.7520985,0.6959473,0.7539036
Christopher,0.75696826,0.6516893,0.733535,0.58920145,0.8063382,0.59105086,0.7924578,0.7436209,0.6957549,0.76249564
Daniel,0.7762904,0.65003145,0.724323,0.57425445,0.8261398,0.5763738,0.79808056,0.7058052,0.7426152,0.7654127
Matthew,0.79034984,0.6439506,0.74359274,0.5775746,0.81385696,0.5819627,0.80104643,0.70456004,0.73634315,0.76611733
George,0.69573736,0.6667453,0.71626085,0.65130204,0.7554054,0.5805263,0.75340277,0.71752614,0.67528677,0.717573
Anthony,0.7537267,0.670655,0.75028396,0.6309572,0.8089403,0.57137614,0.80476695,0.7515776,0.70650494,0.75764793
Donald,0.7195922,0.6642528,0.71512246,0.61241555,0.76878786,0.5733488,0.76718676,0.7409751,0.65921175,0.7455478
Paul,0.748556,0.6701381,0.74373055,0.6142856,0.8084899,0.5795262,0.7974635,0.74401796,0.70151997,0.75789714
Mark,0.7130063,0.6237678,0.6614953,0.54603463,0.7400128,0.57691133,0.73271036,0.6789624,0.69215715,0.704289
Andrew,0.7748685,0.67636466,0.7489701,0.6095923,0.8105148,0.5778651,0.80166715,0.7466734,0.7288979,0.7723005
Edward,0.7438381,0.688511,0.7498586,0.63967323,0.79522514,0.591295,0.78523284,0.74710464,0.7057698,0.7396866
