,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.7811591,0.8202247,0.6891748,0.63463306,0.77276504,0.77859926,0.82715315,0.82260853,0.8319089,0.7105173
John,0.7464169,0.7795657,0.6705117,0.62189513,0.7308051,0.73493993,0.7935243,0.79016876,0.7805692,0.6819885
Robert,0.7773793,0.81272984,0.68021005,0.6247963,0.76980245,0.77711385,0.8427411,0.8267694,0.8278984,0.7073921
Michael,0.8051513,0.84840655,0.684932,0.64739496,0.7932621,0.80950665,0.8569212,0.83266354,0.855414,0.73767287
William,0.77959883,0.81404066,0.68840045,0.6299557,0.762534,0.77414685,0.84455603,0.8160001,0.8302041,0.70066583
David,0.76072264,0.8066514,0.657648,0.62021357,0.77478856,0.7591295,0.786559,0.81350064,0.8163578,0.6912117
Joseph,0.747602,0.7699071,0.6925739,0.66295624,0.7689094,0.7551495,0.793013,0.80211794,0.8030111,0.7008775
Richard,0.7637249,0.79729795,0.67984563,0.6173982,0.7573026,0.7437036,0.80504966,0.8196988,0.8005389,0.6956817
Charles,0.747501,0.76923716,0.697876,0.6253067,0.74217033,0.7401197,0.80424714,0.7840753,0.7729219,0.7107905
Thomas,0.7827451,0.8214039,0.6892771,0.6339897,0.7708182,0.7784122,0.8349633,0.8249038,0.836387,0.7061298
Christopher,0.7770845,0.78358674,0.68493867,0.63862514,0.7784844,0.74731386,0.7950566,0.8108297,0.8076928,0.71313
Daniel,0.77947253,0.7979728,0.6862821,0.62892485,0.80632746,0.7784851,0.7872499,0.7972866,0.82935286,0.728174
Matthew,0.7734217,0.8208889,0.6720699,0.6315678,0.8086028,0.7913588,0.7985942,0.81661296,0.8323705,0.7255587
George,0.7421153,0.7637452,0.6778322,0.6242175,0.7232373,0.7287103,0.782925,0.7809857,0.7681285,0.6852071
Anthony,0.7875166,0.8030703,0.68831146,0.63848835,0.78454244,0.7763806,0.8325073,0.8301502,0.81554306,0.7374363
Donald,0.76387614,0.7851614,0.68370044,0.6179858,0.74654746,0.7520781,0.8093937,0.81936616,0.78698105,0.69609255
Paul,0.78024983,0.8060285,0.6809492,0.6273507,0.78130496,0.77401775,0.82904077,0.8200127,0.8201463,0.72089654
Mark,0.7144726,0.7604314,0.64844894,0.61668545,0.73642844,0.7553419,0.7462952,0.75622344,0.7795382,0.67374367
Andrew,0.79494524,0.8183943,0.69098485,0.6413153,0.80136955,0.79832023,0.82791287,0.8280653,0.82542247,0.7491163
Edward,0.76181024,0.7888593,0.70090437,0.6400901,0.77883554,0.7442969,0.7991032,0.8157979,0.8004257,0.71148956
