"Name","Gender","Word","CosineSimilarity","Good_or_Bad"
"James","M","happy",0.6129473,"Good"
"James","M","agreeable",0.5609821,"Good"
"James","M","polite",0.54660654,"Good"
"James","M","civil",0.5984051,"Good"
"James","M","charming",0.60587317,"Good"
"James","M","gracious",0.59374416,"Good"
"James","M","gentle",0.65819496,"Good"
"James","M","approachable",0.5637176,"Good"
"James","M","love",0.56586194,"Good"
"James","M","cool",0.65835714,"Good"
"John","M","happy",0.6303705,"Good"
"John","M","agreeable",0.5461793,"Good"
"John","M","polite",0.6074611,"Good"
"John","M","civil",0.5590846,"Good"
"John","M","charming",0.59160924,"Good"
"John","M","gracious",0.6034938,"Good"
"John","M","gentle",0.6771263,"Good"
"John","M","approachable",0.53101027,"Good"
"John","M","love",0.6246367,"Good"
"John","M","cool",0.66007316,"Good"
"Robert","M","happy",0.57810885,"Good"
"Robert","M","agreeable",0.51517725,"Good"
"Robert","M","polite",0.60337436,"Good"
"Robert","M","civil",0.45797035,"Good"
"Robert","M","charming",0.543092,"Good"
"Robert","M","gracious",0.51437247,"Good"
"Robert","M","gentle",0.60833836,"Good"
"Robert","M","approachable",0.48423725,"Good"
"Robert","M","love",0.54941565,"Good"
"Robert","M","cool",0.61646533,"Good"
"Michael","M","happy",0.6024846,"Good"
"Michael","M","agreeable",0.48311496,"Good"
"Michael","M","polite",0.58987236,"Good"
"Michael","M","civil",0.50924355,"Good"
"Michael","M","charming",0.57781965,"Good"
"Michael","M","gracious",0.5682652,"Good"
"Michael","M","gentle",0.635079,"Good"
"Michael","M","approachable",0.49144283,"Good"
"Michael","M","love",0.57096,"Good"
"Michael","M","cool",0.6101589,"Good"
"William","M","happy",0.5690961,"Good"
"William","M","agreeable",0.5813279,"Good"
"William","M","polite",0.5638021,"Good"
"William","M","civil",0.5080303,"Good"
"William","M","charming",0.5608431,"Good"
"William","M","gracious",0.50938153,"Good"
"William","M","gentle",0.6243777,"Good"
"William","M","approachable",0.49892622,"Good"
"William","M","love",0.5585356,"Good"
"William","M","cool",0.5745304,"Good"
"David","M","happy",0.56648487,"Good"
"David","M","agreeable",0.5367917,"Good"
"David","M","polite",0.60266334,"Good"
"David","M","civil",0.5398172,"Good"
"David","M","charming",0.58289117,"Good"
"David","M","gracious",0.5300868,"Good"
"David","M","gentle",0.6244757,"Good"
"David","M","approachable",0.5582861,"Good"
"David","M","love",0.55189097,"Good"
"David","M","cool",0.6625869,"Good"
"Joseph","M","happy",0.5707334,"Good"
"Joseph","M","agreeable",0.5651558,"Good"
"Joseph","M","polite",0.6084425,"Good"
"Joseph","M","civil",0.5256126,"Good"
"Joseph","M","charming",0.5849942,"Good"
"Joseph","M","gracious",0.54967266,"Good"
"Joseph","M","gentle",0.6286942,"Good"
"Joseph","M","approachable",0.5094457,"Good"
"Joseph","M","love",0.54881155,"Good"
"Joseph","M","cool",0.60852444,"Good"
"Richard","M","happy",0.59206784,"Good"
"Richard","M","agreeable",0.5325854,"Good"
"Richard","M","polite",0.5841113,"Good"
"Richard","M","civil",0.49225077,"Good"
"Richard","M","charming",0.5937252,"Good"
"Richard","M","gracious",0.538408,"Good"
"Richard","M","gentle",0.62849325,"Good"
"Richard","M","approachable",0.5214566,"Good"
"Richard","M","love",0.5683794,"Good"
"Richard","M","cool",0.62275344,"Good"
"Charles","M","happy",0.53646255,"Good"
"Charles","M","agreeable",0.5463435,"Good"
"Charles","M","polite",0.59950244,"Good"
"Charles","M","civil",0.5331454,"Good"
"Charles","M","charming",0.5887152,"Good"
"Charles","M","gracious",0.51347524,"Good"
"Charles","M","gentle",0.63700867,"Good"
"Charles","M","approachable",0.53904647,"Good"
