,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Lian,0.4908995,0.44270757,0.31139818,0.5003436,0.3468125,0.37136182,0.38766515,0.4429422,0.50083244,0.4938919
Shan,0.5199287,0.48281786,0.3925442,0.5473602,0.35418054,0.36924997,0.51396847,0.5758144,0.5836631,0.5243267
Lew,0.53216314,0.56773394,0.39784643,0.54930496,0.42330515,0.42345494,0.534416,0.5361186,0.5293499,0.554574
Long,0.51238656,0.43700773,0.39911658,0.5942953,0.41803294,0.3678074,0.49864954,0.62284374,0.62602025,0.5915201
Quan,0.47887844,0.46688122,0.33443826,0.4912855,0.3356251,0.4244685,0.5152292,0.53526026,0.5326981,0.50192195
Jun,0.39862472,0.36562812,0.22883771,0.4025884,0.35086483,0.35540462,0.36090845,0.41604096,0.41288933,0.4255606
Tou,0.507151,0.49763668,0.38842583,0.55172163,0.3831628,0.48089552,0.48932707,0.5254879,0.5482722,0.52186036
Jin,0.54223764,0.5028963,0.33273265,0.5197859,0.4037813,0.40966874,0.4673059,0.51905817,0.53424567,0.5589439
Cai,0.4952902,0.44378576,0.30864376,0.5020749,0.3599164,0.34134802,0.3994853,0.50374615,0.50325596,0.47693527
Chan,0.50187445,0.4941486,0.3767318,0.51036286,0.37892818,0.40589178,0.5186149,0.51170886,0.488291,0.4904041
Lue,0.6107892,0.5132746,0.34746084,0.58109087,0.43646348,0.4884016,0.485873,0.4794904,0.54388386,0.54324675
China,0.37477407,0.34781522,0.33612198,0.38896924,0.36545134,0.36962909,0.3982811,0.43551368,0.33407402,0.41637468
Lu,0.5434343,0.524706,0.3546499,0.57439226,0.44701424,0.44298542,0.5117419,0.5196158,0.5739471,0.54517436
Maylee,0.42947596,0.4263643,0.4011773,0.51722705,0.4171675,0.386316,0.45950425,0.5805895,0.5658095,0.54204386
Tennie,0.51877683,0.50869554,0.3931217,0.522809,0.35346115,0.36192942,0.5168204,0.60455716,0.6029289,0.5977257
Maylin,0.4167713,0.38821203,0.34110773,0.49909186,0.37533242,0.340825,0.4452918,0.6027757,0.58010876,0.5444896
Chynna,0.48518494,0.4692375,0.27281472,0.54390013,0.45644054,0.35559914,0.41761237,0.48706582,0.53598225,0.5478617
Jia,0.49313793,0.46894628,0.30796406,0.46951354,0.35201547,0.36874503,0.3910699,0.43325126,0.47248083,0.44585335
Mei,0.52453226,0.4762818,0.29746214,0.45986548,0.35409063,0.364093,0.3925226,0.4509697,0.47319755,0.44123662
Tylee,0.50499,0.5190741,0.414379,0.52583116,0.3972127,0.37587535,0.4626658,0.5701288,0.5583824,0.566141
