,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.6129473,0.5609821,0.54660654,0.5984051,0.60587317,0.59374416,0.65819496,0.5637176,0.56586194,0.65835714
John,0.6303705,0.5461793,0.6074611,0.5590846,0.59160924,0.6034938,0.6771263,0.53101027,0.6246367,0.66007316
Robert,0.57810885,0.51517725,0.60337436,0.45797035,0.543092,0.51437247,0.60833836,0.48423725,0.54941565,0.61646533
Michael,0.6024846,0.48311496,0.58987236,0.50924355,0.57781965,0.5682652,0.635079,0.49144283,0.57096,0.6101589
William,0.5690961,0.5813279,0.5638021,0.5080303,0.5608431,0.50938153,0.6243777,0.49892622,0.5585356,0.5745304
David,0.56648487,0.5367917,0.60266334,0.5398172,0.58289117,0.5300868,0.6244757,0.5582861,0.55189097,0.6625869
Joseph,0.5707334,0.5651558,0.6084425,0.5256126,0.5849942,0.54967266,0.6286942,0.5094457,0.54881155,0.60852444
Richard,0.59206784,0.5325854,0.5841113,0.49225077,0.5937252,0.538408,0.62849325,0.5214566,0.5683794,0.62275344
Charles,0.53646255,0.5463435,0.59950244,0.5331454,0.5887152,0.51347524,0.63700867,0.53904647,0.5459267,0.6342195
Thomas,0.59931797,0.54742426,0.64106894,0.5520414,0.59282696,0.5853665,0.6668916,0.5312467,0.5705999,0.6318258
Mary,0.62009645,0.48784733,0.5841735,0.47864977,0.5352191,0.5586526,0.6121098,0.46516997,0.55785257,0.5606429
Elizabeth,0.5595735,0.517246,0.47571486,0.43059286,0.5071173,0.5028393,0.5663433,0.4766581,0.52258,0.54441404
Patricia,0.57748854,0.49216968,0.54196984,0.4510592,0.5287397,0.49828315,0.5347112,0.45517814,0.5421624,0.543347
Jennifer,0.61265177,0.44333142,0.43791914,0.37930566,0.5305444,0.54251415,0.5458044,0.43136424,0.5742438,0.5528643
Linda,0.62404585,0.45360476,0.535867,0.41874033,0.52586937,0.5332273,0.57549834,0.46363357,0.57654333,0.5763922
Barbara,0.6155422,0.52410865,0.5650328,0.48893017,0.53156626,0.5348003,0.5937122,0.5008036,0.55555147,0.59076166
Margaret,0.5584958,0.44003463,0.4247911,0.3782977,0.46949232,0.48424077,0.49980205,0.39308405,0.50237393,0.45890912
Susan,0.627746,0.53520167,0.5189862,0.4559751,0.54399365,0.5536984,0.58708274,0.4751684,0.56016207,0.547861
Sarah,0.67649704,0.53837645,0.63487303,0.5284395,0.61745036,0.60981584,0.65428853,0.5423077,0.6331216,0.6179259
Jessica,0.65515804,0.48261744,0.53880215,0.44605282,0.56047964,0.5821148,0.5725863,0.50153506,0.61245394,0.599666
