,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
Mary,0.5269045,0.52365226,0.55689144,0.5095418,0.47509274,0.49213046,0.5891279,0.50237525,0.48327678,0.62537026
Elizabeth,0.5113799,0.47906482,0.50444216,0.46354473,0.48322552,0.45279604,0.53723705,0.46821344,0.48807687,0.6087641
Patricia,0.5190567,0.49531662,0.5265547,0.5090289,0.48211432,0.5012664,0.5624543,0.43602043,0.46207824,0.60121536
Jennifer,0.46873358,0.4500953,0.48897257,0.47392392,0.4170946,0.46109188,0.50835466,0.42265934,0.49710163,0.5994439
Linda,0.4402191,0.4881778,0.53287506,0.42697278,0.42960608,0.45715463,0.5215196,0.46119535,0.45735782,0.5188704
Barbara,0.5063139,0.5016457,0.5361239,0.48062897,0.48220995,0.46423435,0.5622733,0.47801033,0.47149396,0.62010884
Margaret,0.46793732,0.44649175,0.50149214,0.47114605,0.4269398,0.45411956,0.549525,0.42490345,0.45191377,0.5411941
Susan,0.52379465,0.47902006,0.5402321,0.53948736,0.45833498,0.46729532,0.57023585,0.45354247,0.45944554,0.68053544
Dorothy,0.4920112,0.4464189,0.5127865,0.51517624,0.4153947,0.45580804,0.5723026,0.4296269,0.41398618,0.6328489
Sarah,0.5859046,0.52091,0.61397064,0.5528085,0.51967186,0.525197,0.63757956,0.53158164,0.52251625,0.68945014
Jessica,0.50642383,0.5152638,0.5371187,0.47750887,0.45887938,0.4847976,0.5380391,0.4983318,0.5292323,0.6159798
Helen,0.5223318,0.5172333,0.53351223,0.51046634,0.46079963,0.4954875,0.56107247,0.48683465,0.5181258,0.6192901
Nancy,0.5719393,0.5412987,0.5749779,0.5972082,0.49755353,0.525686,0.606129,0.519123,0.49398294,0.70042276
Betty,0.5852947,0.5247454,0.5760135,0.54122555,0.49119946,0.4857226,0.5959486,0.53634536,0.50968957,0.6746404
Karen,0.5466613,0.5197145,0.5829258,0.54124475,0.44687173,0.49694392,0.5951954,0.4919919,0.48620027,0.64004743
Lisa,0.52097535,0.5019571,0.5634484,0.4887694,0.48109,0.47337133,0.6061835,0.5154237,0.49973887,0.6070232
Anna,0.5188118,0.47046778,0.5032188,0.41981858,0.54575866,0.45577112,0.5348301,0.48350623,0.4496088,0.54597366
Sandra,0.50842583,0.52264374,0.5745728,0.48928976,0.5320982,0.5103018,0.59076405,0.513355,0.48569167,0.60480785
Emily,0.5548837,0.52709603,0.5742595,0.546312,0.4712479,0.505141,0.5869738,0.5093852,0.5065273,0.6772511
Ashley,0.4453556,0.47421736,0.5187286,0.44796684,0.3703879,0.43050733,0.5372959,0.4767585,0.43656373,0.5651569
