,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
Mary,0.3793643,0.4898687,0.5085699,0.4802957,0.45492518,0.4874267,0.3897129,0.5744109,0.42951328,0.42138776
Elizabeth,0.3622946,0.43729532,0.48807853,0.45365402,0.4107921,0.4615726,0.366037,0.5286132,0.42910543,0.38964605
Patricia,0.35117358,0.47973415,0.494978,0.49981594,0.4458248,0.46332175,0.3588912,0.54208565,0.4555797,0.45099154
Jennifer,0.3855152,0.4012772,0.41968596,0.39813986,0.38677424,0.44950217,0.37852082,0.49365693,0.37562507,0.3881485
Linda,0.3621071,0.37796852,0.4414481,0.39562142,0.4220646,0.45104563,0.35738745,0.5003309,0.42751092,0.4008816
Barbara,0.3735072,0.45138898,0.51687336,0.4703447,0.46188927,0.47643635,0.37843788,0.5437634,0.4257498,0.44118816
Margaret,0.35301077,0.43521672,0.48519295,0.5067107,0.41748124,0.44142628,0.3366337,0.5101547,0.40474063,0.41732317
Susan,0.35749203,0.4741648,0.48014584,0.5040609,0.42651153,0.46057212,0.37299377,0.54840624,0.42647895,0.40686393
Dorothy,0.35126913,0.48940963,0.4611265,0.4627592,0.38525864,0.43816423,0.38298738,0.5214615,0.40502697,0.35962853
Sarah,0.43027127,0.49279425,0.49343964,0.46892202,0.49745405,0.5067357,0.4484556,0.582416,0.45204934,0.45300734
Jessica,0.39955625,0.41003916,0.4490437,0.42492503,0.437432,0.49013036,0.41061276,0.5332258,0.44402826,0.42758107
Helen,0.3724661,0.4394064,0.500384,0.44471365,0.42622125,0.4954993,0.35927302,0.53240156,0.4407774,0.39892533
Nancy,0.4371518,0.49165002,0.50678235,0.48465222,0.46786243,0.5027793,0.420398,0.5550692,0.44389403,0.4468568
Betty,0.43071246,0.45392078,0.5139134,0.4103924,0.49428466,0.5176474,0.4516868,0.57151824,0.43348184,0.4446345
Karen,0.3845007,0.4628593,0.48978633,0.4763971,0.47489366,0.49273288,0.40080914,0.54839194,0.47098854,0.4550134
Lisa,0.40311325,0.42242962,0.44013625,0.43342704,0.46055642,0.48324442,0.410812,0.53171813,0.48996913,0.43107095
Anna,0.34732825,0.42072043,0.43431848,0.3987087,0.44860953,0.43456167,0.35481155,0.50728804,0.49496734,0.41392326
Sandra,0.4209268,0.4654292,0.47457564,0.4283353,0.4906166,0.49600893,0.40419555,0.5491138,0.46167296,0.46861652
Emily,0.401111,0.46172673,0.49956715,0.45068526,0.44024947,0.49900892,0.41345146,0.557279,0.4408362,0.4297826
Ashley,0.42569417,0.3968022,0.45302978,0.42156053,0.43197185,0.46744323,0.426593,0.49497563,0.4031742,0.42169607
