,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Paul,0.5321398,0.5463141,0.42176265,0.58535385,0.44004595,0.41404903,0.5599224,0.57423055,0.56561816,0.6002208
Vincent,0.5114715,0.4708116,0.31562826,0.48891369,0.4312452,0.30389175,0.47466135,0.5466111,0.47664228,0.5241602
Victor,0.54074883,0.49683473,0.3895196,0.5551691,0.49519724,0.3352586,0.51056576,0.5499853,0.53499454,0.56094897
Adrian,0.44843775,0.49729088,0.42232352,0.49908382,0.3888253,0.3634192,0.495849,0.54622567,0.49141106,0.55529475
Marcus,0.5613866,0.5242727,0.3157439,0.53569317,0.5081419,0.37576503,0.49563253,0.5701176,0.58409554,0.5883937
Leo,0.53791517,0.5732691,0.48564547,0.5984562,0.45446834,0.44072092,0.5729269,0.5796752,0.5806632,0.6059283
Miles,0.49608222,0.4629745,0.35144407,0.5389178,0.48102036,0.37001044,0.46472818,0.5904724,0.6099873,0.6158636
Roman,0.5691769,0.5858537,0.4131024,0.60164785,0.5267732,0.41743153,0.54758936,0.56167996,0.5535884,0.58680236
Sergio,0.40709928,0.40975833,0.29326484,0.4116807,0.3416751,0.28862453,0.42163932,0.4893993,0.46439356,0.4385836
Felix,0.5100391,0.5056226,0.45168287,0.5755298,0.47197777,0.4874438,0.57502335,0.6085244,0.6034026,0.60548615
Patricia,0.41679752,0.4202417,0.3785727,0.48312148,0.43121582,0.37854815,0.44887725,0.5711708,0.53138113,0.53753775
Laura,0.40337485,0.43877918,0.38468423,0.480201,0.38016737,0.37132156,0.4179219,0.5079042,0.51343775,0.49792024
Amanda,0.46537662,0.51876247,0.43105894,0.5611437,0.4740013,0.437818,0.53607184,0.59706295,0.59535027,0.6104933
Victoria,0.46211866,0.4221033,0.39068583,0.46485883,0.53344405,0.41570258,0.4754674,0.44264477,0.4387732,0.48528454
Julia,0.47243726,0.54889745,0.42715177,0.5776445,0.4683655,0.45260257,0.51414,0.5855273,0.62097335,0.60014385
Gloria,0.450473,0.47025067,0.3654518,0.49917662,0.4470466,0.34451354,0.42347193,0.60151124,0.60451555,0.5643816
Diana,0.46473446,0.48045418,0.39407945,0.5031421,0.4571766,0.3609497,0.4682458,0.58618134,0.55683875,0.60968626
Clara,0.47300828,0.48234883,0.4099609,0.49294585,0.42318642,0.37919012,0.4748201,0.5947293,0.5643682,0.5711553
Paula,0.41363263,0.45583358,0.33678806,0.513661,0.4238683,0.4144316,0.38745028,0.4749735,0.52016354,0.51448405
Norma,0.5224391,0.53328526,0.4098841,0.530689,0.40678686,0.3594439,0.49983332,0.59496903,0.57571924,0.5965523
