,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.6129473,0.5609821,0.54660654,0.5984051,0.60587317,0.59374416,0.65819496,0.5637176,0.56586194,0.65835714
John,0.6303705,0.5461793,0.6074611,0.5590846,0.59160924,0.6034938,0.6771263,0.53101027,0.6246367,0.66007316
Robert,0.57810885,0.51517725,0.60337436,0.45797035,0.543092,0.51437247,0.60833836,0.48423725,0.54941565,0.61646533
Michael,0.6024846,0.48311496,0.58987236,0.50924355,0.57781965,0.5682652,0.635079,0.49144283,0.57096,0.6101589
William,0.5690961,0.5813279,0.5638021,0.5080303,0.5608431,0.50938153,0.6243777,0.49892622,0.5585356,0.5745304
David,0.56648487,0.5367917,0.60266334,0.5398172,0.58289117,0.5300868,0.6244757,0.5582861,0.55189097,0.6625869
Joseph,0.5707334,0.5651558,0.6084425,0.5256126,0.5849942,0.54967266,0.6286942,0.5094457,0.54881155,0.60852444
Richard,0.59206784,0.5325854,0.5841113,0.49225077,0.5937252,0.538408,0.62849325,0.5214566,0.5683794,0.62275344
Charles,0.53646255,0.5463435,0.59950244,0.5331454,0.5887152,0.51347524,0.63700867,0.53904647,0.5459267,0.6342195
Thomas,0.59931797,0.54742426,0.64106894,0.5520414,0.59282696,0.5853665,0.6668916,0.5312467,0.5705999,0.6318258
Christopher,0.60983527,0.49390167,0.50847447,0.4503231,0.56349075,0.55756557,0.62798756,0.5176771,0.59639096,0.6366327
Daniel,0.57325965,0.49945155,0.6018865,0.52253366,0.5714677,0.54052305,0.61959195,0.52618444,0.5564784,0.6467193
Matthew,0.6579863,0.56509745,0.6382405,0.577759,0.60896313,0.5835975,0.6843265,0.51769483,0.6018976,0.63766444
George,0.6065925,0.53602964,0.59590244,0.5424537,0.57607555,0.5531025,0.6540965,0.50412905,0.58290005,0.6509576
Anthony,0.6139442,0.5853865,0.6194613,0.57572216,0.5984571,0.5966116,0.6638628,0.57513905,0.6128472,0.6804953
Donald,0.625099,0.5777515,0.60005677,0.5526512,0.5678054,0.57122576,0.6888342,0.545581,0.59148514,0.64362407
Paul,0.6141679,0.51939124,0.673579,0.53817403,0.56534445,0.55382115,0.67015135,0.52824914,0.5660765,0.67390394
Mark,0.6463465,0.49981523,0.61061025,0.50085926,0.58704174,0.5842635,0.6574664,0.5152784,0.6051078,0.63222003
Andrew,0.62754524,0.52331936,0.5443346,0.5225285,0.58860147,0.57967854,0.64186084,0.5203512,0.6016755,0.63587004
Edward,0.5802501,0.58556557,0.5823583,0.5537678,0.5720196,0.52320695,0.64937156,0.53478426,0.5335359,0.62200606
