,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.52721447,0.5315811,0.45275563,0.6001047,0.44989124,0.42789522,0.60451686,0.58453983,0.58692646,0.58824897
John,0.52856094,0.5243348,0.4246892,0.5970118,0.45763904,0.43162525,0.571057,0.6058352,0.5824188,0.61614
Robert,0.49548152,0.4949187,0.3739261,0.52935517,0.41068712,0.410763,0.54431003,0.5678166,0.56625396,0.5578922
Michael,0.5125965,0.5453346,0.36889917,0.5574477,0.44296685,0.41489023,0.52320015,0.582427,0.575435,0.5718117
William,0.4918624,0.504436,0.4129993,0.56062317,0.4405809,0.46483976,0.55146116,0.54229414,0.53778654,0.5665221
David,0.4509082,0.51418316,0.42172462,0.5401904,0.42566493,0.4400455,0.5367534,0.54412687,0.54952186,0.53706896
Joseph,0.5006703,0.5045805,0.4270154,0.5665753,0.4243906,0.4508636,0.57140183,0.5860495,0.5759018,0.5513142
Richard,0.48781633,0.49769223,0.41734564,0.5244482,0.41902912,0.4303476,0.5337546,0.5886824,0.56694925,0.5699065
Charles,0.45762074,0.5036223,0.42641845,0.53425527,0.41024014,0.4307604,0.57359964,0.56671417,0.53050846,0.5490704
Thomas,0.5667966,0.52133346,0.42903864,0.5791548,0.4282633,0.42871758,0.608639,0.618383,0.6047663,0.6168767
Christopher,0.42833275,0.46510753,0.37939283,0.4942692,0.42302442,0.39459777,0.4986502,0.59720457,0.54775214,0.55862117
Daniel,0.50211024,0.5389442,0.40948844,0.529585,0.42005926,0.39697334,0.5235908,0.5786662,0.5429981,0.5638155
Matthew,0.5186365,0.5285898,0.44510365,0.6090227,0.4498217,0.4023654,0.5980404,0.6387004,0.6116791,0.63470215
George,0.50492597,0.5206425,0.41247714,0.5642692,0.4220284,0.4098596,0.5461019,0.607468,0.57512856,0.6002729
Anthony,0.49519283,0.5462604,0.45827502,0.5844767,0.43612206,0.41610706,0.5868193,0.6391617,0.5660426,0.6230811
Donald,0.4990988,0.5041903,0.45403346,0.53914136,0.4614203,0.4634788,0.60415024,0.58409965,0.5862706,0.6010167
Paul,0.5321398,0.5463141,0.42176265,0.58535385,0.44004595,0.41404903,0.5599224,0.57423055,0.56561816,0.6002208
Mark,0.47328776,0.5492944,0.37394038,0.5711212,0.4624505,0.38525903,0.5131719,0.58659756,0.6086718,0.57762486
Andrew,0.48225802,0.49697024,0.4052035,0.55173856,0.46676177,0.40779087,0.5535821,0.56919146,0.56547797,0.60042083
Edward,0.5038434,0.52012295,0.43590218,0.5301133,0.46300125,0.45622247,0.5713931,0.531628,0.5616356,0.57232344
