,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Reginald,0.7629731,0.79690593,0.69432056,0.7946862,0.7813145,0.8416337,0.78658533,0.80671024,0.8220878,0.8288178
Kameron,0.66478264,0.8040812,0.66567254,0.8187096,0.7429531,0.78343177,0.6697843,0.7611166,0.8218667,0.7470565
Kendrick,0.69404507,0.77471817,0.6842296,0.7710546,0.7422527,0.8413957,0.79400665,0.79685104,0.80653834,0.8189889
Javon,0.67079705,0.8044635,0.67485183,0.79353046,0.76820385,0.78344023,0.66792554,0.7519417,0.80965096,0.73798585
Tyrell,0.67369103,0.78356856,0.7272029,0.7923056,0.72076476,0.816323,0.7464688,0.7673861,0.8196894,0.7873392
Jamar,0.64424586,0.76130265,0.6674324,0.7437196,0.696764,0.80006003,0.68813366,0.7161387,0.79586923,0.7265351
Camron,0.65774554,0.82385004,0.6838531,0.8280512,0.7292907,0.77101636,0.65247935,0.7473335,0.8099711,0.71220994
Tyree,0.6905693,0.8013992,0.74025023,0.8029233,0.73006266,0.81644356,0.7278497,0.7620493,0.81166536,0.7709579
Jamari,0.65999633,0.7743301,0.68167925,0.7545606,0.71997225,0.8219826,0.6939798,0.73595285,0.8026439,0.74699175
Reggie,0.6743345,0.7804139,0.7323487,0.7809926,0.7380126,0.8246812,0.73352635,0.76578647,0.8040957,0.78245115
Jada,0.6711005,0.7890562,0.69501626,0.7675367,0.7175626,0.8086887,0.6963722,0.72947985,0.79607195,0.7395388
Latoya,0.6550865,0.78967667,0.69545877,0.78211147,0.71309286,0.8073794,0.6876941,0.74571735,0.80291736,0.744419
Jayla,0.67335904,0.76964766,0.70331025,0.76410735,0.70950615,0.8321092,0.72728443,0.75162137,0.80913174,0.7838214
Tamika,0.6620804,0.81259406,0.677665,0.7979897,0.7463665,0.80650294,0.67713714,0.75005233,0.80571055,0.74526566
Latoyna,0.6683632,0.8272465,0.6577786,0.7825097,0.7144865,0.78499484,0.6733879,0.7538662,0.809097,0.7275436
Journey,0.69340765,0.79029506,0.7131896,0.7773009,0.7647836,0.88703513,0.7827109,0.8045596,0.8021133,0.83829856
Tameka,0.65757716,0.8228042,0.668167,0.7937784,0.75443447,0.7886123,0.67855334,0.7437495,0.79273474,0.72813475
Journee,0.6819104,0.7905477,0.6925685,0.81081814,0.7256912,0.8204378,0.70862126,0.76423705,0.7604356,0.76982677
Lawanda,0.65256983,0.79608226,0.70178723,0.78148645,0.7294452,0.8161205,0.69703734,0.7585689,0.81058896,0.75433826
Janiya,0.647234,0.8149338,0.646981,0.7623553,0.7437253,0.78082675,0.6862891,0.7352593,0.7985732,0.7151884
