"Name","Gender","Career","CosineSimilarity","STEM"
"James","M","Software.Developer",0.8203726,"Yes"
"James","M","Nurse.Practitioner",0.6522278,"Yes"
"James","M","Health.Services.Manager",0.73349047,"Yes"
"James","M","Physicians.Assistant",0.7540182,"Yes"
"James","M","Security.Analyst",0.70988363,"Yes"
"James","M","IT.Manager",0.78903663,"Yes"
"James","M","Web.Developer",0.8044001,"Yes"
"James","M","Dentist",0.8459549,"Yes"
"James","M","Orthodontist",0.6462306,"Yes"
"James","M","Computer.Systems.Analyst",0.61010855,"Yes"
"John","M","Software.Developer",0.78375435,"Yes"
"John","M","Nurse.Practitioner",0.6344951,"Yes"
"John","M","Health.Services.Manager",0.6929198,"Yes"
"John","M","Physicians.Assistant",0.7017535,"Yes"
"John","M","Security.Analyst",0.6686939,"Yes"
"John","M","IT.Manager",0.7485949,"Yes"
"John","M","Web.Developer",0.75889874,"Yes"
"John","M","Dentist",0.8257795,"Yes"
"John","M","Orthodontist",0.61733997,"Yes"
"John","M","Computer.Systems.Analyst",0.5795301,"Yes"
"Robert","M","Software.Developer",0.8248528,"Yes"
"Robert","M","Nurse.Practitioner",0.67205125,"Yes"
"Robert","M","Health.Services.Manager",0.74535537,"Yes"
"Robert","M","Physicians.Assistant",0.75819486,"Yes"
"Robert","M","Security.Analyst",0.7480017,"Yes"
"Robert","M","IT.Manager",0.80911726,"Yes"
"Robert","M","Web.Developer",0.80814743,"Yes"
"Robert","M","Dentist",0.8537572,"Yes"
"Robert","M","Orthodontist",0.64330155,"Yes"
"Robert","M","Computer.Systems.Analyst",0.64391696,"Yes"
"Michael","M","Software.Developer",0.81393385,"Yes"
"Michael","M","Nurse.Practitioner",0.64802545,"Yes"
"Michael","M","Health.Services.Manager",0.7262739,"Yes"
"Michael","M","Physicians.Assistant",0.74624246,"Yes"
"Michael","M","Security.Analyst",0.7096454,"Yes"
"Michael","M","IT.Manager",0.7838316,"Yes"
"Michael","M","Web.Developer",0.79380935,"Yes"
"Michael","M","Dentist",0.8349691,"Yes"
"Michael","M","Orthodontist",0.6351054,"Yes"
"Michael","M","Computer.Systems.Analyst",0.6173917,"Yes"
"William","M","Software.Developer",0.7435519,"Yes"
"William","M","Nurse.Practitioner",0.60871387,"Yes"
"William","M","Health.Services.Manager",0.6560383,"Yes"
"William","M","Physicians.Assistant",0.67528033,"Yes"
"William","M","Security.Analyst",0.6269032,"Yes"
"William","M","IT.Manager",0.7027524,"Yes"
"William","M","Web.Developer",0.7227945,"Yes"
"William","M","Dentist",0.7909236,"Yes"
"William","M","Orthodontist",0.583321,"Yes"
"William","M","Computer.Systems.Analyst",0.5363298,"Yes"
"David","M","Software.Developer",0.83648026,"Yes"
"David","M","Nurse.Practitioner",0.67725873,"Yes"
"David","M","Health.Services.Manager",0.7542356,"Yes"
"David","M","Physicians.Assistant",0.76908064,"Yes"
"David","M","Security.Analyst",0.743348,"Yes"
"David","M","IT.Manager",0.8064201,"Yes"
"David","M","Web.Developer",0.8179034,"Yes"
"David","M","Dentist",0.8570378,"Yes"
"David","M","Orthodontist",0.6606233,"Yes"
"David","M","Computer.Systems.Analyst",0.64382136,"Yes"
"Joseph","M","Software.Developer",0.77564746,"Yes"
"Joseph","M","Nurse.Practitioner",0.63905406,"Yes"
"Joseph","M","Health.Services.Manager",0.69335437,"Yes"
"Joseph","M","Physicians.Assistant",0.71047634,"Yes"
"Joseph","M","Security.Analyst",0.65685695,"Yes"
"Joseph","M","IT.Manager",0.7423643,"Yes"
"Joseph","M","Web.Developer",0.75807154,"Yes"
"Joseph","M","Dentist",0.813343,"Yes"
"Joseph","M","Orthodontist",0.61338705,"Yes"
"Joseph","M","Computer.Systems.Analyst",0.55500305,"Yes"
"Richard","M","Software.Developer",0.73031706,"Yes"
"Richard","M","Nurse.Practitioner",0.595212,"Yes"
"Richard","M","Health.Services.Manager",0.63851327,"Yes"
"Richard","M","Physicians.Assistant",0.661435,"Yes"
"Richard","M","Security.Analyst",0.6186557,"Yes"
"Richard","M","IT.Manager",0.6931882,"Yes"
"Richard","M","Web.Developer",0.7152828,"Yes"
"Richard","M","Dentist",0.75417244,"Yes"
"Richard","M","Orthodontist",0.5527031,"Yes"
"Richard","M","Computer.Systems.Analyst",0.53246,"Yes"
"Charles","M","Software.Developer",0.8192749,"Yes"
"Charles","M","Nurse.Practitioner",0.6727096,"Yes"
"Charles","M","Health.Services.Manager",0.7434768,"Yes"
"Charles","M","Physicians.Assistant",0.7577532,"Yes"
"Charles","M","Security.Analyst",0.71384,"Yes"
"Charles","M","IT.Manager",0.785719,"Yes"
"Charles","M","Web.Developer",0.79829866,"Yes"
"Charles","M","Dentist",0.85466176,"Yes"
"Charles","M","Orthodontist",0.6592459,"Yes"
"Charles","M","Computer.Systems.Analyst",0.6139389,"Yes"
"Thomas","M","Software.Developer",0.76868105,"Yes"
"Thomas","M","Nurse.Practitioner",0.6418215,"Yes"
"Thomas","M","Health.Services.Manager",0.6754923,"Yes"
"Thomas","M","Physicians.Assistant",0.7022866,"Yes"
"Thomas","M","Security.Analyst",0.6426353,"Yes"
"Thomas","M","IT.Manager",0.72900724,"Yes"
"Thomas","M","Web.Developer",0.742666,"Yes"
"Thomas","M","Dentist",0.8068777,"Yes"
"Thomas","M","Orthodontist",0.600665,"Yes"
"Thomas","M","Computer.Systems.Analyst",0.55967724,"Yes"
"Christopher","M","Software.Developer",0.54200995,"Yes"
"Christopher","M","Nurse.Practitioner",0.43894118,"Yes"
"Christopher","M","Health.Services.Manager",0.5086799,"Yes"
"Christopher","M","Physicians.Assistant",0.49082142,"Yes"
"Christopher","M","Security.Analyst",0.44816774,"Yes"
"Christopher","M","IT.Manager",0.5538858,"Yes"
"Christopher","M","Web.Developer",0.5392839,"Yes"
"Christopher","M","Dentist",0.570118,"Yes"
"Christopher","M","Orthodontist",0.48592472,"Yes"
"Christopher","M","Computer.Systems.Analyst",0.38814658,"Yes"
"Daniel","M","Software.Developer",0.804327,"Yes"
"Daniel","M","Nurse.Practitioner",0.6548982,"Yes"
"Daniel","M","Health.Services.Manager",0.7204772,"Yes"
"Daniel","M","Physicians.Assistant",0.7396728,"Yes"
"Daniel","M","Security.Analyst",0.69959,"Yes"
"Daniel","M","IT.Manager",0.7732377,"Yes"
"Daniel","M","Web.Developer",0.78506434,"Yes"
"Daniel","M","Dentist",0.83202857,"Yes"
"Daniel","M","Orthodontist",0.63739467,"Yes"
"Daniel","M","Computer.Systems.Analyst",0.6050289,"Yes"
"Matthew","M","Software.Developer",0.8280113,"Yes"
"Matthew","M","Nurse.Practitioner",0.6756856,"Yes"
"Matthew","M","Health.Services.Manager",0.74463344,"Yes"
