,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.78008866,0.87823445,0.90413475,0.8325353,0.91404176,0.9096564,0.91631824,0.8723599,0.91113883,0.9044969
John,0.86129594,0.80310655,0.84093237,0.75170827,0.84523034,0.8536249,0.84691787,0.80655164,0.8390252,0.84082794
Robert,0.793135,0.85087496,0.8781851,0.83883643,0.89507985,0.88500124,0.89338994,0.85531324,0.8895476,0.9023131
Michael,0.8373375,0.8439441,0.87345415,0.7858297,0.8905103,0.8937559,0.88495004,0.8423084,0.88119745,0.88185275
William,0.8318572,0.7568011,0.80363774,0.7132306,0.8142487,0.81298476,0.81606185,0.7652221,0.7868269,0.79571974
David,0.79423034,0.87168527,0.90078056,0.8388202,0.90544075,0.9020065,0.9040655,0.8700326,0.9039873,0.9037556
Joseph,0.8557898,0.77328134,0.80921525,0.7613942,0.8237666,0.8234425,0.81727344,0.76361424,0.8133023,0.8130944
Richard,0.78951097,0.73873544,0.769094,0.7119328,0.79409206,0.76844233,0.78383017,0.75261563,0.7688626,0.76539546
Charles,0.7895663,0.8687281,0.90326166,0.83045506,0.9012609,0.90208197,0.9042775,0.8598578,0.8997967,0.88780946
Thomas,0.8181616,0.78995,0.8264209,0.7378973,0.8367138,0.842518,0.83814514,0.7934389,0.8209946,0.8185997
Mary,0.7724118,0.8874496,0.9144498,0.8182267,0.9154945,0.91819465,0.92286813,0.87784433,0.9213349,0.894519
Elizabeth,0.7914065,0.87891686,0.8888477,0.8260982,0.9011875,0.9033483,0.9023591,0.8661127,0.9001005,0.88500303
Patricia,0.8245769,0.8055432,0.82885695,0.7393087,0.8420541,0.8448467,0.8368781,0.8164466,0.8155716,0.81448084
Jennifer,0.71924967,0.84570146,0.8528292,0.79578227,0.86507744,0.86101437,0.8644577,0.83542776,0.8552462,0.8627146
Linda,0.80501,0.8173143,0.83203113,0.7697834,0.853452,0.85556686,0.8447401,0.81558096,0.8536746,0.8524382
Barbara,0.79751474,0.8769881,0.9026655,0.84750885,0.90879214,0.9152532,0.91243005,0.8755301,0.9152955,0.9014151
Margaret,0.79302824,0.8937515,0.90787697,0.81659865,0.92070615,0.92212117,0.9201191,0.88373685,0.9158668,0.8943159
Susan,0.83204347,0.7782549,0.80552626,0.7000177,0.8218354,0.8206657,0.81533456,0.78194684,0.8058777,0.7987689
Sarah,0.81553775,0.8838551,0.89909333,0.8269375,0.91834605,0.9229592,0.9076981,0.8814146,0.9085957,0.90727806
Jessica,0.798187,0.87695575,0.88714963,0.83898044,0.9063539,0.9156022,0.89804345,0.8703133,0.9077087,0.9065446
