,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.6570705,0.77796024,0.66996676,0.76504004,0.72296363,0.8114816,0.70416087,0.75037026,0.7911817,0.7457278
John,0.70798004,0.73809934,0.6505866,0.7172647,0.7150691,0.77702445,0.7229245,0.7020949,0.74206674,0.74042654
Robert,0.7033335,0.79371476,0.6909277,0.7657211,0.7640028,0.8204707,0.75651956,0.76439404,0.8020084,0.78618705
Michael,0.7022811,0.77701503,0.6869482,0.76025677,0.7554318,0.8104068,0.73658794,0.75012183,0.7815405,0.7605889
William,0.6671713,0.70196325,0.6183456,0.68860865,0.6657597,0.73040235,0.661468,0.6559901,0.7155212,0.6864294
David,0.6952733,0.78518707,0.6947653,0.769382,0.7659022,0.82056195,0.7402708,0.7646421,0.81320214,0.7777831
Joseph,0.72355604,0.73698795,0.63362205,0.7207844,0.72918195,0.77582467,0.7436193,0.7045746,0.7376084,0.74552727
Richard,0.62957406,0.6796021,0.59561884,0.6508138,0.6667644,0.7126577,0.6562532,0.64549017,0.7088442,0.6628398
Charles,0.6748708,0.7909116,0.6685505,0.77057564,0.74500906,0.80563486,0.71781653,0.748188,0.7959024,0.74490964
Thomas,0.6917145,0.73004425,0.62578475,0.7152691,0.7105342,0.7454497,0.69035614,0.6907575,0.73808455,0.6970473
Mary,0.64419436,0.7778624,0.68222,0.77293396,0.7161552,0.8134177,0.6958461,0.7484586,0.7910239,0.7398618
Elizabeth,0.67675996,0.7875821,0.6899765,0.7809629,0.7391047,0.82039046,0.72070754,0.7630017,0.7934201,0.7591802
Patricia,0.673042,0.7302436,0.6608698,0.7118666,0.70531356,0.740946,0.6690723,0.69087076,0.7429317,0.7138828
Jennifer,0.59206235,0.7520095,0.63649666,0.74536526,0.68583477,0.7564058,0.6522547,0.73072314,0.7668702,0.7111818
Linda,0.73742497,0.7496042,0.68951875,0.7219922,0.7459519,0.77107143,0.71132624,0.7372391,0.75959814,0.7698296
Barbara,0.6944107,0.8037448,0.7036253,0.78161776,0.77410364,0.8284236,0.7361297,0.77659243,0.80314445,0.77247345
Margaret,0.66328025,0.7808827,0.69460905,0.77577895,0.7263011,0.82421196,0.7187108,0.758672,0.79672456,0.7602191
Susan,0.66748583,0.6983646,0.63687205,0.69088566,0.68793476,0.7456796,0.68034923,0.6628084,0.7114562,0.7064327
Sarah,0.6837049,0.7816533,0.6994021,0.7744605,0.745757,0.8271004,0.73831344,0.75648016,0.79344165,0.7800132
Jessica,0.68461215,0.78451955,0.6916776,0.7747099,0.74207735,0.82459563,0.7412567,0.7717527,0.7856847,0.78882647
