,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
Mary,0.8896738,0.8562723,0.9114956,0.8224509,0.889582,0.9009818,0.64958954,0.8898021,0.8874881,0.81926644
Elizabeth,0.8746306,0.8455914,0.89569896,0.8201821,0.8724158,0.88920933,0.67050076,0.8799806,0.88638693,0.83303964
Patricia,0.799151,0.78240705,0.8212323,0.7832901,0.7852764,0.8092262,0.7254505,0.81098354,0.82057136,0.8096385
Jennifer,0.8564422,0.8331104,0.85471785,0.7661624,0.8463149,0.8630931,0.60995305,0.8635779,0.8426238,0.7674102
Linda,0.82162607,0.7922659,0.82954085,0.8224679,0.83023757,0.8341425,0.69650877,0.8229747,0.8255945,0.819391
Barbara,0.89771616,0.85687983,0.90498304,0.857477,0.89640284,0.90493435,0.68474424,0.889984,0.8777232,0.8524747
Margaret,0.8907682,0.86671245,0.9174043,0.8343873,0.89394134,0.90828097,0.68214273,0.8971379,0.8959965,0.8454058
Susan,0.7811912,0.7579372,0.811176,0.76590115,0.7693235,0.79615855,0.73384464,0.7863574,0.8146015,0.81420034
Dorothy,0.8768204,0.84497714,0.9009529,0.82400376,0.8748327,0.8980626,0.6896567,0.87930727,0.8819918,0.84506047
Sarah,0.89326525,0.8532449,0.91396546,0.8359563,0.89524245,0.9128134,0.69292426,0.89250326,0.8893273,0.8510421
Jessica,0.9036707,0.848112,0.89444745,0.84022844,0.8889886,0.8997714,0.6758159,0.8828324,0.8707458,0.83029467
Helen,0.8901849,0.8554263,0.91641104,0.82178354,0.89229304,0.9069003,0.65942407,0.89280224,0.8939111,0.83249307
Nancy,0.88874465,0.8634548,0.91044414,0.79982823,0.8897301,0.90384597,0.6372112,0.89672303,0.89110875,0.8115697
Betty,0.8980632,0.86405474,0.9113474,0.8360666,0.89576334,0.9028024,0.6744448,0.896663,0.8916914,0.83117044
Karen,0.8807736,0.8508926,0.9073293,0.7925844,0.89344543,0.89780194,0.6348704,0.88697803,0.878225,0.8037017
Lisa,0.87822706,0.8412136,0.8998166,0.8134968,0.8863566,0.89249784,0.6371729,0.8790245,0.8670358,0.81545055
Anna,0.87052,0.82539034,0.8762615,0.8025674,0.8818352,0.8873719,0.63907176,0.86192083,0.85725796,0.80983
Sandra,0.7682326,0.73969936,0.7825474,0.75298923,0.75248075,0.7742013,0.6973829,0.7650735,0.7767308,0.7768743
Emily,0.8924581,0.86064595,0.9133337,0.8124778,0.8947452,0.9080708,0.643036,0.892308,0.89877504,0.82171434
Ashley,0.8858858,0.8556318,0.9014231,0.8186649,0.87952,0.8905987,0.6635201,0.8898746,0.8801049,0.8263079
