,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
Mary,0.8142063,0.67873394,0.74311745,0.7659333,0.71013695,0.7887654,0.7918062,0.8525565,0.64951944,0.62119114
Elizabeth,0.81987834,0.6809967,0.7561101,0.75549126,0.72098774,0.797977,0.79842365,0.8466258,0.66290826,0.64228535
Patricia,0.76278746,0.64816797,0.68685657,0.709135,0.6490483,0.73127806,0.7398642,0.8061712,0.61133075,0.56456244
Jennifer,0.79209757,0.64355415,0.7321857,0.7236233,0.705025,0.77400357,0.77995133,0.800921,0.6577693,0.6202935
Linda,0.7800326,0.6592655,0.7016395,0.718858,0.68197316,0.7412902,0.75558627,0.8056512,0.6040312,0.609396
Barbara,0.82228553,0.67984915,0.75426257,0.773659,0.73737633,0.80213606,0.8008889,0.85557514,0.65790117,0.6370575
Margaret,0.82332957,0.68512845,0.7572489,0.7777984,0.72419107,0.80687875,0.8041496,0.86120176,0.650697,0.63184226
Susan,0.75863767,0.6340599,0.67305446,0.6863873,0.6515641,0.7117921,0.72881037,0.7921739,0.5951304,0.5703176
Dorothy,0.8177719,0.675825,0.7364124,0.7594254,0.7041724,0.78631836,0.79444396,0.8517518,0.6554017,0.62051284
Sarah,0.8245481,0.6769873,0.7461566,0.76478845,0.7292895,0.8016926,0.8082298,0.85216624,0.652685,0.6350094
Jessica,0.81692255,0.6805208,0.74169344,0.7554059,0.72929764,0.7906829,0.80618525,0.832814,0.6446805,0.6297028
Helen,0.8195796,0.6741985,0.73506767,0.75791025,0.72180426,0.79202867,0.8011317,0.85533243,0.64952123,0.6253027
Nancy,0.8195013,0.6756376,0.74865115,0.76747024,0.7288658,0.80224633,0.806491,0.8454788,0.65716326,0.6358199
Betty,0.8242035,0.68416196,0.7503102,0.7710563,0.7263889,0.8041034,0.80666375,0.848867,0.6559574,0.6308696
Karen,0.82332987,0.6745024,0.7400255,0.755148,0.724683,0.78749216,0.8013865,0.8384557,0.6501862,0.63756037
Lisa,0.81984794,0.656582,0.72576225,0.75371647,0.7336711,0.7924364,0.8096479,0.8346836,0.65066886,0.6523682
Anna,0.79960465,0.6637313,0.72149074,0.73650056,0.6929023,0.76562726,0.7772608,0.83831656,0.66039747,0.6149968
Sandra,0.7348268,0.6302173,0.64467573,0.66335714,0.6136328,0.6836396,0.711228,0.7659619,0.58401644,0.5497696
Emily,0.82164425,0.67648673,0.74711657,0.7713034,0.7294643,0.7947748,0.80925894,0.8477933,0.64683545,0.6338739
Ashley,0.8193662,0.67668045,0.7452618,0.7578161,0.72683287,0.7979536,0.80823886,0.834425,0.65138644,0.631758
