,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Paul,0.8507873,0.8009747,0.8327849,0.75177157,0.8471488,0.85120386,0.8417206,0.8054324,0.8357083,0.833388
Vincent,0.751367,0.86621064,0.8906305,0.8256527,0.901741,0.9018653,0.8995851,0.8527078,0.89776385,0.8870137
Victor,0.7913164,0.88570315,0.899438,0.8437268,0.92346895,0.9169992,0.9114226,0.8855531,0.91863906,0.9106189
Adrian,0.7897902,0.7729114,0.8010104,0.7098502,0.8091329,0.80790937,0.802601,0.7754077,0.78347635,0.7942631
Marcus,0.798097,0.88991547,0.9045532,0.82874054,0.9081898,0.9217106,0.9071396,0.88497305,0.9069219,0.9006837
Leo,0.8256419,0.85164833,0.87997156,0.79928,0.8882266,0.888472,0.88604456,0.84892845,0.87666255,0.87588096
Miles,0.8533965,0.7899446,0.8107209,0.72201437,0.83633983,0.84433925,0.8335178,0.7885106,0.82200396,0.8210175
Roman,0.7802546,0.8776145,0.9059729,0.84534824,0.91289353,0.9041276,0.911734,0.88111705,0.9219689,0.90710837
Sergio,0.7774783,0.7576384,0.77335197,0.7036661,0.8064368,0.8069578,0.792948,0.768023,0.7724707,0.7789592
Felix,0.7877301,0.7425541,0.76353234,0.7061756,0.7931647,0.7818781,0.77853596,0.7449833,0.7588197,0.768075
Patricia,0.8245769,0.8055432,0.82885695,0.7393087,0.8420541,0.8448467,0.8368781,0.8164466,0.8155716,0.81448084
Laura,0.82774734,0.7944492,0.8165374,0.7418337,0.84045506,0.841163,0.8290498,0.79691756,0.82128197,0.8256329
Amanda,0.7510989,0.85739386,0.864023,0.8499124,0.89816654,0.8820618,0.8652793,0.8570876,0.8977144,0.8895752
Victoria,0.75384504,0.88066137,0.8931389,0.8005353,0.8990706,0.8997001,0.90201056,0.8794817,0.88523626,0.862489
Julia,0.8311164,0.8826551,0.8911917,0.8278222,0.9132724,0.9183473,0.90606105,0.8813267,0.90922683,0.9120443
Gloria,0.7794295,0.8816452,0.8807271,0.8279323,0.890947,0.8976525,0.89033693,0.8718453,0.9104207,0.8741242
Diana,0.78939235,0.888919,0.8995034,0.83686495,0.9163035,0.9176181,0.90426177,0.8840152,0.9147508,0.8980427
Clara,0.7940236,0.869499,0.877356,0.83152705,0.9010482,0.8922172,0.8877479,0.8684673,0.8821551,0.88488066
Paula,0.82478106,0.8792496,0.89037716,0.8383526,0.9160224,0.92089576,0.90404123,0.8802648,0.91657007,0.9102724
Norma,0.8052257,0.8677609,0.87777114,0.8460438,0.89464176,0.8904868,0.8886967,0.8667325,0.9016347,0.90329444
