,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Paul,0.68730915,0.7310966,0.64693004,0.718294,0.70482117,0.76817906,0.7239963,0.6975372,0.7299113,0.72966003
Vincent,0.64621055,0.77995324,0.67039585,0.7682283,0.7043644,0.799086,0.7091671,0.7594818,0.7742847,0.7497567
Victor,0.66228884,0.78050864,0.69335914,0.7628972,0.73829705,0.8217888,0.7251171,0.7581911,0.78421015,0.7738212
Adrian,0.6698953,0.69963795,0.63422203,0.6871457,0.68543744,0.7108917,0.6584767,0.6574742,0.6922556,0.67627347
Marcus,0.6854943,0.7906971,0.6810838,0.77761143,0.7386526,0.8171776,0.713479,0.7645285,0.7930689,0.7632495
Leo,0.7067629,0.7837417,0.6689552,0.76141024,0.75586486,0.800983,0.7197717,0.7374642,0.7662199,0.7541371
Miles,0.68256724,0.7214279,0.6262346,0.70056117,0.715291,0.7585136,0.69212437,0.6957895,0.73466116,0.70922625
Roman,0.6643503,0.79433167,0.6848575,0.77124476,0.74259746,0.8367999,0.71325344,0.76458377,0.7937952,0.7603151
Sergio,0.65024227,0.6939746,0.63481814,0.6788354,0.6906284,0.69534886,0.6508497,0.6707665,0.70558274,0.6881693
Felix,0.6636567,0.6893077,0.60267866,0.6593538,0.6782205,0.6950207,0.6388855,0.64928937,0.66907024,0.6824533
Patricia,0.673042,0.7302436,0.6608698,0.7118666,0.70531356,0.740946,0.6690723,0.69087076,0.7429317,0.7138828
Laura,0.68886447,0.73222506,0.6594565,0.7069855,0.72765744,0.7509811,0.6826689,0.68944,0.7258688,0.72895765
Amanda,0.641289,0.75907344,0.67536247,0.74657094,0.6990242,0.8147104,0.71912616,0.7468358,0.779389,0.7805716
Victoria,0.6147609,0.77063,0.6704415,0.7604673,0.7191425,0.7916247,0.66110826,0.7242236,0.7859323,0.7158972
Julia,0.6941527,0.7845868,0.7083783,0.77262455,0.7461429,0.82406646,0.7461168,0.7628922,0.78733826,0.78436327
Gloria,0.6413869,0.7681696,0.6979865,0.7498121,0.6999151,0.8279788,0.6792477,0.7657418,0.7574445,0.75504553
Diana,0.66503453,0.7823519,0.69414353,0.7619313,0.7345035,0.8223076,0.7109002,0.75108004,0.7850411,0.76111424
Clara,0.69210225,0.78417814,0.6943818,0.76505053,0.74512917,0.8016368,0.70981085,0.76492774,0.7842964,0.7656152
Paula,0.68940556,0.7867724,0.6946606,0.7723532,0.7491652,0.830135,0.7467942,0.7622711,0.78225255,0.7908275
Norma,0.70722497,0.7868936,0.69329786,0.7649578,0.7612643,0.8359334,0.75033367,0.7717099,0.7801931,0.7934139
