,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Reginald,0.7875027,0.8337793,0.63615346,0.5673609,0.78175193,0.78983736,0.8371035,0.793636,0.8582145,0.72503924
Kameron,0.644195,0.6324666,0.5706395,0.5814655,0.66731054,0.6401434,0.6427329,0.69379604,0.68577856,0.61417145
Kendrick,0.6912315,0.6466742,0.57064843,0.5493473,0.68484265,0.64753675,0.6630737,0.7244242,0.6756433,0.66210806
Javon,0.5928885,0.5745005,0.5431701,0.5749991,0.617559,0.60511583,0.5920248,0.61138237,0.63617575,0.5714634
Tyrell,0.6296153,0.60070086,0.54499817,0.59271264,0.6391468,0.624897,0.62977636,0.65548265,0.6296156,0.64338124
Jamar,0.74305,0.75637466,0.6156481,0.5986901,0.77557045,0.7237515,0.78661,0.7598804,0.7786735,0.66489744
Camron,0.69342613,0.6932507,0.5825906,0.5553672,0.6991117,0.6611015,0.70459026,0.7222525,0.7020131,0.6334014
Tyree,0.68964857,0.6430718,0.666971,0.597642,0.7128194,0.6643281,0.66008025,0.70010525,0.69699264,0.64913875
Jamari,0.7152426,0.71537876,0.6194971,0.61417055,0.75586855,0.6936071,0.7341057,0.7284873,0.7411198,0.65865815
Reggie,0.79940164,0.86013484,0.6081906,0.56028986,0.7762061,0.7956947,0.8332664,0.7901915,0.8313966,0.7291395
Jada,0.6151674,0.5788028,0.5508042,0.5351238,0.63890994,0.5829364,0.58507454,0.61064196,0.6042149,0.57283473
Latoya,0.44293678,0.38965398,0.53746736,0.5514823,0.46626338,0.41251677,0.42162392,0.4616219,0.42988282,0.42159557
Jayla,0.63315403,0.5931896,0.6001427,0.5590816,0.667697,0.6093422,0.5987439,0.6125647,0.6296202,0.59418094
Tamika,0.5701916,0.53828514,0.5567514,0.5400283,0.6086999,0.5503683,0.5703645,0.59880996,0.5568871,0.58302486
Latoyna,0.4485819,0.37677023,0.54639924,0.5449033,0.464983,0.4203418,0.4192624,0.45663357,0.42401513,0.42662698
Journey,0.7528,0.7733736,0.5756853,0.5286541,0.7474379,0.7456991,0.8117941,0.8021328,0.7890537,0.67322457
Tameka,0.5977895,0.56868505,0.57363576,0.5745312,0.63359,0.5813466,0.5905505,0.617303,0.58532894,0.5920154
Journee,0.47411683,0.43537658,0.48465392,0.45801193,0.4960541,0.457712,0.4695719,0.46204385,0.43794653,0.50126266
Lawanda,0.7505574,0.77198404,0.63939476,0.6134208,0.7604145,0.7472626,0.80296296,0.7989908,0.803846,0.67725533
Janiya,0.6822139,0.6791873,0.56621945,0.58774114,0.74021673,0.6743286,0.68726516,0.7320949,0.7133096,0.6428046
