,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
James,0.59942925,0.5648886,0.5419158,0.63186437,0.564852,0.65169305,0.5790721,0.6439926,0.3063947,0.5660037
John,0.5917508,0.5823381,0.5511448,0.62843156,0.5595612,0.6408205,0.5692301,0.6502789,0.32794267,0.5658727
Robert,0.61332387,0.5692873,0.53566647,0.63441044,0.5865808,0.66610897,0.5915101,0.6619664,0.32396144,0.59379995
Michael,0.61915463,0.58591175,0.545181,0.6559981,0.5916687,0.6934098,0.6094104,0.68234676,0.32156846,0.5880232
William,0.5886626,0.56945074,0.5268341,0.62972873,0.5609402,0.65483874,0.56716657,0.6621847,0.29502186,0.5651028
David,0.57688665,0.54021287,0.5486379,0.62017435,0.54660565,0.6483569,0.55987775,0.62289226,0.3267389,0.54307425
Joseph,0.63713014,0.59304285,0.58299375,0.667482,0.5848478,0.6780791,0.59731346,0.65689373,0.3407086,0.6067584
Richard,0.5829949,0.54871035,0.5451924,0.6189965,0.55384564,0.638867,0.55699414,0.6452041,0.3353061,0.5555134
Charles,0.624249,0.60642684,0.54163337,0.6460645,0.6054977,0.6508132,0.59363747,0.67104864,0.35661978,0.60815406
Thomas,0.6109494,0.58189124,0.54668814,0.6482908,0.57031703,0.6799632,0.5948984,0.67343223,0.3181545,0.5754341
Christopher,0.6178204,0.571468,0.5676021,0.6554208,0.5778922,0.66459686,0.5938351,0.635712,0.3480905,0.5758661
Daniel,0.58751595,0.5430623,0.54240894,0.6293731,0.54133916,0.65099204,0.56045866,0.6106019,0.32101005,0.5558124
Matthew,0.5487304,0.528699,0.52210176,0.6179395,0.5074743,0.6251968,0.54580015,0.61462116,0.31697327,0.49824566
George,0.6024713,0.5885676,0.56503457,0.62724936,0.57188416,0.64194477,0.57693434,0.64487475,0.3645205,0.5805378
Anthony,0.6367265,0.6015739,0.5532399,0.656411,0.624254,0.6885243,0.63456076,0.6922499,0.34554094,0.6043468
Donald,0.59931034,0.59155774,0.5462092,0.6337794,0.5873833,0.6393306,0.5851435,0.65935045,0.31588763,0.5814291
Paul,0.62200046,0.5817834,0.5600006,0.6542162,0.60393846,0.68569946,0.60402066,0.6724028,0.33031297,0.6021447
Mark,0.5289294,0.4993809,0.49312463,0.57939714,0.49085993,0.59396964,0.52095807,0.57545257,0.35796544,0.50587213
Andrew,0.62709004,0.59327286,0.56615233,0.6519456,0.5963189,0.70212924,0.62915,0.6795968,0.3298827,0.58947384
Edward,0.611099,0.5776517,0.56537324,0.63340247,0.5824672,0.6537267,0.5763022,0.6529833,0.36996177,0.5723887
