"","term","contrast","estimate","null.value","conf.low","conf.high","adj.p.value","TestName","Model"
"1","Gender","F-M",-0.00842619862462324,0,-0.0331833866738501,0.0163309894246036,0.503809681922223,"NC","BERT_base_uncased"
"2","Gender","F-M",-0.0199411296795636,0,-0.0507232410931162,0.0108409817339889,0.203559849270634,"SC","BERT_base_uncased"
"3","Gender","F-M",-0.00831610100267843,0,-0.0335536546228893,0.0169214526175324,0.517485575423768,"PG","BERT_base_uncased"
"4","Gender","F-M",-0.0105673821802417,0,-0.0325060729463359,0.0113713085858526,0.344238350235443,"UG","BERT_base_uncased"
"5","Race","Chinese-White",-0.143011315994837,0,-0.180130581114873,-0.105892050874802,0,"PR","BERT_base_uncased"
"6","Race","Latinx-White",0.00728842615271053,0,-0.0298308389673253,0.0444076912727463,0.957777532932064,"PR","BERT_base_uncased"
"7","Race","Black-White",-0.197738352947749,0,-0.234857618067785,-0.160619087827714,0,"PR","BERT_base_uncased"
"8","Race","Latinx-Chinese",0.150299742147548,0,0.113180477027512,0.187419007267584,0,"PR","BERT_base_uncased"
"9","Race","Black-Chinese",-0.0547270369529121,0,-0.0918463020729479,-0.0176077718328764,0.000909825602008696,"PR","BERT_base_uncased"
"10","Race","Black-Latinx",-0.20502677910046,0,-0.242146044220496,-0.167907513980424,0,"PR","BERT_base_uncased"
"11","Race","Chinese-White",-0.140029790584116,0,-0.177495780219946,-0.102563800948286,0,"UR","BERT_base_uncased"
"12","Race","Latinx-White",0.0115217054232204,0,-0.0259442842126097,0.0489876950590505,0.858232019506995,"UR","BERT_base_uncased"
"13","Race","Black-White",-0.21274533371351,0,-0.25021132334934,-0.17527934407768,0,"UR","BERT_base_uncased"
"14","Race","Latinx-Chinese",0.151551496007337,0,0.114085506371507,0.189017485643167,0,"UR","BERT_base_uncased"
"15","Race","Black-Chinese",-0.0727155431293938,0,-0.110181532765224,-0.0352495534935636,4.26882491488811e-06,"UR","BERT_base_uncased"
"16","Race","Black-Latinx",-0.224267039136731,0,-0.261733028772561,-0.1868010495009,0,"UR","BERT_base_uncased"
