,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Reginald,0.86277866,0.5758594,0.87452674,0.8659385,0.87039816,0.5975319,0.8791319,0.5850468,0.8472838,0.8465043
Kameron,0.55646825,0.8173096,0.58546907,0.5699175,0.5867511,0.8477952,0.56788844,0.84796107,0.58309287,0.57170975
Kendrick,0.82545435,0.567996,0.8690584,0.8411979,0.8691421,0.5894221,0.8429162,0.59346414,0.8431714,0.85536563
Javon,0.57291347,0.82274383,0.60528135,0.589936,0.597723,0.8610825,0.5871634,0.84682524,0.5839449,0.5874197
Tyrell,0.56577814,0.8371359,0.592204,0.57770914,0.5966337,0.84274817,0.5897006,0.84446037,0.5872895,0.58117014
Jamar,0.57819915,0.843808,0.6014223,0.5853051,0.58911073,0.8679389,0.5906672,0.86428326,0.5959176,0.59151244
Camron,0.5548192,0.82253736,0.5980713,0.5768136,0.59349406,0.8472133,0.5817259,0.86019313,0.5793471,0.57566136
Tyree,0.571021,0.8536533,0.59260213,0.5811087,0.6008115,0.8589559,0.5966299,0.84986115,0.5989933,0.5955354
Jamari,0.5545821,0.78933555,0.5866251,0.56959105,0.57128626,0.84849685,0.57443374,0.81765825,0.56982535,0.55973756
Reggie,0.86965615,0.5890193,0.87431836,0.8633306,0.8712345,0.5934794,0.8786384,0.59301424,0.85691184,0.86947024
Jada,0.57244056,0.84998834,0.57280177,0.55064726,0.57659125,0.84893656,0.57534885,0.8321069,0.5810347,0.6134668
Latoya,0.56798744,0.5891454,0.5929712,0.58514184,0.58537537,0.6041126,0.5894494,0.5988657,0.5843183,0.57754004
Jayla,0.58375686,0.83974624,0.6023855,0.5871667,0.60071623,0.8623453,0.5976083,0.8565461,0.5972544,0.6082941
Tamika,0.56809235,0.81537837,0.58990264,0.57030517,0.5917161,0.86322165,0.58170563,0.8330913,0.5943714,0.58267224
Latoyna,0.57260174,0.59308064,0.59428376,0.5879384,0.59004915,0.60065776,0.59443516,0.602671,0.5859881,0.58354676
Journey,0.83750093,0.5507099,0.8760028,0.8479828,0.8639003,0.5822152,0.85525244,0.59182054,0.8622886,0.835732
Tameka,0.5879975,0.8496676,0.60822356,0.59443027,0.6045271,0.8701937,0.6041618,0.8694071,0.6018683,0.59961534
Journee,0.52316076,0.54115874,0.515181,0.49621096,0.5118767,0.57759863,0.5214747,0.51794994,0.5519965,0.52511555
Lawanda,0.5801761,0.85221124,0.61125755,0.604739,0.6007974,0.86898243,0.6016979,0.8682777,0.5942197,0.5868333
Janiya,0.5785854,0.8362895,0.610797,0.59819025,0.60015416,0.8709895,0.60011977,0.8630808,0.58913743,0.58815366
