,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Reginald,0.8492734,0.8766026,0.60498494,0.6113351,0.8776264,0.88426006,0.8606371,0.8898587,0.8764326,0.90159756
Kameron,0.5826683,0.5831324,0.8600101,0.8748556,0.5821403,0.5906605,0.5711568,0.59755754,0.5801662,0.5991766
Kendrick,0.86259836,0.86565673,0.6053886,0.6162022,0.853266,0.86622816,0.8395173,0.8767553,0.86193323,0.8794545
Javon,0.59206235,0.5892946,0.8621944,0.8796462,0.5925613,0.58843285,0.5857881,0.60609925,0.5877679,0.61361796
Tyrell,0.5878843,0.5980732,0.8716621,0.88063556,0.60401964,0.60699844,0.5791805,0.61611545,0.5986662,0.6128827
Jamar,0.5856271,0.5841623,0.87690985,0.88979447,0.5954643,0.604778,0.5837757,0.6056664,0.58749336,0.61482424
Camron,0.5787002,0.578968,0.86554897,0.8898156,0.5845403,0.58072156,0.5707977,0.6045255,0.57865214,0.6001889
Tyree,0.6047235,0.6065239,0.8883148,0.8938437,0.6100693,0.6152622,0.5789339,0.6198714,0.60352904,0.61656797
Jamari,0.5660804,0.55910784,0.8247777,0.84954566,0.5487852,0.5627165,0.5566935,0.5728958,0.559813,0.5883039
Reggie,0.85991657,0.8905636,0.62001055,0.62356174,0.88458186,0.9011877,0.86005706,0.9016656,0.8849486,0.9028454
Jada,0.5740452,0.56744576,0.8736795,0.86806715,0.60314137,0.5886837,0.5527177,0.5929775,0.57346904,0.59463483
Latoya,0.57402563,0.57996196,0.6094872,0.618516,0.58299696,0.59389824,0.5777952,0.59446585,0.581068,0.60171777
Jayla,0.59344393,0.5928394,0.8778332,0.88734996,0.60104096,0.59560305,0.5842222,0.6111801,0.5896139,0.61768526
Tamika,0.58807194,0.57147706,0.86123395,0.88364923,0.583896,0.5952047,0.5649614,0.59987956,0.5798386,0.6008787
Latoyna,0.5790457,0.5842273,0.61458814,0.6237197,0.5953995,0.5991927,0.57719773,0.60208875,0.58816165,0.60462546
Journey,0.8576422,0.857166,0.5889991,0.6092882,0.86265135,0.8794571,0.8394239,0.8787199,0.86097825,0.882242
Tameka,0.59784234,0.59503245,0.88608223,0.8985728,0.60944426,0.6101961,0.5883224,0.6129931,0.6012752,0.6211425
Journee,0.51308185,0.49792778,0.53538054,0.54807335,0.52576053,0.5232145,0.48326847,0.5135148,0.50366616,0.5220313
Lawanda,0.5904078,0.59728605,0.8828782,0.8910405,0.6008697,0.60979724,0.59521246,0.6115189,0.59709865,0.6186928
Janiya,0.5949158,0.59279454,0.87820673,0.8983733,0.59804124,0.59644675,0.59465593,0.61016566,0.59337205,0.6192702
