,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
Lian,0.5419393,0.7896232,0.5670641,0.5501098,0.5577493,0.8243975,0.5615644,0.81405056,0.56243575,0.55549777
Shan,0.82816803,0.5384102,0.8411226,0.8518972,0.8341399,0.57567716,0.84414953,0.5520557,0.83143574,0.82341796
Lew,0.8346268,0.54253316,0.8266214,0.8606037,0.8291484,0.57138485,0.8452945,0.54705924,0.8100771,0.8230271
Long,0.846692,0.5156237,0.8614683,0.8213158,0.85133785,0.5737348,0.86264706,0.55966234,0.77690095,0.82620764
Quan,0.84451556,0.5557904,0.830141,0.8427961,0.8309264,0.57175225,0.8416728,0.5547651,0.82912433,0.84557736
Jun,0.8142845,0.5306464,0.8461116,0.8382431,0.8340382,0.57536244,0.83156466,0.5561064,0.8179123,0.8153104
Tou,0.5635629,0.8142889,0.5658741,0.5423931,0.55629003,0.8547534,0.5693258,0.8178836,0.5751136,0.58070445
Jin,0.81922233,0.5388623,0.8397035,0.83037287,0.8359583,0.5809353,0.8329725,0.5532953,0.8252563,0.8465964
Cai,0.84777015,0.54785234,0.8537736,0.8645927,0.8472589,0.5823413,0.858793,0.56419486,0.83610415,0.83393365
Chan,0.81266326,0.5259932,0.84142375,0.8235331,0.83633655,0.5882004,0.8360264,0.55721456,0.82330465,0.82259685
Lue,0.55046284,0.804698,0.5828845,0.5678743,0.5754874,0.8387706,0.57842267,0.8268991,0.5769796,0.5651951
China,0.820228,0.562019,0.85892344,0.8320214,0.8474688,0.56804734,0.84051126,0.5837582,0.83532697,0.8311627
Lu,0.83138734,0.5329897,0.8330373,0.85125095,0.82944447,0.5737191,0.843961,0.54826635,0.8239537,0.8257887
Maylee,0.57743984,0.8090566,0.59005046,0.57919824,0.5830676,0.85781634,0.586447,0.8299381,0.579653,0.5675714
Tennie,0.57983994,0.839187,0.6062676,0.5837946,0.59928536,0.8848402,0.5977,0.8554893,0.5932818,0.60150754
Maylin,0.5628863,0.8264936,0.5861834,0.5792451,0.576338,0.8307317,0.57871896,0.83874476,0.5656344,0.56118745
Chynna,0.5603674,0.5734797,0.58550376,0.5738012,0.585911,0.5849129,0.5846608,0.5889375,0.57704806,0.5775756
Jia,0.8221616,0.5363201,0.83756685,0.8275925,0.8279795,0.5810968,0.8315082,0.5550207,0.8160379,0.8270665
Mei,0.83650154,0.5479702,0.85980123,0.8477886,0.85380507,0.5921649,0.85267687,0.56824934,0.8407321,0.8412317
Tylee,0.5862603,0.8481614,0.58189094,0.5449093,0.5944527,0.8770318,0.5775754,0.82255507,0.6024472,0.6204573
