,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Lian,0.54739535,0.5464412,0.81625885,0.84725946,0.5497003,0.56034267,0.54509497,0.5672153,0.5475526,0.57936186
Shan,0.82003236,0.8377597,0.5644516,0.5927278,0.84313256,0.8580541,0.83377236,0.85708857,0.841183,0.8605786
Lew,0.8195676,0.8431022,0.56819445,0.58523864,0.8497035,0.853387,0.82895184,0.8556614,0.8416519,0.85009515
Long,0.8375027,0.8645649,0.5457819,0.5943399,0.8460715,0.8099265,0.8514616,0.86686325,0.8762218,0.8690324
Quan,0.814317,0.8321737,0.57967246,0.58105475,0.86017203,0.8599913,0.81890535,0.8512642,0.8434462,0.8518139
Jun,0.8200606,0.83054703,0.5630783,0.5865024,0.8315974,0.83921707,0.82521695,0.8474208,0.8302364,0.85601413
Tou,0.5505999,0.54957426,0.83590597,0.8502401,0.56918305,0.5755329,0.5393724,0.56474584,0.55542296,0.57958114
Jin,0.83344424,0.8366864,0.564751,0.5906723,0.8344795,0.84138167,0.81839025,0.8460532,0.83040386,0.85676086
Cai,0.83111,0.8523745,0.5785307,0.5958646,0.8569468,0.86597073,0.8405041,0.8708272,0.8534289,0.8740051
Chan,0.8201166,0.8277271,0.55810314,0.5972022,0.82347775,0.8353942,0.8191342,0.8402671,0.8236184,0.8551883
Lue,0.5653596,0.56723535,0.8413005,0.86799526,0.5640155,0.58092976,0.56148076,0.5837124,0.5642076,0.5918852
China,0.84294516,0.8487531,0.5937575,0.60214764,0.86001074,0.86405194,0.8385545,0.8695624,0.8531088,0.8775305
Lu,0.81634367,0.8347739,0.56373197,0.5865611,0.84014773,0.8482456,0.82474124,0.85023004,0.8288107,0.8559142
Maylee,0.5695972,0.5778497,0.8411624,0.8676618,0.58362937,0.58091813,0.57328635,0.59415466,0.5812894,0.604117
Tennie,0.5945771,0.59067357,0.8731136,0.9057045,0.58914316,0.5935232,0.57455236,0.60905606,0.58963597,0.61682916
Maylin,0.5622134,0.570181,0.85307777,0.8624279,0.58646774,0.5812945,0.5680347,0.5970878,0.5803635,0.59746635
Chynna,0.57094765,0.56984586,0.6039464,0.6122268,0.5826454,0.5841775,0.5724665,0.59899473,0.5720445,0.60066515
Jia,0.8123063,0.82619,0.5621077,0.58299696,0.83017975,0.8353608,0.8158434,0.8390344,0.82793695,0.85056967
Mei,0.84048903,0.8502397,0.5792404,0.6050761,0.84806925,0.8598781,0.83111465,0.8647253,0.8435002,0.87133455
Tylee,0.5975946,0.56964445,0.8547299,0.85974723,0.5961169,0.5732076,0.541286,0.58197165,0.5786885,0.590713
