"Name","Gender","Career","CosineSimilarity","STEM"
"James","M","Software.Developer",0.5895788,"Yes"
"James","M","Nurse.Practitioner",0.56263375,"Yes"
"James","M","Health.Services.Manager",0.5729183,"Yes"
"James","M","Physicians.Assistant",0.5772545,"Yes"
"James","M","Security.Analyst",0.57965916,"Yes"
"James","M","IT.Manager",0.59833926,"Yes"
"James","M","Web.Developer",0.59339166,"Yes"
"James","M","Dentist",0.87904507,"Yes"
"James","M","Orthodontist",0.55929327,"Yes"
"James","M","Computer.Systems.Analyst",0.55399454,"Yes"
"John","M","Software.Developer",0.5737841,"Yes"
"John","M","Nurse.Practitioner",0.54351765,"Yes"
"John","M","Health.Services.Manager",0.5543462,"Yes"
"John","M","Physicians.Assistant",0.5547063,"Yes"
"John","M","Security.Analyst",0.55791926,"Yes"
"John","M","IT.Manager",0.58749557,"Yes"
"John","M","Web.Developer",0.57689714,"Yes"
"John","M","Dentist",0.8539428,"Yes"
"John","M","Orthodontist",0.5405885,"Yes"
"John","M","Computer.Systems.Analyst",0.53592616,"Yes"
"Robert","M","Software.Developer",0.57080424,"Yes"
"Robert","M","Nurse.Practitioner",0.54579103,"Yes"
"Robert","M","Health.Services.Manager",0.55872834,"Yes"
"Robert","M","Physicians.Assistant",0.56871676,"Yes"
"Robert","M","Security.Analyst",0.5626405,"Yes"
"Robert","M","IT.Manager",0.5776355,"Yes"
"Robert","M","Web.Developer",0.5741044,"Yes"
"Robert","M","Dentist",0.8561021,"Yes"
"Robert","M","Orthodontist",0.54326016,"Yes"
"Robert","M","Computer.Systems.Analyst",0.5415783,"Yes"
"Michael","M","Software.Developer",0.5902845,"Yes"
"Michael","M","Nurse.Practitioner",0.5608346,"Yes"
"Michael","M","Health.Services.Manager",0.5727312,"Yes"
"Michael","M","Physicians.Assistant",0.5751462,"Yes"
"Michael","M","Security.Analyst",0.58283585,"Yes"
"Michael","M","IT.Manager",0.61062324,"Yes"
"Michael","M","Web.Developer",0.59657604,"Yes"
"Michael","M","Dentist",0.8965593,"Yes"
"Michael","M","Orthodontist",0.56225485,"Yes"
"Michael","M","Computer.Systems.Analyst",0.5531816,"Yes"
"William","M","Software.Developer",0.57244956,"Yes"
"William","M","Nurse.Practitioner",0.5496321,"Yes"
"William","M","Health.Services.Manager",0.5596781,"Yes"
"William","M","Physicians.Assistant",0.5636455,"Yes"
"William","M","Security.Analyst",0.5626385,"Yes"
"William","M","IT.Manager",0.57617074,"Yes"
"William","M","Web.Developer",0.57326037,"Yes"
"William","M","Dentist",0.84835744,"Yes"
"William","M","Orthodontist",0.54562825,"Yes"
"William","M","Computer.Systems.Analyst",0.5405044,"Yes"
"David","M","Software.Developer",0.6000343,"Yes"
"David","M","Nurse.Practitioner",0.56796277,"Yes"
"David","M","Health.Services.Manager",0.5795716,"Yes"
"David","M","Physicians.Assistant",0.57906723,"Yes"
"David","M","Security.Analyst",0.5867965,"Yes"
"David","M","IT.Manager",0.615692,"Yes"
"David","M","Web.Developer",0.6031016,"Yes"
"David","M","Dentist",0.8853924,"Yes"
"David","M","Orthodontist",0.56750137,"Yes"
"David","M","Computer.Systems.Analyst",0.55883384,"Yes"
"Joseph","M","Software.Developer",0.5760835,"Yes"
"Joseph","M","Nurse.Practitioner",0.5474068,"Yes"
"Joseph","M","Health.Services.Manager",0.55448896,"Yes"
"Joseph","M","Physicians.Assistant",0.5633889,"Yes"
"Joseph","M","Security.Analyst",0.5664433,"Yes"
"Joseph","M","IT.Manager",0.58840495,"Yes"
"Joseph","M","Web.Developer",0.5771518,"Yes"
"Joseph","M","Dentist",0.87058145,"Yes"
"Joseph","M","Orthodontist",0.55193484,"Yes"
"Joseph","M","Computer.Systems.Analyst",0.5407282,"Yes"
"Richard","M","Software.Developer",0.58579147,"Yes"
"Richard","M","Nurse.Practitioner",0.5563128,"Yes"
"Richard","M","Health.Services.Manager",0.57109845,"Yes"
"Richard","M","Physicians.Assistant",0.57630926,"Yes"
"Richard","M","Security.Analyst",0.57251835,"Yes"
"Richard","M","IT.Manager",0.59208107,"Yes"
"Richard","M","Web.Developer",0.58910936,"Yes"
"Richard","M","Dentist",0.870402,"Yes"
"Richard","M","Orthodontist",0.55525005,"Yes"
"Richard","M","Computer.Systems.Analyst",0.5488925,"Yes"
"Charles","M","Software.Developer",0.5759901,"Yes"
"Charles","M","Nurse.Practitioner",0.5504218,"Yes"
"Charles","M","Health.Services.Manager",0.5581224,"Yes"
"Charles","M","Physicians.Assistant",0.5666201,"Yes"
"Charles","M","Security.Analyst",0.56524664,"Yes"
"Charles","M","IT.Manager",0.57918197,"Yes"
"Charles","M","Web.Developer",0.5734217,"Yes"
"Charles","M","Dentist",0.85542804,"Yes"
"Charles","M","Orthodontist",0.54883736,"Yes"
"Charles","M","Computer.Systems.Analyst",0.543664,"Yes"
"Thomas","M","Software.Developer",0.5945387,"Yes"
"Thomas","M","Nurse.Practitioner",0.5670678,"Yes"
"Thomas","M","Health.Services.Manager",0.57267904,"Yes"
"Thomas","M","Physicians.Assistant",0.5844635,"Yes"
"Thomas","M","Security.Analyst",0.58075714,"Yes"
"Thomas","M","IT.Manager",0.5887765,"Yes"
"Thomas","M","Web.Developer",0.5957385,"Yes"
"Thomas","M","Dentist",0.8721214,"Yes"
"Thomas","M","Orthodontist",0.55819666,"Yes"
"Thomas","M","Computer.Systems.Analyst",0.55850005,"Yes"
"Christopher","M","Software.Developer",0.59809,"Yes"
"Christopher","M","Nurse.Practitioner",0.5671684,"Yes"
"Christopher","M","Health.Services.Manager",0.57520807,"Yes"
"Christopher","M","Physicians.Assistant",0.58666486,"Yes"
"Christopher","M","Security.Analyst",0.58127964,"Yes"
"Christopher","M","IT.Manager",0.6019653,"Yes"
"Christopher","M","Web.Developer",0.60276884,"Yes"
"Christopher","M","Dentist",0.88127506,"Yes"
"Christopher","M","Orthodontist",0.5654141,"Yes"
"Christopher","M","Computer.Systems.Analyst",0.55547774,"Yes"
"Daniel","M","Software.Developer",0.5931601,"Yes"
"Daniel","M","Nurse.Practitioner",0.56735307,"Yes"
"Daniel","M","Health.Services.Manager",0.57671416,"Yes"
"Daniel","M","Physicians.Assistant",0.5796019,"Yes"
"Daniel","M","Security.Analyst",0.5797213,"Yes"
"Daniel","M","IT.Manager",0.6068083,"Yes"
"Daniel","M","Web.Developer",0.59683007,"Yes"
"Daniel","M","Dentist",0.8875591,"Yes"
"Daniel","M","Orthodontist",0.5673071,"Yes"
"Daniel","M","Computer.Systems.Analyst",0.5523477,"Yes"
"Matthew","M","Software.Developer",0.49911743,"Yes"
"Matthew","M","Nurse.Practitioner",0.47115377,"Yes"
"Matthew","M","Health.Services.Manager",0.48466232,"Yes"
"Matthew","M","Physicians.Assistant",0.48864973,"Yes"
"Matthew","M","Security.Analyst",0.489198,"Yes"
"Matthew","M","IT.Manager",0.49713972,"Yes"
"Matthew","M","Web.Developer",0.5015989,"Yes"
"Matthew","M","Dentist",0.7543513,"Yes"
"Matthew","M","Orthodontist",0.4705609,"Yes"
"Matthew","M","Computer.Systems.Analyst",0.4747039,"Yes"
"George","M","Software.Developer",0.58020705,"Yes"
"George","M","Nurse.Practitioner",0.5515965,"Yes"
"George","M","Health.Services.Manager",0.56698376,"Yes"
"George","M","Physicians.Assistant",0.5683428,"Yes"
"George","M","Security.Analyst",0.57052386,"Yes"
"George","M","IT.Manager",0.5917155,"Yes"
"George","M","Web.Developer",0.5779942,"Yes"
"George","M","Dentist",0.87456656,"Yes"
"George","M","Orthodontist",0.5509091,"Yes"
"George","M","Computer.Systems.Analyst",0.5428451,"Yes"
"Anthony","M","Software.Developer",0.59998906,"Yes"
"Anthony","M","Nurse.Practitioner",0.57514346,"Yes"
"Anthony","M","Health.Services.Manager",0.58514845,"Yes"
"Anthony","M","Physicians.Assistant",0.5951395,"Yes"
"Anthony","M","Security.Analyst",0.59202856,"Yes"
"Anthony","M","IT.Manager",0.60309225,"Yes"
"Anthony","M","Web.Developer",0.6045521,"Yes"
"Anthony","M","Dentist",0.88858503,"Yes"
"Anthony","M","Orthodontist",0.56890607,"Yes"
"Anthony","M","Computer.Systems.Analyst",0.5609016,"Yes"
"Donald","M","Software.Developer",0.5727915,"Yes"
"Donald","M","Nurse.Practitioner",0.54172957,"Yes"
