"Name","Race","Word","CosineSimilarity","Good_or_Bad"
"Reginald","Black","happy",0.86277866,"Good"
"Reginald","Black","agreeable",0.5758594,"Good"
"Reginald","Black","polite",0.87452674,"Good"
"Reginald","Black","civil",0.8659385,"Good"
"Reginald","Black","charming",0.87039816,"Good"
"Reginald","Black","gracious",0.5975319,"Good"
"Reginald","Black","gentle",0.8791319,"Good"
"Reginald","Black","approachable",0.5850468,"Good"
"Reginald","Black","love",0.8472838,"Good"
"Reginald","Black","cool",0.8465043,"Good"
"Kameron","Black","happy",0.55646825,"Good"
"Kameron","Black","agreeable",0.8173096,"Good"
"Kameron","Black","polite",0.58546907,"Good"
"Kameron","Black","civil",0.5699175,"Good"
"Kameron","Black","charming",0.5867511,"Good"
"Kameron","Black","gracious",0.8477952,"Good"
"Kameron","Black","gentle",0.56788844,"Good"
"Kameron","Black","approachable",0.84796107,"Good"
"Kameron","Black","love",0.58309287,"Good"
"Kameron","Black","cool",0.57170975,"Good"
"Kendrick","Black","happy",0.82545435,"Good"
"Kendrick","Black","agreeable",0.567996,"Good"
"Kendrick","Black","polite",0.8690584,"Good"
"Kendrick","Black","civil",0.8411979,"Good"
"Kendrick","Black","charming",0.8691421,"Good"
"Kendrick","Black","gracious",0.5894221,"Good"
"Kendrick","Black","gentle",0.8429162,"Good"
"Kendrick","Black","approachable",0.59346414,"Good"
"Kendrick","Black","love",0.8431714,"Good"
"Kendrick","Black","cool",0.85536563,"Good"
"Javon","Black","happy",0.57291347,"Good"
"Javon","Black","agreeable",0.82274383,"Good"
"Javon","Black","polite",0.60528135,"Good"
"Javon","Black","civil",0.589936,"Good"
"Javon","Black","charming",0.597723,"Good"
"Javon","Black","gracious",0.8610825,"Good"
"Javon","Black","gentle",0.5871634,"Good"
"Javon","Black","approachable",0.84682524,"Good"
"Javon","Black","love",0.5839449,"Good"
"Javon","Black","cool",0.5874197,"Good"
"Tyrell","Black","happy",0.56577814,"Good"
"Tyrell","Black","agreeable",0.8371359,"Good"
"Tyrell","Black","polite",0.592204,"Good"
"Tyrell","Black","civil",0.57770914,"Good"
"Tyrell","Black","charming",0.5966337,"Good"
"Tyrell","Black","gracious",0.84274817,"Good"
"Tyrell","Black","gentle",0.5897006,"Good"
"Tyrell","Black","approachable",0.84446037,"Good"
"Tyrell","Black","love",0.5872895,"Good"
"Tyrell","Black","cool",0.58117014,"Good"
"Jamar","Black","happy",0.57819915,"Good"
"Jamar","Black","agreeable",0.843808,"Good"
"Jamar","Black","polite",0.6014223,"Good"
"Jamar","Black","civil",0.5853051,"Good"
"Jamar","Black","charming",0.58911073,"Good"
"Jamar","Black","gracious",0.8679389,"Good"
"Jamar","Black","gentle",0.5906672,"Good"
"Jamar","Black","approachable",0.86428326,"Good"
"Jamar","Black","love",0.5959176,"Good"
"Jamar","Black","cool",0.59151244,"Good"
"Camron","Black","happy",0.5548192,"Good"
"Camron","Black","agreeable",0.82253736,"Good"
"Camron","Black","polite",0.5980713,"Good"
"Camron","Black","civil",0.5768136,"Good"
