,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.83929104,0.56162333,0.8715787,0.84357494,0.869548,0.60616475,0.8618463,0.5816494,0.8517046,0.8419082
John,0.8223663,0.548379,0.8565901,0.83115536,0.84876287,0.60493153,0.8474578,0.5619872,0.8380794,0.82993233
Robert,0.8443415,0.5686316,0.86223686,0.84795666,0.85435724,0.6007152,0.8708035,0.573968,0.84806395,0.8423935
Michael,0.8657097,0.5779501,0.8787667,0.84514505,0.8794283,0.61516076,0.8748575,0.5902147,0.8782169,0.86497504
William,0.8127796,0.5460864,0.85066795,0.8358738,0.8449238,0.59508437,0.8485245,0.5615401,0.82833874,0.81643444
David,0.83399415,0.5657462,0.8723167,0.84032583,0.8681361,0.6113882,0.8599576,0.58605075,0.85386,0.84614533
Joseph,0.8201625,0.5461204,0.86633134,0.83994186,0.855906,0.59394777,0.85128635,0.5765831,0.8297681,0.8246516
Richard,0.8298619,0.55964524,0.86570686,0.84590673,0.86171925,0.60010207,0.8544086,0.57795936,0.8392671,0.8357816
Charles,0.81806755,0.5362429,0.8569666,0.8464,0.8472103,0.59393847,0.8508565,0.5655877,0.82758504,0.81390744
Thomas,0.80959684,0.55081284,0.8591827,0.84218323,0.85282683,0.5868546,0.8427287,0.5754045,0.8198671,0.8146467
Mary,0.83134407,0.53313035,0.86094403,0.8284357,0.85575753,0.6092495,0.8631059,0.56345063,0.8524302,0.8182375
Elizabeth,0.8355022,0.5495655,0.868753,0.8401546,0.86835814,0.609205,0.8610078,0.5723699,0.85022974,0.8325436
Patricia,0.8424681,0.5601843,0.8785898,0.8538179,0.8680661,0.6056102,0.86805016,0.58502805,0.84452575,0.8473286
Jennifer,0.8458917,0.5581375,0.87393004,0.8413437,0.8720119,0.6035202,0.86619264,0.5806009,0.850879,0.8520662
Linda,0.84432733,0.55839926,0.86874896,0.82878447,0.86536807,0.604087,0.8591207,0.57494265,0.85228246,0.8523129
Barbara,0.8377208,0.550121,0.8697689,0.83762777,0.8665048,0.60155046,0.8627899,0.5786021,0.84559375,0.83938813
Margaret,0.83696204,0.55172837,0.8698924,0.83943987,0.8681731,0.5981766,0.8619834,0.57583654,0.8487379,0.8263216
Susan,0.8439024,0.5608333,0.88021135,0.83752275,0.8753717,0.6118474,0.870597,0.58504516,0.85853463,0.8492643
Sarah,0.84445494,0.54846615,0.87156284,0.83356446,0.87169,0.6165974,0.8708009,0.57311,0.8564974,0.84947956
Jessica,0.8442545,0.5657485,0.8711108,0.8360231,0.87605345,0.59835833,0.8648324,0.588993,0.8573869,0.85454184
