,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.8587727,0.86320454,0.5964031,0.6152889,0.84964067,0.86342055,0.8427671,0.8775589,0.8626227,0.8931391
John,0.84489506,0.8426406,0.57637626,0.60721546,0.83143127,0.8372833,0.8277454,0.8526334,0.83912116,0.8698632
Robert,0.8493913,0.8605236,0.5984151,0.60744935,0.85858643,0.8665094,0.84480244,0.8755805,0.8579788,0.89089644
Michael,0.87573296,0.87018406,0.61478484,0.6307825,0.8822487,0.8908649,0.84518605,0.8966059,0.881928,0.90846634
William,0.8369364,0.84311604,0.57978773,0.59682584,0.8282047,0.8394849,0.83219767,0.8591204,0.83816934,0.871226
David,0.8617764,0.85696745,0.59881157,0.62041724,0.84839505,0.8598308,0.83793116,0.87303126,0.8541781,0.8890748
Joseph,0.84758157,0.85307664,0.5855216,0.60436374,0.8324766,0.8451112,0.8416681,0.8629713,0.849063,0.8797797
Richard,0.85423577,0.8583751,0.59655225,0.60900885,0.8438792,0.8552726,0.84627974,0.877367,0.8539509,0.88728565
Charles,0.8328111,0.8481176,0.5707613,0.5999925,0.8207021,0.8392882,0.8375603,0.8549334,0.83494717,0.87145275
Thomas,0.83582646,0.8469344,0.5871648,0.6010628,0.8314695,0.8359124,0.8423163,0.86314124,0.84435475,0.8677293
Mary,0.84048784,0.8420383,0.5692197,0.601719,0.8261563,0.85419583,0.82958585,0.8583843,0.8399032,0.8762093
Elizabeth,0.85358715,0.8485579,0.58197546,0.6053528,0.8433438,0.85416883,0.8331861,0.8653615,0.85000134,0.88152635
Patricia,0.85889125,0.8600924,0.595379,0.6116083,0.84791493,0.8585414,0.8417359,0.8751259,0.85804594,0.8909402
Jennifer,0.8566798,0.8609122,0.59555733,0.61180925,0.8585366,0.8648342,0.83807635,0.8775627,0.85711277,0.8939241
Linda,0.8545904,0.8541328,0.5896958,0.60846496,0.8510231,0.85738355,0.832153,0.8665924,0.84946114,0.8861506
Barbara,0.8499917,0.8500553,0.5901623,0.6122925,0.84676015,0.8547801,0.83322227,0.8694036,0.85076624,0.88398933
Margaret,0.85492134,0.84819496,0.58676285,0.6109289,0.8493837,0.8598089,0.83661,0.8690547,0.8545481,0.884749
Susan,0.86375815,0.8589988,0.5956881,0.61516666,0.85264003,0.86824286,0.83501613,0.88036484,0.8587319,0.8945502
Sarah,0.86737573,0.8530069,0.585184,0.61777604,0.85154116,0.8617992,0.8246837,0.8733715,0.8599748,0.89193785
Jessica,0.86411387,0.8617269,0.60402566,0.6175332,0.8616219,0.87418586,0.8359821,0.8802488,0.8686013,0.893906
