,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
Mary,0.8234714,0.5505301,0.5804337,0.86048216,0.84618187,0.79036194,0.83770216,0.5637139,0.55706567,0.9023673
Elizabeth,0.83195037,0.5527704,0.5867626,0.8741065,0.86207014,0.79884547,0.839379,0.57268107,0.56159335,0.9137158
Patricia,0.840987,0.5673569,0.5995206,0.88867617,0.8770594,0.8105158,0.8519828,0.5895543,0.5746337,0.9227795
Jennifer,0.85185945,0.5770354,0.60401213,0.8935427,0.8799623,0.8176939,0.8589831,0.5954291,0.584461,0.92439806
Linda,0.8483293,0.5802381,0.6052115,0.8849223,0.8767647,0.81947726,0.85795796,0.5963572,0.5824479,0.91895103
Barbara,0.8462888,0.5731284,0.60579073,0.890705,0.8742946,0.8124599,0.84994274,0.59167516,0.5774903,0.9165186
Margaret,0.8370057,0.56893426,0.6062657,0.8773082,0.8663842,0.81459606,0.84842044,0.58277434,0.5720003,0.9051154
Susan,0.84611356,0.5764962,0.605512,0.89174944,0.87614363,0.8121555,0.8589389,0.59082985,0.57574564,0.92451215
Dorothy,0.84277076,0.5723541,0.60495955,0.8859938,0.8728621,0.8111959,0.85316664,0.58867,0.5734054,0.91926444
Sarah,0.84048426,0.5681158,0.593737,0.8782177,0.8663734,0.80389035,0.85605437,0.5790105,0.5684627,0.92502207
Jessica,0.85109335,0.58352095,0.6121996,0.895874,0.878644,0.8214716,0.8661589,0.5982952,0.58721966,0.9259008
Helen,0.84771585,0.5726901,0.6035441,0.88509613,0.8768483,0.8123994,0.8581641,0.58912235,0.5743113,0.9216434
Nancy,0.82990736,0.5605779,0.5876404,0.8793015,0.86228067,0.79552376,0.84498024,0.57559615,0.56195533,0.9206136
Betty,0.83961415,0.5678232,0.60278493,0.87965107,0.86768705,0.8054574,0.8538014,0.58010036,0.57299185,0.9110374
Karen,0.8493435,0.5843249,0.6105802,0.8930752,0.8757031,0.82131857,0.871788,0.592,0.5871004,0.918491
Lisa,0.85028434,0.5720174,0.59025127,0.87649333,0.8653823,0.811611,0.86126405,0.5810004,0.5775029,0.9112079
Anna,0.8504365,0.5716675,0.5995293,0.8844062,0.87455666,0.823057,0.85393935,0.58533555,0.5808466,0.90924364
Sandra,0.8379865,0.57148796,0.5964298,0.8805983,0.8668218,0.8040036,0.85046107,0.5869007,0.56848663,0.9221459
Emily,0.86005634,0.58035177,0.61062354,0.8997865,0.8822757,0.8272799,0.87018675,0.593985,0.58516055,0.9229225
Ashley,0.8515403,0.58993864,0.61530507,0.89683,0.8689707,0.8252883,0.8608263,0.60774696,0.57703245,0.906039
