,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
Mary,0.56333697,0.5506204,0.55172306,0.5565257,0.5520346,0.5844862,0.56978744,0.85656565,0.53845114,0.528443
Elizabeth,0.56869864,0.5570772,0.55859685,0.5684725,0.5603169,0.58267343,0.5752487,0.861329,0.5491566,0.53742427
Patricia,0.5863323,0.56784123,0.57465655,0.57865673,0.57668245,0.5961303,0.5880668,0.878873,0.5641029,0.5503172
Jennifer,0.58908784,0.56863016,0.5775379,0.5780001,0.5794713,0.60395974,0.5943165,0.88290757,0.56211776,0.55016744
Linda,0.5906805,0.57128054,0.5777783,0.57665724,0.57656366,0.60505533,0.59259784,0.88249564,0.55654347,0.5516461
Barbara,0.58855027,0.56859505,0.57673913,0.57844794,0.5754898,0.59930897,0.5892408,0.88106745,0.5608876,0.55054927
Margaret,0.5864192,0.56783926,0.57008886,0.5714909,0.5731457,0.60031563,0.5878329,0.8808807,0.55581665,0.545881
Susan,0.58294684,0.56656444,0.5725877,0.5784372,0.5729625,0.6066123,0.59213895,0.8845831,0.5614228,0.54975295
Dorothy,0.58317375,0.5662672,0.5712912,0.5761289,0.57463646,0.60225725,0.587195,0.8785832,0.5567567,0.54627717
Sarah,0.574966,0.5572137,0.56021327,0.5640774,0.5633571,0.5994504,0.58237404,0.8718973,0.55071336,0.53366756
Jessica,0.5979471,0.57149416,0.57851756,0.5789978,0.58584344,0.6146235,0.6017063,0.8916494,0.57020175,0.55404407
Helen,0.5828191,0.5644611,0.57003754,0.5742518,0.57470113,0.6055257,0.5886291,0.8813438,0.5637851,0.5475795
Nancy,0.5755684,0.5514937,0.56050146,0.55819964,0.5672518,0.59226453,0.5798582,0.8719135,0.5512354,0.53875005
Betty,0.57727474,0.5614089,0.56564945,0.56975234,0.56552875,0.6022837,0.5841558,0.8796093,0.55032057,0.5394827
Karen,0.59787506,0.572842,0.5783515,0.5746769,0.58526886,0.62125146,0.60215825,0.9047654,0.56575805,0.55767465
Lisa,0.58555496,0.5564826,0.56400096,0.56442845,0.57152957,0.6075676,0.5903152,0.8908729,0.5591094,0.5475499
Anna,0.59100515,0.5705658,0.57381535,0.57601416,0.5796357,0.6029211,0.58935684,0.8832716,0.5632348,0.5532984
Sandra,0.5792267,0.55898154,0.5689635,0.5723316,0.57121307,0.59763825,0.5828506,0.87540364,0.549731,0.54452205
Emily,0.59544843,0.57212085,0.5778055,0.58439386,0.5817824,0.6119289,0.60060173,0.89609116,0.5680918,0.5535886
Ashley,0.60366106,0.578056,0.5931863,0.5926154,0.5957244,0.6141216,0.60601056,0.90359247,0.5716236,0.56713057
