,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Paul,0.8687413,0.8669011,0.6012561,0.62366754,0.8491466,0.8700152,0.84515035,0.8745597,0.86310875,0.88901556
Vincent,0.8384656,0.85334915,0.5996425,0.61133075,0.8381001,0.8447891,0.84458464,0.86753744,0.8529452,0.8748519
Victor,0.8615484,0.8598103,0.61230826,0.61827147,0.8643588,0.86643565,0.8432141,0.8883947,0.8670632,0.9018306
Adrian,0.85601765,0.8728639,0.61605066,0.6228063,0.87306726,0.88097376,0.85571444,0.8895143,0.87399256,0.9039689
Marcus,0.8605745,0.8801112,0.60926133,0.61707824,0.87291425,0.88512003,0.85877764,0.8951578,0.87616944,0.90346384
Leo,0.8591634,0.860067,0.60657376,0.61816365,0.8561813,0.8731844,0.8388587,0.87856954,0.86300814,0.89376765
Miles,0.80576354,0.8085312,0.5449063,0.55975705,0.8020569,0.8159932,0.787174,0.8196087,0.81361187,0.8338418
Roman,0.8628699,0.9070289,0.59728444,0.61854863,0.8763684,0.87581336,0.90651554,0.91178465,0.8955515,0.92092913
Sergio,0.8569284,0.86312693,0.6116741,0.61404026,0.86250436,0.8634753,0.8416231,0.8781431,0.8601153,0.8927367
Felix,0.85723263,0.8496452,0.59256065,0.6155764,0.8518423,0.85694623,0.8209643,0.8671803,0.85146064,0.87517154
Patricia,0.85889125,0.8600924,0.595379,0.6116083,0.84791493,0.8585414,0.8417359,0.8751259,0.85804594,0.8909402
Laura,0.8531408,0.84487736,0.58729196,0.60766417,0.8419304,0.8577391,0.82309943,0.87023324,0.84671474,0.88300425
Amanda,0.8706171,0.8603225,0.612184,0.62230325,0.8737674,0.8820784,0.8396371,0.88963383,0.87096566,0.9026783
Victoria,0.8188304,0.8360494,0.5961589,0.60548997,0.8507783,0.85479873,0.82844746,0.86868656,0.8506759,0.86953956
Julia,0.8640436,0.8514478,0.58933806,0.6149744,0.85247827,0.86312133,0.8284755,0.8763882,0.85194075,0.89000845
Gloria,0.84534836,0.83988094,0.5794572,0.60127413,0.8315538,0.858693,0.82562935,0.86088413,0.8447168,0.875083
Diana,0.8611882,0.85115373,0.5973477,0.6104499,0.85179293,0.8653467,0.82943445,0.87408084,0.8572316,0.88905233
Clara,0.85423595,0.8525833,0.5916269,0.6151775,0.85045975,0.86108625,0.8371786,0.8770878,0.8578384,0.8888677
Paula,0.85246253,0.85325366,0.607119,0.61668587,0.8525588,0.86396134,0.8321098,0.8718041,0.8531353,0.88371193
Norma,0.85456,0.84867734,0.6015226,0.6060607,0.8584525,0.87400264,0.839057,0.87925947,0.8608486,0.8896121
