,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
James,0.8405288,0.5719399,0.5971248,0.8898737,0.8739152,0.820038,0.84926856,0.5886945,0.575931,0.9162013
John,0.8138624,0.551107,0.5792577,0.8550681,0.84043366,0.7913795,0.8187795,0.5651578,0.5585069,0.88895625
Robert,0.8101844,0.5496932,0.5780961,0.8661457,0.8437904,0.7837753,0.8206467,0.5727115,0.5479493,0.9001047
Michael,0.8386929,0.57509,0.5988032,0.88765025,0.8655981,0.8104055,0.8539259,0.5881411,0.57184434,0.9134201
William,0.8041166,0.55190367,0.58548635,0.85757166,0.8422625,0.7802156,0.8156332,0.56777465,0.54914683,0.89102215
David,0.84341276,0.578895,0.5998577,0.8883096,0.8754093,0.81440824,0.84804994,0.5952637,0.5849733,0.9168477
Joseph,0.8244798,0.5516046,0.584453,0.88017356,0.86292684,0.801194,0.84171087,0.5691384,0.56187505,0.9014191
Richard,0.83251274,0.56326914,0.58872414,0.87879944,0.8676011,0.81029487,0.8351276,0.5853454,0.57152355,0.9084473
Charles,0.8175629,0.5496154,0.57791865,0.87226653,0.85553265,0.80047673,0.8251699,0.57123387,0.55806464,0.8982229
Thomas,0.8268897,0.56930894,0.5966875,0.8860044,0.87047225,0.8203681,0.8461834,0.5852057,0.5709298,0.90367
Christopher,0.84735876,0.57420874,0.60334885,0.89311725,0.8799421,0.82599515,0.8500613,0.5944121,0.5841662,0.92330027
Daniel,0.8387977,0.57716817,0.6007775,0.8940281,0.8752411,0.81239814,0.85532665,0.59420407,0.575044,0.9247262
Matthew,0.7102879,0.4832827,0.49538174,0.757226,0.7336193,0.6932574,0.72333205,0.4986579,0.4814042,0.775294
George,0.81715155,0.56376296,0.5854484,0.8781307,0.85259056,0.7964603,0.831254,0.5802207,0.5613362,0.9004754
Anthony,0.85404557,0.5814636,0.60895354,0.9037037,0.87374324,0.8365955,0.8565478,0.60319716,0.5841315,0.9071837
Donald,0.8078508,0.55426097,0.5750727,0.8735631,0.8410437,0.7861039,0.822334,0.5729157,0.55146575,0.88424647
Paul,0.8449855,0.5765642,0.6033914,0.89227283,0.8725589,0.82150376,0.8567284,0.5876229,0.579857,0.9165849
Mark,0.8589433,0.58212376,0.5960172,0.89303035,0.87673277,0.8260124,0.86164004,0.5969934,0.58058023,0.93110925
Andrew,0.84630543,0.5850958,0.6069351,0.8986411,0.8755552,0.8263524,0.8541728,0.60596466,0.5792964,0.9191892
Edward,0.83685577,0.57998043,0.6099884,0.89897287,0.87395,0.8203987,0.84835756,0.6038957,0.57468945,0.910637
