,happy,agreeable,polite,civil,charming,gracious,gentle,approachable,love,cool
James,0.83929104,0.56162333,0.8715787,0.84357494,0.869548,0.60616475,0.8618463,0.5816494,0.8517046,0.8419082
John,0.8223663,0.548379,0.8565901,0.83115536,0.84876287,0.60493153,0.8474578,0.5619872,0.8380794,0.82993233
Robert,0.8443415,0.5686316,0.86223686,0.84795666,0.85435724,0.6007152,0.8708035,0.573968,0.84806395,0.8423935
Michael,0.8657097,0.5779501,0.8787667,0.84514505,0.8794283,0.61516076,0.8748575,0.5902147,0.8782169,0.86497504
William,0.8127796,0.5460864,0.85066795,0.8358738,0.8449238,0.59508437,0.8485245,0.5615401,0.82833874,0.81643444
David,0.83399415,0.5657462,0.8723167,0.84032583,0.8681361,0.6113882,0.8599576,0.58605075,0.85386,0.84614533
Joseph,0.8201625,0.5461204,0.86633134,0.83994186,0.855906,0.59394777,0.85128635,0.5765831,0.8297681,0.8246516
Richard,0.8298619,0.55964524,0.86570686,0.84590673,0.86171925,0.60010207,0.8544086,0.57795936,0.8392671,0.8357816
Charles,0.81806755,0.5362429,0.8569666,0.8464,0.8472103,0.59393847,0.8508565,0.5655877,0.82758504,0.81390744
Thomas,0.80959684,0.55081284,0.8591827,0.84218323,0.85282683,0.5868546,0.8427287,0.5754045,0.8198671,0.8146467
Christopher,0.84664106,0.5640323,0.87288326,0.85600895,0.8730547,0.6074343,0.86311334,0.5898444,0.85631317,0.84720504
Daniel,0.8468795,0.57318455,0.87465537,0.84752077,0.87234354,0.6143163,0.86937517,0.5873652,0.85733247,0.85061264
Matthew,0.74621135,0.5015337,0.7509898,0.7524269,0.74997556,0.5249961,0.75343716,0.49256516,0.74425346,0.72312796
George,0.84382313,0.55679905,0.8702143,0.8546311,0.863311,0.60788935,0.86679345,0.5766863,0.84800506,0.8358191
Anthony,0.822141,0.5676034,0.8565137,0.8329371,0.85938734,0.5861037,0.840906,0.5923098,0.8308174,0.82821125
Donald,0.8447047,0.5572603,0.85901606,0.86179376,0.8579253,0.5897385,0.8523877,0.5727189,0.84562916,0.8311554
Paul,0.83171505,0.56587005,0.87939435,0.8497182,0.8691423,0.6125272,0.86518526,0.58914673,0.85665333,0.848968
Mark,0.8583915,0.5846519,0.872303,0.84154135,0.8794256,0.6113354,0.8650007,0.59393543,0.8669693,0.880122
Andrew,0.8494936,0.5876341,0.8738025,0.850948,0.8735473,0.6134609,0.8673545,0.5971248,0.8592769,0.8558065
Edward,0.85092276,0.5846489,0.87712175,0.8661454,0.87687415,0.6049945,0.8730507,0.5987659,0.8476338,0.8484565
