,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Lian,0.9342669,0.93945426,0.8662798,0.9521084,0.9106379,0.90004814,0.9073614,0.9376007,0.94062597,0.93533707
Shan,0.8696342,0.864055,0.79231596,0.89460474,0.9094543,0.8176998,0.8280451,0.9014984,0.903339,0.8922926
Lew,0.9157914,0.9144648,0.86645013,0.92677057,0.8895878,0.93420875,0.9468332,0.92064923,0.90854394,0.9095786
Long,0.84343207,0.8408661,0.79682994,0.8710162,0.8872732,0.84372,0.8619263,0.8748212,0.852599,0.85397995
Quan,0.89874756,0.8905823,0.8241999,0.91857195,0.91602236,0.8517516,0.86416113,0.91612744,0.91314477,0.9121687
Jun,0.89250684,0.88553953,0.83988726,0.9041127,0.89322484,0.9008216,0.9141252,0.9086301,0.8920269,0.89400166
Tou,0.96423376,0.9625327,0.9000079,0.9614942,0.88813937,0.94611114,0.9497065,0.9366557,0.94637024,0.9387375
Jin,0.8681079,0.857527,0.79153144,0.8894945,0.9142909,0.8155071,0.8259454,0.89568675,0.8916005,0.8832497
Cai,0.95782816,0.95708066,0.8889894,0.9629271,0.91483635,0.92968893,0.9365675,0.9497076,0.95647216,0.94931364
Chan,0.94294167,0.95306844,0.910057,0.9333472,0.84853125,0.99156797,0.9916128,0.905048,0.91577446,0.91038805
Lue,0.96072066,0.96635664,0.8930989,0.9714876,0.90125775,0.9260563,0.93129104,0.9440382,0.950698,0.9405889
China,0.860383,0.8506329,0.81530064,0.8749885,0.8694091,0.8637545,0.880198,0.8771038,0.8603193,0.8678464
Lu,0.89420307,0.8939272,0.8451485,0.9115855,0.89410233,0.9069188,0.92076904,0.91049534,0.89500564,0.89405626
Maylee,0.95614845,0.95557326,0.8956018,0.9570363,0.89886767,0.93440366,0.93777424,0.9405494,0.9463149,0.9464344
Tennie,0.91379577,0.89957774,0.83496493,0.92075634,0.9103017,0.8674274,0.87682384,0.93309385,0.91872346,0.92818356
Maylin,0.9599314,0.9607527,0.9011129,0.95682734,0.8903047,0.93996775,0.9426968,0.93989855,0.9503053,0.9473171
Chynna,0.93011296,0.92958707,0.92031115,0.9148117,0.8375433,0.9283588,0.92994493,0.8872551,0.90046376,0.9008739
Jia,0.89438176,0.8809527,0.816195,0.9065083,0.90495104,0.84738284,0.85807425,0.9162844,0.909509,0.9097407
Mei,0.9094256,0.896156,0.8341262,0.9196085,0.92013216,0.8604508,0.86787945,0.93218046,0.9244926,0.9241289
Tylee,0.9307176,0.93658704,0.9252436,0.9158316,0.8301774,0.93785256,0.93581486,0.88390774,0.8986201,0.89667827
