,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
James,0.87794393,0.87294066,0.83120245,0.89529276,0.88894254,0.8861437,0.90209985,0.9008862,0.88054687,0.883886
John,0.8872858,0.8816745,0.83589447,0.9030488,0.88944167,0.89434755,0.9098358,0.9081517,0.8868511,0.8905168
Robert,0.89676446,0.8899315,0.84413815,0.9093907,0.8892003,0.9041258,0.9197165,0.910583,0.894741,0.89872885
Michael,0.88116074,0.87681705,0.83181053,0.8956522,0.89005053,0.8891439,0.9035135,0.90502,0.8844331,0.8880023
William,0.9300663,0.927333,0.8808538,0.93481743,0.88589096,0.9498583,0.96098435,0.9274421,0.92171305,0.92182416
David,0.8740807,0.8692399,0.82360613,0.88821805,0.8908888,0.87875485,0.89237565,0.9030729,0.881255,0.88471484
Joseph,0.89655924,0.89005303,0.84420395,0.9079499,0.88763386,0.90564895,0.9207721,0.91173667,0.89459586,0.8974505
Richard,0.9107234,0.90671504,0.8608977,0.9212474,0.8914883,0.9236766,0.93725,0.9186048,0.90806323,0.90980685
Charles,0.8937288,0.88947105,0.84465367,0.91026634,0.89036036,0.9040886,0.9193735,0.9114931,0.893908,0.8972069
Thomas,0.87549114,0.8714733,0.82990384,0.8949839,0.8941646,0.88137096,0.8972854,0.9007159,0.8829657,0.8839542
Mary,0.88713175,0.88399076,0.8379598,0.90380865,0.89000803,0.89661986,0.91013265,0.90806353,0.8869724,0.89056206
Elizabeth,0.9083715,0.90642655,0.8611493,0.92026585,0.8832584,0.9265239,0.9390738,0.9170933,0.90314585,0.9077523
Patricia,0.94633037,0.9535863,0.9120673,0.9328252,0.8380639,0.95458394,0.9477517,0.89660555,0.9184406,0.9147687
Jennifer,0.94585943,0.9499441,0.90772295,0.9363856,0.8564091,0.98419505,0.9873443,0.91300774,0.92055786,0.918031
Linda,0.9608418,0.9744375,0.9171936,0.9588767,0.8655891,0.95229346,0.95054257,0.9207996,0.93596154,0.9276691
Barbara,0.9555099,0.959468,0.91616315,0.94029176,0.8545762,0.9493274,0.9464751,0.9089804,0.9284428,0.92300355
Margaret,0.9475488,0.9405786,0.88168263,0.9546618,0.91799617,0.9113991,0.9179608,0.9497697,0.9519559,0.94916546
Susan,0.9434019,0.94591534,0.9006148,0.9407766,0.8746526,0.97412044,0.98015463,0.9227663,0.92416126,0.92484134
Sarah,0.8769436,0.87525535,0.8292713,0.8924798,0.8846202,0.8891191,0.9016856,0.90071636,0.88099706,0.88600194
Jessica,0.90600324,0.90414035,0.8566665,0.9149662,0.8846664,0.92519623,0.9372254,0.91375047,0.90338343,0.9057736
