,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
Mary,0.8972227,0.86058646,0.84968424,0.90786433,0.8779708,0.8575828,0.8948648,0.88617015,0.83320117,0.9611933
Elizabeth,0.9249369,0.87578803,0.8792485,0.93817025,0.90075535,0.8834348,0.91547954,0.90892357,0.8549094,0.9649321
Patricia,0.95261335,0.9035588,0.95831007,0.9446765,0.94796956,0.959276,0.9473307,0.9378573,0.92625904,0.846618
Jennifer,0.98479223,0.9019781,0.9355554,0.9885864,0.9451363,0.9404722,0.9442035,0.9390826,0.9079311,0.91615
Linda,0.9538716,0.9150512,0.95936555,0.95343804,0.96135414,0.96321523,0.9595129,0.95433235,0.9246426,0.8689678
Barbara,0.9518031,0.9125442,0.9590286,0.9493977,0.95752025,0.9631613,0.95374995,0.94871956,0.92737794,0.85449255
Margaret,0.9154835,0.9161867,0.9182833,0.9243307,0.9463114,0.93186814,0.9573295,0.9485543,0.8830993,0.90321344
Susan,0.9727937,0.90244395,0.92501235,0.9790282,0.9392927,0.93087703,0.94426787,0.9371134,0.8979496,0.93897283
Dorothy,0.92395544,0.9157731,0.92019147,0.91900647,0.9148544,0.92617357,0.91316694,0.90727973,0.9308315,0.8381558
Sarah,0.8882408,0.85406303,0.8435689,0.9002594,0.8707089,0.8472396,0.88667625,0.88157064,0.8266581,0.95861715
Jessica,0.92510617,0.8754218,0.8763334,0.9365237,0.89946276,0.8811655,0.91478074,0.9086463,0.854239,0.9651377
Helen,0.925418,0.91281146,0.9256779,0.93314695,0.9499239,0.94035167,0.9598823,0.9475437,0.88299036,0.89758325
Nancy,0.9333032,0.9229881,0.9373885,0.93716526,0.95693314,0.94240355,0.96552986,0.9532037,0.89988315,0.89970744
Betty,0.9226346,0.9109487,0.9267238,0.92854613,0.9470394,0.9316225,0.9555305,0.94751865,0.8881506,0.9078944
Karen,0.9277693,0.91693413,0.93073714,0.9329255,0.95130575,0.94076717,0.9619665,0.9531524,0.893477,0.89957833
Lisa,0.98549783,0.9039637,0.9380083,0.98651534,0.9465081,0.9416336,0.94695604,0.9396573,0.9105899,0.915158
Anna,0.90433383,0.86235744,0.857206,0.91594505,0.884599,0.86088824,0.89970016,0.89310634,0.8353924,0.960305
Sandra,0.933162,0.91930914,0.937454,0.93955266,0.955827,0.9469863,0.96419144,0.9566809,0.9035445,0.90238553
Emily,0.9688287,0.89917177,0.91964227,0.9749402,0.93668616,0.92480624,0.94234353,0.93546873,0.89477646,0.9372381
Ashley,0.91573846,0.9084738,0.9166055,0.92314947,0.93991137,0.9259716,0.95125633,0.94508606,0.8791057,0.90177083
