,Software Developer,Nurse Practitioner,Health Services Manager,Physicians Assistant,Security Analyst,IT Manager,Web Developer,Dentist,Orthodontist,Computer Systems Analyst
Mary,0.8562031,0.8364559,0.8620455,0.870664,0.86542964,0.8935799,0.8510771,0.86457473,0.82091093,0.8585682
Elizabeth,0.8845701,0.8352151,0.86428493,0.8831388,0.891522,0.90077853,0.87867993,0.8859006,0.8371984,0.8694751
Patricia,0.96001,0.81917554,0.83264196,0.8907549,0.95518184,0.8634652,0.96006256,0.92850727,0.8531162,0.8530518
Jennifer,0.9459016,0.8296479,0.8481684,0.89107597,0.94316906,0.8823663,0.94029397,0.92601043,0.85697865,0.85872334
Linda,0.96034163,0.8368973,0.85216427,0.90337235,0.9630728,0.88752073,0.958916,0.93997663,0.8667932,0.87484187
Barbara,0.96159935,0.8276459,0.8430376,0.89787257,0.96293986,0.87485325,0.9611657,0.9349182,0.865491,0.8665989
Margaret,0.9157223,0.85645586,0.88070524,0.90580237,0.9319525,0.9251349,0.91486526,0.90817153,0.85848457,0.8947841
Susan,0.93334997,0.83724207,0.85846025,0.89483076,0.9348919,0.8944525,0.9277814,0.9206608,0.8583447,0.8682802
Dorothy,0.92694765,0.8301812,0.84330976,0.8992065,0.9227464,0.83621943,0.92395854,0.9501686,0.87615657,0.8648538
Sarah,0.8482542,0.82375467,0.8583946,0.8646431,0.85725677,0.89118165,0.84405446,0.85400504,0.81001943,0.8528564
Jessica,0.8823616,0.8308454,0.86192983,0.8805855,0.8892462,0.9000571,0.8795197,0.88233507,0.8281466,0.86374456
Helen,0.92464995,0.8468924,0.8727952,0.9048818,0.9371976,0.9194646,0.9226195,0.9159991,0.85523075,0.89124775
Nancy,0.9339127,0.86804825,0.8788406,0.91063243,0.94847,0.9211428,0.9340838,0.924719,0.86824733,0.8919597
Betty,0.9260275,0.85228586,0.8746208,0.90454495,0.93894935,0.9202339,0.9232432,0.9131377,0.8637442,0.8864622
Karen,0.92835784,0.85794485,0.87844205,0.90689844,0.94464844,0.9241337,0.92781,0.92031676,0.8603636,0.8921565
Lisa,0.9483588,0.8312908,0.84767556,0.8915158,0.9465554,0.8838978,0.9428916,0.92835134,0.8582549,0.8611193
Anna,0.8623486,0.8246892,0.8554089,0.86988133,0.8703367,0.894417,0.8572923,0.86485237,0.82110965,0.85755765
Sandra,0.9393992,0.8556483,0.8755884,0.9151841,0.9467248,0.921282,0.93824786,0.9231562,0.85823727,0.89505047
Emily,0.9281413,0.835717,0.8580983,0.8949975,0.9304847,0.8965981,0.92316705,0.91687626,0.85566676,0.86767036
Ashley,0.91513085,0.84262216,0.87320256,0.90019166,0.93071336,0.9143858,0.9143238,0.9036024,0.84942347,0.880623
